year,title,gross,director,cast,nepo_kid,nepo_kids_in_cast,url
2004,Hum Tum,₹ 43.22 crore (US$9.54 million),Kunal Kohli,Saif Ali Khan; Rani Mukerji; Rishi Kapoor; Kirron Kher; Jimmy Sheirgill,yes,Saif Ali Khan; Rani Mukerji; Rishi Kapoor,https://en.wikipedia.org/wiki/Hum_Tum_(film)
2004,Swades,₹ 40.2 crore (US$8.87 million),Ashutosh Gowariker,Shah Rukh Khan; Gayatri Joshi; Kishori Ballal,no,,https://en.wikipedia.org/wiki/Swades
2004,Masti,₹ 34.14 crore (US$7.53 million),Indra Kumar,Ajay Devgn; Vivek Oberoi; Aftab Shivdasani; Riteish Deshmukh; Lara Dutta; Amrita Rao; Tara Sharma; Genelia,yes,Vivek Oberoi,https://en.wikipedia.org/wiki/Masti_(2004_film)
2004,Hulchul,₹ 33.09 crore (US$7.3 million),Priyadarshan,Akshaye Khanna Kareena Kapoor Suniel Shetty Jackie Shroff Arbaaz Khan Arshad Warsi Paresh Rawal Amrish Puri Asrani Manoj Joshi Shakti Kapoor; Akshaye Khanna; Kareena Kapoor; Suniel Shetty; Jackie Shroff; Arbaaz Khan; Arshad Warsi; Paresh Rawal; Amrish Puri; Asrani; Manoj Joshi; Shakti Kapoor,yes,Akshaye Khanna; Kareena Kapoor; Arbaaz Khan,https://en.wikipedia.org/wiki/Hulchul_(2004_film)
2004,Aitraaz,₹ 29 crore (US$6.4 million),Abbas–Mustan,Akshay Kumar; Priyanka Chopra; Kareena Kapoor; Amrish Puri; Annu Kapoor; Paresh Rawal,yes,Kareena Kapoor,https://en.wikipedia.org/wiki/Aitraaz
2005,No Entry,"₹ 95,13,50,000 (equivalent to ₹ 3.2 billion or US$34 million in 2023)",Anees Bazmee,Anil Kapoor; Salman Khan; Fardeen Khan; Bipasha Basu; Esha Deol; Lara Dutta; Celina Jaitley,yes,Salman Khan; Esha Deol,https://en.wikipedia.org/wiki/No_Entry
2005,Bunty Aur Babli,"₹ 90,40,05,000 (equivalent to ₹ 3.1 billion or US$32 million in 2023)",Shaad Ali,Amitabh Bachchan; Abhishek Bachchan; Rani Mukerji,yes,Abhishek Bachchan; Rani Mukerji,https://en.wikipedia.org/wiki/Bunty_Aur_Babli
2005,Garam Masala,"₹ 64,65,17,500 (equivalent to ₹ 2.2 billion or US$23 million in 2023)",Priyadarshan,Akshay Kumar; John Abraham; Paresh Rawal; Rimi Sen; Neha Dhupia; Daisy Bopanna; Neetu Chandra; Nargis Bagheri; Rajpal Yadav; Manoj Joshi; Asrani,no,,https://en.wikipedia.org/wiki/Garam_Masala_(2005_film)
2005,Mangal Pandey: The Rising,"₹ 52,57,85,000 (equivalent to ₹ 1.8 billion or US$19 million in 2023)",Ketan Mehta,Aamir Khan; Toby Stephens; Rani Mukerji; Ameesha Patel; Kirron Kher,yes,Aamir Khan; Rani Mukerji,https://en.wikipedia.org/wiki/Mangal_Pandey:_The_Rising
2005,Maine Pyaar Kyun Kiya?,"₹ 47,22,25,000 (equivalent to ₹ 1.6 billion or US$17 million in 2023)",David Dhawan,Salman Khan Sushmita Sen Katrina Kaif Sohail Khan Arshad Warsi Isha Koppikar; Salman Khan; Sushmita Sen; Katrina Kaif; Sohail Khan; Arshad Warsi; Isha Koppikar,yes,Salman Khan; Sohail Khan,https://en.wikipedia.org/wiki/Maine_Pyaar_Kyun_Kiya%3F
2005,Waqt: The Race Against Time,"₹ 42,48,62,500 (equivalent to ₹ 1.4 billion or US$15 million in 2023)",Vipul Amrutlal Shah,Amitabh Bachchan; Akshay Kumar; Priyanka Chopra; Shefali Shah; Rajpal Yadav; Boman Irani,no,,https://en.wikipedia.org/wiki/Waqt:_The_Race_Against_Time
2005,Black,"₹ 40,93,70,000 (equivalent to ₹ 1.4 billion or US$15 million in 2023)",Sanjay Leela Bhansali,Amitabh Bachchan; Rani Mukerji,yes,Rani Mukerji,https://en.wikipedia.org/wiki/Black_(2005_film)
2005,Sarkar,"₹ 39,30,47,500 (equivalent to ₹ 1.3 billion or US$14 million in 2023)",Ram Gopal Varma,Amitabh Bachchan; Abhishek Bachchan; Kay Kay Menon,yes,Abhishek Bachchan,https://en.wikipedia.org/wiki/Sarkar_(2005_film)
