year,title,gross,director,cast,url
2002,Company,₹ 25.02 crore,Ram Gopal Varma,Mohanlal; Ajay Devgn; Vivek Oberoi; Manisha Koirala; Antara Mali; Seema Biswas,https://en.wikipedia.org/wiki/Company_(2002_film)
2003,Kal Ho Naa Ho,₹ 86.09 crore (US$18.48 million),Nikhil Advani,Jaya Bachchan; Shah Rukh Khan; Saif Ali Khan; Preity Zinta,https://en.wikipedia.org/wiki/Kal_Ho_Naa_Ho
2003,Koi... Mil Gaya,₹ 82.32 crore (US$17.67 million),Rakesh Roshan,Hrithik Roshan; Preity Zinta; Rekha; Rakesh Roshan; Prem Chopra,https://en.wikipedia.org/wiki/Koi..._Mil_Gaya
2003,The Hero: Love Story of a Spy,₹ 45.13 crore (US$9.69 million),Anil Sharma,Sunny Deol; Preity Zinta; Priyanka Chopra; Amrish Puri; Kabir Bedi; Shahbaz Khan; Rajpal Yadav,https://en.wikipedia.org/wiki/The_Hero:_Love_Story_of_a_Spy
2003,Chalte Chalte,₹ 43.29 crore (US$9.29 million),Aziz Mirza,Shah Rukh Khan; Rani Mukerji,https://en.wikipedia.org/wiki/Chalte_Chalte_(2003_film)
2003,Baghban,₹ 43.11 crore (US$9.25 million),Ravi Chopra,Amitabh Bachchan; Hema Malini; Salman Khan; Mahima Chaudhry,https://en.wikipedia.org/wiki/Baghban_(2003_film)
2003,Munna Bhai M.B.B.S.,₹ 36.29 crore (US$7.79 million),Rajkumar Hirani,Sunil Dutt; Sanjay Dutt; Gracy Singh; Arshad Warsi; Boman Irani; Jimmy Sheirgill; Rohini Hattangadi,https://en.wikipedia.org/wiki/Munna_Bhai_M.B.B.S.
2003,Main Prem Ki Diwani Hoon,₹ 39.31 crore (US$8.44 million),Sooraj Barjatya,Hrithik Roshan; Kareena Kapoor; Abhishek Bachchan,https://en.wikipedia.org/wiki/Main_Prem_Ki_Diwani_Hoon
2003,LOC: Kargil,₹ 31.67 crore (US$6.8 million),J. P. Dutta,Akshaye Khanna; Sanjay Dutt; Ajay Devgn; Saif Ali Khan; Sunil Shetty; Abhishek Bachchan; Mohnish Bahl; Sanjay Kapoor; Manoj Bajpayee; Ashutosh Rana; Karan Nath; Amar Upadhyay; Nagarjuna Akkineni,https://en.wikipedia.org/wiki/LOC:_Kargil
2003,Andaaz,₹ 28.81 crore (US$6.18 million),Raj Kanwar,Akshay Kumar; Lara Dutta; Priyanka Chopra,https://en.wikipedia.org/wiki/Andaaz
2003,Qayamat: City Under Threat,₹ 28.52 crore (US$6.12 million),Harry Baweja,Ajay Devgn; Suniel Shetty; Neha Dhupia; Sanjay Kapoor; Arbaaz Khan; Isha Koppikar; Riya Sen,https://en.wikipedia.org/wiki/Qayamat:_City_Under_Threat
2004,Veer-Zaara,₹ 97.64 crore (US$21.55 million),Yash Chopra,Shah Rukh Khan; Preity Zinta; Rani Mukerji,https://en.wikipedia.org/wiki/Veer-Zaara
2004,Main Hoon Na,₹ 84 crore (US$18.54 million),Farah Khan,Shah Rukh Khan; Sushmita Sen; Zayed Khan; Amrita Rao; Suniel Shetty,https://en.wikipedia.org/wiki/Main_Hoon_Na
2004,Dhoom,₹ 72.47 crore (US$15.99 million),Sanjay Gadhvi,Abhishek Bachchan; Uday Chopra; John Abraham; Esha Deol; Rimi Sen,https://en.wikipedia.org/wiki/Dhoom
2004,Mujhse Shaadi Karogi,₹ 62 crore (US$13.68 million),David Dhawan,Salman Khan; Akshay Kumar; Priyanka Chopra,https://en.wikipedia.org/wiki/Mujhse_Shaadi_Karogi
2004,Khakee,₹ 49.89 crore (US$11.01 million),Rajkumar Santoshi,Amitabh Bachchan; Akshay Kumar; Ajay Devgn; Aishwarya Rai; Tusshar Kapoor; Atul Kulkarni,https://en.wikipedia.org/wiki/Khakee_(film)
2004,Hum Tum,₹ 43.22 crore (US$9.54 million),Kunal Kohli,Saif Ali Khan; Rani Mukerji; Rishi Kapoor; Kirron Kher; Jimmy Sheirgill,https://en.wikipedia.org/wiki/Hum_Tum_(film)
2004,Swades,₹ 40.2 crore (US$8.87 million),Ashutosh Gowariker,Shah Rukh Khan; Gayatri Joshi; Kishori Ballal,https://en.wikipedia.org/wiki/Swades
2004,Masti,₹ 34.14 crore (US$7.53 million),Indra Kumar,Ajay Devgn; Vivek Oberoi; Aftab Shivdasani; Riteish Deshmukh; Lara Dutta; Amrita Rao; Tara Sharma; Genelia,https://en.wikipedia.org/wiki/Masti_(2004_film)
2004,Hulchul,₹ 33.09 crore (US$7.3 million),Priyadarshan,Akshaye Khanna Kareena Kapoor Suniel Shetty Jackie Shroff Arbaaz Khan Arshad Warsi Paresh Rawal Amrish Puri Asrani Manoj Joshi Shakti Kapoor; Akshaye Khanna; Kareena Kapoor; Suniel Shetty; Jackie Shroff; Arbaaz Khan; Arshad Warsi; Paresh Rawal; Amrish Puri; Asrani; Manoj Joshi; Shakti Kapoor,https://en.wikipedia.org/wiki/Hulchul_(2004_film)
2004,Aitraaz,₹ 29 crore (US$6.4 million),Abbas–Mustan,Akshay Kumar; Priyanka Chopra; Kareena Kapoor; Amrish Puri; Annu Kapoor; Paresh Rawal,https://en.wikipedia.org/wiki/Aitraaz
2005,No Entry,"₹ 95,13,50,000 (equivalent to ₹ 3.2 billion or US$34 million in 2023)",Anees Bazmee,Anil Kapoor; Salman Khan; Fardeen Khan; Bipasha Basu; Esha Deol; Lara Dutta; Celina Jaitley,https://en.wikipedia.org/wiki/No_Entry
2005,Bunty Aur Babli,"₹ 90,40,05,000 (equivalent to ₹ 3.1 billion or US$32 million in 2023)",Shaad Ali,Amitabh Bachchan; Abhishek Bachchan; Rani Mukerji,https://en.wikipedia.org/wiki/Bunty_Aur_Babli
