actor,nepo,n_films,won_national,won_filmfare
Karisma Kapoor,True,15,False,True
Ashish Vidyarthi,False,15,False,False
Amit Sadh,False,15,False,False
Rakul Preet Singh,False,15,False,False
Shefali Shah,False,14,False,True
Kirron Kher,False,14,False,True
Riya Sen,False,14,False,False
Darshan Jariwala,False,14,False,False
Aditya Roy Kapur,True,14,False,True
Madhuri Dixit,False,14,False,True
Aditi Rao Hydari,False,14,False,False
Tannishtha Chatterjee,False,14,False,False
Farhan Akhtar,False,14,False,True
Arjun Mathur,False,14,False,False
Hrishita Bhatt,False,14,False,False
Minissha Lamba,False,14,False,False
Sameera Reddy,False,14,False,False
Manav Kaul,False,14,False,True
Vishal Malhotra,False,14,False,False
Gajraj Rao,False,14,False,True
Sharad Kelkar,False,13,False,False
Tiger Shroff,True,13,False,False
Gul Panag,False,13,False,False
Murli Sharma,False,13,False,False
Rekha,True,13,False,True
Prakash Raj,False,13,False,False
Ameesha Patel,False,13,False,True
Rohit Roy,False,13,False,False
Aman Verma,False,13,False,False
Kim Sharma,False,13,False,False
Tanushree Dutta,False,13,False,False
Abhishek Banerjee,False,13,False,True
Sumeet Vyas,False,13,False,False
Tara Sharma,False,12,False,False
Prachi Desai,False,12,False,True
Namrata Shirodkar,False,12,False,False
Mrunal Thakur,False,12,False,False
Vinod Khanna,False,12,False,True
Imran Khan,True,12,False,True
Rajeev Khandelwal,False,12,False,False
Mugdha Godse,False,12,False,True
Sandhya Mridul,False,12,False,True
Zarina Wahab,False,12,False,True
Milind Gunaji,False,12,False,False
Deepti Naval,False,12,False,True
Payal Rohatgi,False,12,False,False
Mohammed Zeeshan Ayyub,False,12,False,False
Ileana D'Cruz,False,12,False,False
Anjana Sukhani,False,12,False,False
Nandita Das,False,12,False,False
Richa Chadda,False,12,False,False
Varun Sharma,False,12,False,False
Aashish Chaudhary,False,12,False,False
Abhimanyu Singh,False,12,False,False
Vidyut Jammwal,False,12,False,False
Gulshan Devaiah,False,12,False,True
Fatima Sana Shaikh,False,12,False,True
Govind Namdev,False,12,False,False
Piyush Mishra,False,12,False,False
Shiney Ahuja,False,11,False,True
Sushant Singh,False,11,False,False
Kader Khan,False,11,False,False
Diana Penty,False,11,False,True
Anurag Kashyap,False,11,False,False
Nushrratt Bharuccha,False,11,False,False
Shriya Saran,False,11,False,False
Kirti Kulhari,False,11,False,True
Sushant Singh Rajput,False,11,False,True
Rajneesh Duggal,False,11,False,False
Jaideep Ahlawat,False,11,False,True
Janhvi Kapoor,True,11,False,True
Sara Ali Khan,True,11,False,False
Celina Jaitly,False,11,False,False
Rituparna Sengupta,False,11,True,False
Nargis Fakhri,False,11,False,True
Evelyn Sharma,False,11,False,False
Uday Chopra,True,11,False,False
Nauheed Cyrusi,False,11,False,False
Saqib Saleem,False,11,False,False
Ashmit Patel,False,11,False,False
Richa Chadha,False,11,False,True
Ila Arun,False,11,False,False
Vijay Varma,False,10,False,True
Johny Lever,False,10,False,False
Adah Sharma,False,10,False,True
Kunaal Roy Kapur,True,10,False,False
Sunny Leone,False,10,False,False
Tillotama Shome,False,10,False,True
Prashant Narayanan,False,10,False,False
Sunny Singh,False,10,False,False
Diljit Dosanjh,False,10,False,True
Aditya Seal,False,10,False,False
Himesh Reshammiya,False,10,False,False
Akhilendra Mishra,False,10,False,False
Pankaj Kapur,False,10,False,True
Shiv Panditt,False,10,False,False
Kriti Kharbanda,False,10,False,False
Manu Rishi,False,10,False,False
Neha Sharma,False,10,False,False
Shahana Goswami,False,10,False,True
Chitrangada Singh,False,10,False,False
Shamita Shetty,False,10,False,True
Ashwin Mushran,False,10,False,False
Esha Gupta,False,10,False,False
Swara Bhaskar,False,10,False,True
Harshvardhan Rane,False,9,False,False
Shashank Arora,False,9,False,False
Jisshu Sengupta,False,9,False,False
Vipin Sharma,False,9,False,False
Aryan Vaid,False,9,False,False
Hema Malini,False,9,False,True
Revathi,False,9,False,False
Arif Zakaria,False,9,False,False
Tinnu Anand,False,9,False,False
Sayani Gupta,False,9,False,False
Diya Mirza,False,9,False,False
