actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
Ashwini Kalsekar,no,2013,Dehraadun Diary,,no,Milind Ukey,5.8,62,Dehraadun Diary
Ashwini Kalsekar,no,2022,36 Farmhouse,,no,Ram Ramesh Sharm,3.8,575,36 Farmhouse
Ashwini Kaul,no,2024,Article 370,110.57,no,Aditya Suhas Jambhale,7.8,28392,Article 370
Asif Ali,no,2013,Dilli Gang,,no,Ashish Tyagi,5.6,6,Dilli Gang
Asif Basra,no,2013,Dilli Gang,,no,Ashish Tyagi,5.6,6,Dilli Gang
Asif Basra,no,2014,Darr @ the Mall,7.80,no,Pawan Kripalani,4.9,1151,Darr @ the Mall
Asif Basra,no,2014,Manjunath,30.00,no,Sandeep A. Varma,7.1,527,Manjunath
Asif Basra,no,2014,Yeh Hai Bakrapur,,no,Janaki Vishwanathan,3.9,324,Yeh Hai Bakrapur
Asif Basra,no,2016,Freaky Ali,21.32,yes,Sohail Khan,5.0,3211,Freaky Ali
Asin,no,2008,Ghajini,232.00,yes,A. R. Murugadoss,7.4,72226,Ghajini
Asin,no,2011,Ready,180.00,yes,Anees Bazmee,5.0,22246,Ready
Asin,no,2012,Bol Bachchan,165.68,yes,Rohit Shetty,5.7,11018,Bol Bachchan
Asin,no,2012,Housefull 2,179.15,yes,Sajid Khan,5.5,17947,Housefull 2
Asin,no,2012,Khiladi 786,107.00,no,Ashish R Mohan,4.5,8853,Khiladi 786
Asin Thottumkal,no,2009,London Dreams,41.31,yes,Vipul Shah,5.4,5216,London Dreams
Asin Thottumkal,no,2015,All Is Well,18.02,yes,Umesh Shukla,3.6,1761,All Is Well
Aslam Khan,no,2004,Dil Bechara Pyaar Ka Maara,,no,Omkarnath Mishra,5.2,65,Dil Bechara Pyaar Ka Maara
Aslam Khan,no,2011,Milta Hai Chance By Chance,,no,Ramesh Modi,6.9,16,Milta Hai Chance by Chance
Asrani,no,2002,Akhiyon Se Goli Maare,,no,Harmesh Malhotra,5.2,1361,Akhiyon Se Goli Maare
Asrani,no,2002,Awara Paagal Deewana,27.58,no,Vikram Bhatt,6.3,10089,Awara Paagal Deewana
Asrani,no,2005,Deewane Huye Paagal,26.50,yes,Vikram Bhatt,5.7,6718,Deewane Huye Paagal
Asrani,no,2005,Garam Masala,64.65,no,Priyadarshan,6.8,19285,Garam Masala
Asrani,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan,6.8,17637,Bhagam Bhag
Asrani,no,2006,Malamaal Weekly,42.76,yes,Priyadarshan,7.1,9201,Malamaal Weekly
Asrani,no,2007,Dhamaal,50.73,yes,Indra Kumar,7.5,22615,Dhamaal
Asrani,no,2007,Journey Bombay to Goa,,no,Raj Pendurkar,,,
Asrani,no,2008,Mehbooba,3.78,yes,Afzal Khan,3.9,462,Mehbooba
Asrani,no,2009,Billu,47.45,no,Priyadarshan,6.4,15035,Billu
Asrani,no,2009,De Dana Dan,81.85,no,Priyadarshan,6.1,12790,De Dana Dan
Asrani,no,2009,Dhoondte Reh Jaaoge,,yes,Umesh Shukla,,,
Asrani,no,2012,Ata Pata Laapata,,no,Rajpal Yadav,,,
Asrani,no,2013,R... Rajkumar,101.21,yes,Prabhudeva,5.3,7676,R... Rajkumar
Asrani,no,2013,Wake Up India,,no,Babloo Seshadri,6.9,27,Wake Up India
Asrani,no,2017,Sallu Ki Shaadi,,no,Mohammad Israr Ansari,3.7,55,Sallu Ki Shaadi
Asrani,no,2023,Dream Girl 2,140.56,yes,Raaj Shaandilyaa,5.2,13319,Dream Girl 2
Asrani,no,2023,Non Stop Dhamaal,,no,Irshad Khan,4.7,2154,Non Stop Dhamaal
Assad Raja,no,2010,Pusher,,no,Assad Raja,6.3,854,Pusher
Asseem Merchant,no,2005,Bullet: Ek Dhamaka,,no,Irfan Khan,3.7,66,Bullet: Ek Dhamaka
Atharvaa,no,2002,Jaani Dushman: Ek Anokhi Kahani,18.56,yes,Rajkumar Kohli,2.8,4521,Jaani Dushman: Ek Anokhi Kahani
Athiya Shetty,yes,2015,Hero,34.82,yes,Nikhil Advani,3.6,3083,Hero
Athiya Shetty,yes,2017,Mubarakan,93.24,yes,Anees Bazmee,5.6,4596,Mubarakan
Athiya Shetty,yes,2019,Motichoor Chaknachoor,,yes,Debamitra Biswal,5.8,3474,Motichoor Chaknachoor
Atif Jamil,no,2014,Room – The Mystery,,no,Faizal Khan,4.0,47,Room: The Mystery
Attin Bhalla,no,2003,Om,,no,Ashok Honda,4.3,49,Om
Atul Agnihotri,no,2002,Hum Tumhare Hain Sanam,34.76,yes,K. S. Adhiyaman,5.4,8427,Hum Tumhare Hain Sanam
Atul Agnihotri,no,2009,Sanam Teri Kasam,,yes,Lawrence D'Souza,4.1,202,Sanam Teri Kasam
Atul Agnihotri,no,2009,Vaada Raha,,yes,Samir Karnik,,,
Atul Kulkarni,no,2000,Kairee,,no,Amol Palekar,,,
Atul Kulkarni,no,2001,Chandni Bar,6.60,no,Madhur Bhandarkar,7.6,2943,Chandni Bar
Atul Kulkarni,no,2003,88 Antop Hill,,no,Kushan Nandy,4.8,91,88 Antop Hill
Atul Kulkarni,no,2003,Dum,9.07,yes,Eeshwar Nivas,5.7,1887,Dum
Atul Kulkarni,no,2004,Khakee,49.89,yes,Rajkumar Santoshi,7.4,17502,Khakee
Atul Kulkarni,no,2005,Page 3,,no,Madhur Bhandarkar,7.3,7175,Page 3
Atul Kulkarni,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra,8.1,126668,Rang De Basanti
Atul Kulkarni,no,2007,Gauri: The Unborn,,no,Akku Akbar,3.8,137,Gauri: The Unborn
Atul Kulkarni,no,2009,Chowrasta Crossroads of Love,,no,Anjan Dutt,6.8,18,Chowrasta Crossroads of Love
Atul Kulkarni,no,2009,Delhi-6,52.17,yes,Rakeysh Omprakash Mehra,6.2,8958,Delhi-6
Atul Kulkarni,no,2009,Jail,10.00,no,Madhur Bhandarkar,6.3,1467,Jail
Atul Kulkarni,no,2010,Bumm Bumm Bole,1.34,no,Priyadarshan,6.5,1156,Bumm Bumm Bole
Atul Kulkarni,no,2011,Aagaah: The Warning,,no,Karan Razdan,3.8,40,Aagaah: The Warning
Atul Kulkarni,no,2012,Chaalis Chauraasi,,no,Hriday Shetty,6.1,568,Chaalis Chauraasi
Atul Kulkarni,no,2013,Zanjeer,,yes,Apoorva Lakhia,3.4,3157,Zanjeer
Atul Kulkarni,no,2015,Dirty Politics,,no,K. C. Bokadia,2.6,685,Dirty Politics
Atul Kulkarni,no,2016,Akira,15.06,yes,A.R. Murugadoss,5.9,4664,Akira
Atul Kulkarni,no,2017,The Ghazi Attack,62.00,no,Sankalp Reddy,7.5,16065,The Ghazi Attack
Atul Kulkarni,no,2017,The House Next Door,,no,Milind Rau,,,
Atul Kulkarni,no,2019,Junglee,24.70,no,Chuck Russell,5.6,2532,Junglee
Atul Kulkarni,no,2019,Manikarnika: The Queen of Jhansi,132.95,no,Radha Krishna Jagarlamudi Kangana Ranaut,6.4,16711,Manikarnika: The Queen of Jhansi
Atul Kulkarni,no,2019,Pranaam,,no,Sanjiv Jaiswal,4.3,598,Pranaam
Atul Kulkarni,no,2020,Gul Makai,,no,H.E. Amjad khan,2.7,314,Gul Makai
Atul Kulkarni,no,2022,A Thursday,,no,Behzad Khambata,7.6,27249,A Thursday
Atul Mongia,no,2010,Love Sex Aur Dhokha,9.80,no,Dibakar Banerjee,,,
Atul Parchure,no,2002,Kyaa Dil Ne Kahaa,,yes,Sanjay Chhel,2.9,341,Kyaa Dil Ne Kahaa
Atul Parchure,no,2005,Kalyug,,yes,Mohit Suri,6.5,3631,Kalyug
Atul Parchure,no,2012,Chhodo Kal Ki Baatein,,no,Pramod Joshi,7.4,169,Chhodo Kal Ki Baatein
Atul Parchure,no,2013,Wake Up India,,no,Babloo Seshadri,6.9,27,Wake Up India
Atul Shrivastava,no,2021,Kya Meri Sonam Gupta Bewafa Hai?,,no,Ssaurabh Tyagi,4.2,1260,Kya Meri Sonam Gupta Bewafa Hai
Atul Srivastav,no,2020,Yahan Sabhi Gyani Hain,,no,Anant Tripathi,4.8,315,Yahan Sabhi Gyani Hain
Atul Srivastav,no,2024,Aayushmati Geeta Matric Pass,,no,Prradip Khairwar,6.2,795,Aayushmati Geeta Matric Pass
Atul Srivastava,no,2021,Ye Mard Bechara,,no,Anuup Thapa,7.7,1075,Ye Mard Bechara
Atul Tiwari,no,2024,Rautu Ka Raaz,,no,Anand Surapur,6.3,2102,Rautu Ka Raaz
Auritra Ghosh,no,2011,Love Breakups Zindagi,2.06,yes,Sahil Sangha,5.9,1159,Love Breakups Zindagi
Auritra Ghosh,no,2025,WingMan (The Universal Irony of Love),,no,Anuj Gulati,,,
Auroshikha Dey,no,2015,NH-8 Road to Nidhivan,,no,Munindra Gupta,2.7,61,NH-8: Road to Nidhivan
Aushima Sawhney,no,2007,Dhokha,,no,Pooja Bhatt,6.2,526,Dhokha
Aushima Sawhney,no,2008,Superstar,,no,Rohit Jugraj,6.1,805,Superstar
Ava Mukherjee,no,2009,Detective Naani,,no,Romilla Mukherjee,6.5,101,Detective Naani
Avantika Dassani,no,2025,Inn Galiyon Mein,,no,Avinash Das,8.7,641,Inn Galiyon Mein
Avika Gor,no,2023,1920: Horrors of the Heart,17.35,no,Krishna Bhatt,2.7,4381,1920: Horrors of the Heart
Avika Gor,no,2024,Bloody Ishq,,no,Vikram Bhatt,3.0,2229,Bloody Ishq
Avinash Bhargava,no,2013,Zindagi Jalebi,,no,Karan Kashyap,4.2,11,Zindagi Jalebi
Avinash Dhyani,no,2016,Fredrick,,no,Rajesh Butalia,4.4,25,Fredrick
Avinash Dhyani,no,2019,72 Hours: Martyr Who Never Died,,no,Avinash Dhyani,5.5,401,72 Hours: Martyr Who Never Died
Avinash Dhyani,no,2021,Sumeru,,no,Avinash Dhyani,7.6,44,Sumeru
Avinash Dhyani,no,2024,Phooli,,no,Avinash Dhyani,7.4,16,Phooli
Avinash Tiwary,no,2009,Suno Na.. Ek Nanhi Aawaz,,no,Amy Thanawala,5.2,13,Suno Na.. Ek Nanhi Aawaz
Avinash Tiwary,no,2018,Laila Majnu,11.50,no,Sajid Ali,7.6,9828,Laila Majnu
Avinash Tiwary,no,2020,Bulbbul,,no,Anvita Dutt,6.6,16592,Bulbbul
Avinash Tiwary,no,2020,Ghost Stories,,yes,Karan Johar Dibakar Banerjee Zoya Akhtar Anurag Kashyap,4.5,6300,Ghost Stories
Avinash Tiwary,no,2021,The Girl on the Train,,no,Ribhu Dasgupta,4.0,15328,The Girl on the Train
Avinash Tiwary,no,2024,Madgaon Express,57.34,no,Kunal Khemu,7.0,42705,Madgaon Express
Avinash Tiwary,no,2024,Sikandar Ka Muqaddar,,no,Neeraj Pandey,6.0,26395,Sikandar Ka Muqaddar
Avinash Tiwary,no,2025,The Mehta Boys,,no,Boman Irani,7.1,3501,The Mehta Boys
Avneet Kaur,no,2023,Tiku Weds Sheru,,no,Sai Kabir,3.4,3554,Tiku Weds Sheru
Avneet Kaur,no,2024,Luv Ki Arrange Marriage,,no,Ishrat R. Khan,4.4,5873,Luv Ki Arrange Marriage
Avneet Kaur,no,2025,Love in Vietnam,,no,Rahat Shah Kazmi,8.5,1319,Love in Vietnam
Avtar Gill,no,2004,Bhola in Bollywood,,no,Sumbul Gazi,6.7,27,Bhola in Bollywood
Avtar Gill,no,2005,Sitam,,no,,3.3,42,Sitam
Avtar Gill,no,2016,Wazir,78.69,no,Bejoy Nambiar,7.1,20865,Wazir
Awan Pookot,no,2025,Jugnuma: The Fable,0.40,no,Raam Reddy,6.3,20897,The Fable
Ayaan Ahmad,no,2010,Ada... A Way of Life,,no,Tanvir Ahmad,3.8,64,Ada... A Way of Life
Ayaz Khan,no,2007,Honeymoon Travels Pvt. Ltd.,19.51,yes,Reema Kagti,6.1,3180,Honeymoon Travels Pvt. Ltd.
Ayaz Khan,no,2008,Jaane Tu... Ya Jaane Na,84.00,yes,Abbas Tyrewala,7.4,29506,Jaane Tu... Ya Jaane Na
Ayesha Dharker,no,2009,Mumbai Chakachak,,no,Sanjay Jha,,,
Ayesha Jhulka,no,2000,Shikaar,,no,Bobby Raj,3.8,45,Shikaar
Ayesha Jhulka,no,2001,Hadh: Life on the Edge of Death,,no,Thampi Kannanthanam,4.2,28,Hadh: Life on the Edge of Death
Ayesha Jhulka,no,2004,Run,,yes,Jeeva,5.0,1620,Run
Ayesha Jhulka,no,2005,Double Cross - Ek Dhoka,,no,Vicky Tejwani,4.0,61,Double Cross: Ek Dhoka
Ayesha Jhulka,no,2005,Socha Na Tha,,yes,Imtiaz Ali,7.4,8307,Socha Na Tha
Ayesha Jhulka,no,2010,Ada... A Way of Life,,no,Tanvir Ahmad,3.8,64,Ada... A Way of Life
Ayesha Jhulka,no,2018,Genius,7.50,no,Anil Sharma,5.1,3849,Genius
Ayesha Kaduskar,no,2025,Bhagwat: Chapter One – Raakshas,,no,Akshay Shere,6.9,10288,Bhagwat Chapter One: Raakshas
Ayesha Kapur,no,2005,Black,40.94,no,Sanjay Leela Bhansali,8.1,37535,Black
Ayesha Kapur,no,2009,Sikandar,0.82,no,Piyush Jha,6.4,306,Sikandar
Ayesha Khaduskar,no,2018,Dil Juunglee,1.30,no,Aleya Sen,3.8,587,Dil Juunglee
Ayesha Khan,no,2025,Kis Kisko Pyaar Karoon 2,14.87,no,Anukalp Goswami,4.7,4196,Kis Kisko Pyaar Karoon 2
Ayesha Khanna,no,2014,Dishkiyaoon,6.88,yes,Sanamjit Talwar,5.2,1137,Dishkiyaoon
Ayesha Raza,no,2007,Return of Hanuman,6.14,no,Anurag Kashyap,7.6,2266,Return of Hanuman
Ayesha Raza Mishra,no,2019,Chappad Phaad Ke,,no,Sameer Hemant Joshi,,,
Ayesha Takia,no,2004,Dil Maange More,,yes,Anant Mahadevan,5.2,2260,Dil Maange More!!!
Ayesha Takia,no,2004,Taarzan: The Wonder Car,6.20,no,Abbas Mustan,5.0,6566,Taarzan: The Wonder Car
Ayesha Takia,no,2005,Home Delivery,,yes,Sujoy Ghosh,,,
Ayesha Takia,no,2005,Shaadi No. 1,20.49,yes,David Dhawan,3.6,1133,Shaadi No. 1
Ayesha Takia,no,2005,Socha Na Tha,,yes,Imtiaz Ali,7.4,8307,Socha Na Tha
Ayesha Takia,no,2006,Dor,,no,Nagesh Kukunoor,7.9,6481,Dor
Ayesha Takia,no,2006,Shaadi Se Pehle,18.88,yes,Satish Kaushik,4.4,994,Shaadi Se Pehle
Ayesha Takia,no,2006,Yun Hota Toh Kya Hota,,no,Nasseruddin Shah,6.4,804,What If?
Ayesha Takia,no,2007,Cash,29.30,yes,Anubhav Sinha,3.5,2204,Cash
Ayesha Takia,no,2007,Fool & Final,27.62,yes,Ahmed Khan,,,
Ayesha Takia,no,2007,Kya Love Story Hai,,yes,Lovely Singh,3.3,435,Kya Love Story Hai
Ayesha Takia,no,2007,No Smoking,3.49,no,Anurag Kashyap,7.3,11300,No Smoking
Ayesha Takia,no,2007,Salaam-e-Ishq: A Tribute to Love,52.24,yes,Nikhil Advani,,,
Ayesha Takia,no,2008,De Taali,,no,Eeshwar Nivas,4.3,939,De Taali
Ayesha Takia,no,2008,Sunday,,yes,Rohit Shetty,5.5,3434,Sunday
Ayesha Takia,no,2009,8 x 10 Tasveer,23.58,no,Nagesh Kukunoor,5.5,6467,8 x 10 Tasveer
Ayesha Takia,no,2009,Wanted,93.23,yes,Prabhu Deva,6.6,29570,Wanted
Ayesha Takia,no,2010,Paathshaala,17.00,yes,Milind Ukey,5.1,2176,Paathshaala
Ayesha Takia,no,2011,Mod,0.63,no,Nagesh Kukunoor,6.4,462,Mod
Ayub Khan,no,2002,Kitne Door Kitne Paas,,yes,Mehul Kumar,4.5,392,Kitne Door... Kitne Paas
Ayub Khan,no,2003,Gangaajal,16.67,no,Prakash Jha,7.8,19129,Gangaajal
Ayub Khan,no,2005,Apaharan,23.16,no,Prakash Jha,7.4,5608,Apaharan
Ayub Khan,no,2005,Revati,0.15,no,Farogh Siddique,5.2,44,Revati
Ayub Khan,no,2010,Toh Baat Pakki!,,no,Kedarh Shinde,5.2,425,Toh Baat Pakki!
Ayub Khoso,no,2015,Welcome 2 Karachi,,yes,Ashish R Mohan,4.4,1568,Welcome 2 Karachi
Ayush Mehra,no,2023,Kacchey Limbu,,no,Shubham Yogi,6.3,511,Kacchey Limbu
Ayush Pathak,no,2025,Chidiya,,no,Mehran Amrohi,,,
Ayush Tandon,no,2024,Chote Nawab,,no,Kumud Chaudhary,,,
Ayushman Khurana,no,2018,Andhadhun,456.89,no,Sriram Raghavan,8.2,116411,Andhadhun
Ayushman Khurrana,no,2018,Badhaai Ho,221.44,no,Amit Ravindernath Sharma,7.9,40826,Badhaai Ho
Ayushmann Khurrana,no,2012,Vicky Donor,68.32,no,Shoojit Sircar,7.7,48006,Vicky Donor
Ayushmann Khurrana,no,2013,Nautanki Saala,22.30,yes,Rohan Sippy,5.8,4599,Nautanki Saala!
Ayushmann Khurrana,no,2014,Bewakoofiyaan,22.20,yes,Nupur Asthana,5.5,4786,Bewakoofiyaan
Ayushmann Khurrana,no,2015,Dum Laga Ke Haisha,113.85,no,Sharat Katariya,7.4,22529,Dum Laga Ke Haisha
Ayushmann Khurrana,no,2015,Hawaizaada,,no,Vibhu Puri,5.5,2219,Hawaizaada
Ayushmann Khurrana,no,2017,Bareilly Ki Barfi,58.75,no,Ashwini Iyer Tiwari,7.5,28608,Seeking True Love
Ayushmann Khurrana,no,2017,Meri Pyaari Bindu,17.79,no,Akshay Roy,6.1,6746,Meri Pyaari Bindu
Ayushmann Khurrana,no,2017,Shubh Mangal Saavdhan,64.54,no,R. S. Prasanna,6.9,12226,Shubh Mangal Savdhan
Ayushmann Khurrana,no,2019,Article 15,93.08,no,Anubhav Sinha,8.1,41487,Article 15
Ayushmann Khurrana,no,2019,Bala,172.00,no,Amar Kaushik,7.3,18125,Bala
Ayushmann Khurrana,no,2019,Dream Girl,200.80,no,Raaj Shaandilyaa,7.0,18646,Dream Girl
Ayushmann Khurrana,no,2020,Gulabo Sitabo,,no,Shoojit Sircar,6.3,14113,Gulabo Sitabo
Ayushmann Khurrana,no,2020,Shubh Mangal Zyada Saavdhan,87.00,no,Hitesh Kewalya,5.8,11240,Shubh Mangal Zyada Saavdhan
Ayushmann Khurrana,no,2021,Chandigarh Kare Aashiqui,41.23,no,Abhishek Kapoor,6.7,15987,Chandigarh Kare Aashiqui
Ayushmann Khurrana,no,2022,An Action Hero,,no,Anirudh Iyer,7.0,33668,An Action Hero
Ayushmann Khurrana,no,2022,Anek,11.10,no,Anubhav Sinha,6.3,22864,Anek
Ayushmann Khurrana,no,2022,Doctor G,40.71,no,Anubhuti Kashyap,6.6,19576,Doctor G
Ayushmann Khurrana,no,2023,Dream Girl 2,140.56,yes,Raaj Shaandilyaa,5.2,13319,Dream Girl 2
Ayushmann Khurrana,no,2025,Thamma,169.75,no,Aditya Sarpotdar,5.8,49285,Thamma
Azhar,no,2018,Falooda,,no,Dhiraj Singh,5.9,17,Falooda
Azmeri Haque Badhon,no,2023,Khufiya,,no,Vishal Bharadwaj,6.1,8894,Khufiya
B. Jayashree,no,2024,"Love, Sitara",,no,Vandana Kataria,5.2,334,"Love, Sitara"
Baba Sehgal,no,2010,My Friend Ganesha 3,1.59,no,Rajiv S. Ruia,5.0,105,My Friend Ganesha 3
Babbu Maan,no,2025,The Bengal Files,16.19,no,Vivek Agnihotri,6.9,12076,The Bengal Files
Babbu Mann,no,2003,Hawayein,,no,Ammtoje Mann,7.4,326,Hawayein
Babil Khan,yes,2022,Qala,,yes,Anvita Dutt,7.2,8559,Qala
Babil Khan,yes,2023,Friday Night Plan,,yes,Vatsal Neelakantan,6.6,2134,Friday Night Plan
Babil Khan,yes,2025,Logout,,yes,Amit Golani,7.2,1606,Logout
Bachchan Pachera,no,2016,Rebellious Flower,,no,Krishan Hooda,6.8,280,Rebellious Flower
Badrul Islam,no,2024,Manihar,,no,Sanjeev Kumar Rajput,,,
Badshah,no,2019,Khandaani Shafakhana,3.98,yes,Shilpi Dasgupta,4.4,1427,Khandaani Shafakhana
Baharul Islam,no,2020,Pepper Chicken,,no,Ratan Sil Ram,5.3,454,Pepper Chicken
Bajrang Bali Singh,no,2014,Khwaabb,,no,Zaid Ali Khan,5.6,82,Khwaabb
Baljeet Singh,no,2005,Deewane Huye Paagal,26.50,yes,Vikram Bhatt,5.7,6718,Deewane Huye Paagal
Banita Sandhu,no,2018,October,58.41,yes,Shoojit Sircar,7.6,20996,October
Banita Sandhu,no,2021,Sardar Udham,,yes,Shoojit Sircar,8.3,50765,Sardar Udham
Banita Sandhu,no,2023,Mother Teresa & Me,,no,Kamal Musale,4.7,157,Mother Teresa & Me
Banita Sandhu,no,2025,Detective Sherdil,,no,Ravi Chhabriya,5.1,5577,Detective Sherdil
Bappi Lahiri,no,2009,Main Aurr Mrs Khanna,14.60,yes,Prem Soni,3.4,3576,Me and Mrs. Khanna
Barbara Mori,no,2010,Kites,65.00,yes,Anurag Basu,6.0,14420,Kites
Barkha Bisht,no,2023,1920: Horrors of the Heart,17.35,no,Krishna Bhatt,2.7,4381,1920: Horrors of the Heart
Barkha Madan,no,2010,Soch Lo,,no,Sartaj Singh Pannu,6.5,99,Soch Lo
Barkha Sengupta,no,2019,PM Narendra Modi,,yes,Omung Kumar,3.0,9250,PM Narendra Modi
Barkha Singh,no,2021,Silence... Can You Hear It?,,no,Aban Bharucha Deohans,6.6,6034,Silence: Can You Hear It
Barkha Singh,no,2022,36 Farmhouse,,no,Ram Ramesh Sharm,3.8,575,36 Farmhouse
Barkha Singh,no,2022,Maja Ma,,no,Anand Tiwari,6.2,2999,Maja Ma
Barry John,no,2010,Tere Bin Laden,,no,Abhishek Sharma,7.2,11129,Tere Bin Laden
Barry John,no,2010,Thanks Maa,,no,Irfan Kamal,8.1,764,Thanks Maa
Barry John,no,2012,Chittagong,0.31,no,Bedabrata Pain,7.3,1945,Chittagong
Barun Sobti,no,2014,Main Aur Mr. Riight,,no,Adeeb Rais,4.8,413,Main Aur Mr. Riight
Barun Sobti,no,2017,Tu Hai Mera Sunday,,no,Milind Dhaimade,7.7,2096,You Are My Sunday
Barun Sobti,no,2019,22 Yards,,no,Mitali Ghoshal,5.1,1749,22 Yards
Barun Sobti,no,2020,Halahal,,no,Randeep Jha,7.0,2091,Halahal
Barun Sobti,no,2021,200 – Halla Ho,,no,Sarthak Dasgupta,7.4,1984,200: Halla Ho
Beena Banerjee,no,2000,Le Chal Apne Sang,,no,Vijay Kondke,5.8,16,Le Chal Apne Sang
Bellamkonda Sreenivas,no,2023,Chatrapathi,,no,V. V. Vinayak,4.0,3706,Chatrapathi
Ben Hawkey,no,2011,Ra.One,207.00,yes,Anubhav Sinha,5.0,51985,Ra.One
Ben Kingsley,no,2010,Teen Patti,7.63,no,Leena Yadav,4.2,1687,Teen Patti
Benaf Dadachandji,no,2016,LoveShhuda,3.02,no,Vaibhav Mishra,4.7,658,LoveShhuda
Benedict Garrett,no,2024,Ae Watan Mere Watan,,yes,Kannan Iyer,4.7,1443,Ae Watan Mere Watan
Benjamin Schoefer,no,2008,Karzzzz,,no,Satish Kaushik,2.3,1517,Karzzzz
Beyounick,no,2025,The Bhootnii,,yes,Sidhaant Sachdev,3.7,11992,The Bhootnii
Bhagwan Tiwari,no,2017,Babumoshai Bandookbaaz,12.60,no,Kushan Nandy,6.8,2730,Babumoshai Bandookbaaz
Bhagyashree,no,2006,Humko Deewana Kar Gaye,27.00,no,Raj Kanwar,5.2,4610,Humko Deewana Kar Gaye
Bhagyashree,no,2010,Red Alert: The War Within,,no,Anant Mahadevan,6.5,412,Red Alert: The War Within
Bhagyashree,no,2023,Sajini Shinde Ka Viral Video,,no,Mikhil Musale,6.2,6200,Sajini Shinde Ka Viral Video
Bhalchandra Kadam,no,2025,Inspector Zende,,no,Chinmay Mandlekar,5.8,3216,Inspector Zende
Bhanu Uday,no,2014,Machhli Jal Ki Rani Hai,,no,Debaloy Dey,2.4,342,Machhli Jal Ki Rani Hai
Bharat Jadhav,no,2015,P Se PM Tak,,no,Kundan Shah,3.7,106,P Se PM Tak
Bharati Achrekar,no,2013,The Lunchbox,110.00,no,Ritesh Batra,7.8,68370,The Lunchbox
Bharati Achrekar,no,2017,Patel Ki Punjabi Shaadi,,yes,Sanjay Chhel,4.0,427,Patel Ki Punjabi Shaadi
Bharati Achrekar,no,2017,Poster Boys,30.00,yes,Shreyas Talpade,5.4,1862,Poster Boys
Bharati Sharma,no,2017,Babuji Ek Ticket Bambai,,no,Arvind Tripathi,7.3,11,Babuji Ek Ticket Bambai
Bharti Singh,no,2016,Sanam Re,31.46,yes,Divya Khosla Kumar,3.4,3831,Sanam Re
Bharti Soni,no,2021,Raag,,no,Arvind Tripathi,7.0,9,Raag
Bhasha Sumbli,no,2025,Baramulla,,no,Aditya Suhas Jambhale,7.0,12352,Baramulla
Bhaumik Sampat,no,2012,Sadda Adda,,no,Muazzam Beg,7.0,1492,Sadda Adda
Bhavesh Kumar,no,2019,P Se Pyaar F Se Faraar,,no,Manoj Tiwari,5.2,1104,P Se Pyaar F Se Faraar
Bhavin Bhanushali,no,2022,Ishq Pashmina,,no,Arvind Pandey,7.5,438,Ishq Pashmina
Bhavna Pani,no,2002,Dil Vil Pyar Vyar,4.65,no,Anant Mahadevan,5.4,580,Dil Vil Pyar Vyar
Bhavna Ruparel,no,2012,Chal Pichchur Banate Hain,,no,Pritish Chakraborty,6.3,56,Chal Pichchur Banate Hain
Bhoomika Chawla,no,2003,Tere Naam,24.54,yes,Satish Kaushik,7.2,22648,In Your Name
Bhoomika Chawla,no,2004,Run,,yes,Jeeva,5.0,1620,Run
Bhoop Yaduvanshi,no,2012,Cigarette Ki Tarah,,no,Akashaditya Lama,4.5,35,Cigarette Ki Tarah
Bhumi Pednekar,no,2015,Dum Laga Ke Haisha,113.85,no,Sharat Katariya,7.4,22529,Dum Laga Ke Haisha
Bhumi Pednekar,no,2017,Shubh Mangal Saavdhan,64.54,no,R. S. Prasanna,6.9,12226,Shubh Mangal Savdhan
Bhumi Pednekar,no,2017,Toilet: Ek Prem Katha,311.50,no,Shree Narayan Singh,7.2,26002,Toilet: A Love Story
Bhumi Pednekar,no,2018,Lust Stories,,yes,"Anurag Kashyap , Karan Johar , Zoya Akhtar , Dibakar Banerjee",6.3,14095,Lust Stories
Bhumi Pednekar,no,2019,Bala,172.00,no,Amar Kaushik,7.3,18125,Bala
Bhumi Pednekar,no,2019,Pati Patni Aur Woh,118.00,yes,Mudassar Aziz,5.8,9254,Pati Patni Aur Woh
Bhumi Pednekar,no,2019,Saand Ki Aankh,30.70,no,Tushar Hiranandani,7.5,6196,Saand Ki Aankh
Bhumi Pednekar,no,2019,Sonchiriya,10.42,no,Abhishek Chaubey,7.9,13596,Sonchiriya
Bhumi Pednekar,no,2020,Bhoot – Part One: The Haunted Ship,40.94,yes,Bhanu Pratap Singh,5.4,6228,Bhoot: Part One - The Haunted Ship
Bhumi Pednekar,no,2020,Dolly Kitty Aur Woh Chamakte Sitare,,no,Alankrita Shrivastava,5.2,8018,Dolly Kitty and Those Twinkling Stars
Bhumi Pednekar,no,2020,Durgamati,,no,G. Ashok,,,
Bhumi Pednekar,no,2022,Badhaai Do,28.33,no,Harshavardhan Kulkarni,7.0,23050,Badhaai Do
Bhumi Pednekar,no,2022,Govinda Naam Mera,,yes,Shashank Khaitan,6.5,11160,Govinda Naam Mera
Bhumi Pednekar,no,2022,Raksha Bandhan,61.61,no,Aanand L. Rai,5.5,31688,Raksha Bandhan
