actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director,imdb_rating,imdb_votes,imdb_matched_title
Aamir Khan,yes,2011,Delhi Belly,103.00,yes,Abhinay Deo,7.6,34924,Delhi Belly
Aamir Khan,yes,2011,Dhobi Ghat,25.60,yes,Kiran Rao,7.0,14335,Mumbai Diaries
Aamir Khan,yes,2012,Talaash: The Answer Lies Within,180.83,yes,Reema Kagti,7.3,48704,Talaash: The Answer Lies Within
Aamir Khan,yes,2013,Dhoom 3,589.02,yes,Vijay Krishna Acharya,5.4,53514,Dhoom 3
Aamir Khan,yes,2014,PK,769.00,yes,Rajkumar Hirani,8.1,223099,PK
Aamir Khan,yes,2016,Dangal,2160.00,yes,Nitesh Tiwari,8.3,243597,Dangal
Aamir Khan,yes,2017,Secret Superstar,977.00,yes,Advait Chandan,7.7,32300,Secret Superstar
Aamir Khan,yes,2018,Thugs of Hindostan,335.00,yes,Vijay Krishna Acharya,4.1,23056,Thugs of Hindostan
Aamir Khan,yes,2022,Laal Singh Chaddha,129.64,yes,Advait Chandan,5.6,181256,Laal Singh Chaddha
Aamir Khan,yes,2025,Sitaare Zameen Par,266.49,yes,R. S. Prasanna,6.9,33822,Sitaare Zameen Par
Aamir Raza Hussain,no,2014,Khoobsurat,79.43,yes,Shashanka Ghosh,6.4,9625,Khoobsurat
Aamna Sharif,no,2009,Aloo Chaat,,no,Robby Grewal,5.9,1021,Aloo Chaat
Aamna Sharif,no,2011,Shakal Pe Mat Ja,,no,Shubh Mukherjee,5.3,55,Shakal Pe Mat Ja
Aamna Sharif,no,2014,Ek Villain,169.62,no,Mohit Suri,6.6,25309,The Villain
Aamna Shariff,no,2009,Aao Wish Karein,,no,Glenn Baretto,5.2,699,Aao Wish Karein
Aanaahad,no,2010,Lahore,,no,Sanjay Puran Singh Chauhan,6.3,589,Lahore
Aanamika Bawa,no,2013,Pyaar Mein Aisa Hota Hai,,no,Rajesh Kumar,4.4,8,Pyaar Mein Aisa Hota Hai
Aanchal Munjal,no,2016,Ghayal: Once Again,45.35,yes,Sunny Deol,6.2,5587,Ghayal Once Again
Aanchal Munjal,no,2023,Mandali,,no,Rakesh Chaturvedi Om,5.9,1108,Mandali
Aanjjan Srivastav,no,2012,Chhodo Kal Ki Baatein,,no,Pramod Joshi,7.4,169,Chhodo Kal Ki Baatein
Aanjjan Srivastav,no,2013,Wake Up India,,no,Babloo Seshadri,6.9,27,Wake Up India
Aanjjan Srivastav,no,2019,PM Narendra Modi,,yes,Omung Kumar,3.0,9250,PM Narendra Modi
Aarav Khanna,no,2011,Chillar Party,,yes,"Vikas Bahl , Nitesh Tiwari",7.5,9358,Children's Party
Aarav Negi,no,2018,Falooda,,no,Dhiraj Singh,5.9,17,Falooda
Aarohi Saud,no,2024,Tikdam,,no,Vivek Anchalia,7.7,516,Tikdam
Aarti Agarwal,no,2001,Paagalpan,,no,Aruna Irani,6.6,64,Paagalpan
Aarti Chabria,no,2002,Tum Se Achcha Kaun Hai,16.00,no,Deepak Anand,4.9,323,Tum Se Achcha Kaun Hai
Aarti Chabria,no,2007,Partner,101.00,yes,David Dhawan,5.9,15038,Partner
Aarti Chabria,no,2007,Shootout at Lokhandwala,46.04,yes,Apoorva Lakhia,7.1,11622,Shootout at Lokhandwala
Aarti Chabria,no,2007,Ta Ra Rum Pum,70.00,yes,Siddharth Anand,5.9,9978,Ta Ra Rum Pum
Aarti Chabria,no,2008,Anamika,,no,Anant Mahadevan,,,
Aarti Chabria,no,2008,Halla Bol,19.39,yes,Rajkumar Santoshi,6.0,2515,Halla Bol
Aarti Chabria,no,2009,Daddy Cool,,no,K. Murli Manohar Rao,5.1,630,Daddy Cool
Aarti Chabria,no,2010,Milenge Milenge,,yes,Satish Kaushik,4.1,2137,Milenge Milenge
Aarti Chhabria,no,2003,Raja Bhaiya,2.58,no,Raman Kumar,3.8,280,Raja Bhaiya
Aarti Chhabria,no,2005,Shaadi No. 1,20.49,yes,David Dhawan,3.6,1133,Shaadi No. 1
Aarti Chhabria,no,2009,Kisse Pyaar Karoon,,no,Ajay Chandock,3.5,194,Kisse Pyaar Karoon?
Aarti Puri,no,2004,""" Mysteries Shaque """,,no,"Vinod Chhabara ,",5.2,18,Mysteries Shaque
Aarun Nagar,no,2019,Risknamaa,,no,Aarun Nagar,8.3,43,Risknamaa
Aarushi Sharma,no,2022,Jaadugar,,no,Sameer Saxena,6.8,12265,Jaadugar
Aarya Babbar,no,2011,Aazaan,,no,Prashant Chadha,4.4,394,Aazaan
Aarya Babbar,no,2022,Hai Tujhe Salaam India,,no,Avanish Kumar,7.7,44,Hai Tujhe Salaam India
Aarya Babbar,no,2023,Do Ajnabee,,no,Sanjeev Kumar Rajput,7.0,12,Do Ajnabee
Aarya Kumar,no,2013,Boyss Toh Boyss Hain,,no,Amit Vats,5.2,66,Boyss Toh Boyss Hain
Aashi Rawal,no,2016,Shortcut Safari,,no,Amitabha Singh,6.5,82,Shortcut Safari
Aashim Gulati,no,2016,Tum Bin II,6.45,no,Anubhav Sinha,4.8,1512,Tum Bin II
Aashim Gulati,no,2023,U-Turn,,no,Arif Khan,6.2,3628,U Turn
Aashim Gulati,no,2024,Kahan Shuru Kahan Khatam,,no,Saurabh Dasgupta,6.2,3926,Kahan Shuru Kahan Khatam
Aashish Chanana,no,2005,Dreams,,no,Ashish Chanana,3.7,121,Dreams
Aashish Chaudhary,no,2003,Qayamat: City Under Threat,28.52,yes,Harry Baweja,4.8,2742,Qayamat: City Under Threat
Aashish Chaudhary,no,2004,Girlfriend,,no,Karan Razdan,3.3,407,Girlfriend
Aashish Chaudhary,no,2004,Let's Enjoy,,no,"Ankur Tewari , Siddharth Anand Kumar",6.6,127,Let's Enjoy
Aashish Chaudhary,no,2004,Shaadi Ka Laddoo,,no,Raj Kaushal,4.7,120,Shaadi Ka Laddoo
Aashish Chaudhary,no,2006,Fight Club: Members Only,8.88,yes,Vikram Chopra,3.6,1728,Fight Club: Members Only
Aashish Chaudhary,no,2007,Dhamaal,50.73,yes,Indra Kumar,7.5,22615,Dhamaal
Aashish Chaudhary,no,2007,Speed,,yes,Vikram Bhatt,3.1,621,Speed
Aashish Chaudhary,no,2009,Daddy Cool,,no,K. Murli Manohar Rao,5.1,630,Daddy Cool
Aashish Chaudhary,no,2009,Kisse Pyaar Karoon,,no,Ajay Chandock,3.5,194,Kisse Pyaar Karoon?
Aashish Chaudhary,no,2009,Paying Guests,,no,Paritossh Painter,4.4,647,Paying Guests
Aashish Chaudhary,no,2009,"Three: Love, Lies, Betrayal",,no,Vishal Pandya,5.9,82,"Three: Love, Lies, Betrayal"
Aashish Chaudhary,no,2011,Double Dhamaal,70.54,yes,Indra Kumar,4.1,5374,Double Dhamaal
Aashish Vidyarthi,no,2010,Admissions Open,,no,K.D. Satyam,3.3,66,Admissions Open
Aasif Khan,no,2025,The Bhootnii,,yes,Sidhaant Sachdev,3.7,11992,The Bhootnii
Aasif Sheikh,no,2007,Journey Bombay to Goa,,no,Raj Pendurkar,,,
Aasif Sheikh,no,2010,Benny and Babloo,,no,Yunus Sajawal,6.2,530,Benny and Babloo
Aasif Sheikh,no,2019,Bharat,325.58,yes,Ali Abbas Zafar,4.7,33685,Bharat
Aayush Kumar,no,2025,Andaaz 2,,no,Suneel Darshan,3.9,1674,Andaaz 2
Aayush Sharma,no,2018,Loveyatri,18.14,no,Abhiraj Minawala,3.5,2733,Love Yatri
Aayush Sharma,no,2021,Antim: The Final Truth,59.11,yes,Mahesh Manjrekar,6.1,43393,Antim: The Final Truth
Aayush Sharma,no,2024,Ruslaan,2.70,no,Karan Butani,3.3,1299,Ruslaan
Aayushi Sharma,no,2013,Pyaar Mein Aisa Hota Hai,,no,Rajesh Kumar,4.4,8,Pyaar Mein Aisa Hota Hai
Abbas,no,2002,Ansh: The Deadly Part,,no,Rajan Johri,6.5,78,Ansh: The Deadly Part
Abeer Khan,no,2025,Mission Grey House,,no,Naushad Siddiqui,4.4,1302,Mission Grey House
Abhay Chandarana,no,2000,Dr Mukta,,no,,,,
Abhay Deol,yes,2005,Socha Na Tha,,yes,Imtiaz Ali,7.4,8307,Socha Na Tha
Abhay Deol,yes,2006,Ahista Ahista,,yes,Shivam Nair,6.9,1799,Ahista Ahista
Abhay Deol,yes,2007,Ek Chalis Ki Last Local,,yes,Sanjay Khanduri,7.3,5943,Ek Chalis Ki Last Local
Abhay Deol,yes,2007,Honeymoon Travels Pvt. Ltd.,19.51,yes,Reema Kagti,6.1,3180,Honeymoon Travels Pvt. Ltd.
Abhay Deol,yes,2007,Manorama Six Feet Under,,yes,Navdeep Singh,7.5,9725,Manorama: Six Feet Under
Abhay Deol,yes,2008,Oye Lucky! Lucky Oye!,6.10,yes,Dibakar Banerjee,7.7,19411,Oye Lucky! Lucky Oye!
Abhay Deol,yes,2009,Dev.D,20.82,yes,Anurag Kashyap,7.9,34311,Dev.D
Abhay Deol,yes,2010,Aisha,28.65,yes,Rajshree Ojha,5.1,4636,Aisha
Abhay Deol,yes,2010,"Road, Movie",,yes,Dev Benegal,6.7,1806,"Road, Movie"
Abhay Deol,yes,2011,Zindagi Na Milegi Dobara,163.00,yes,Zoya Akhtar,8.2,95962,Zindagi Na Milegi Dobara
Abhay Deol,yes,2012,Chakravyuh,25.70,yes,Prakash Jha,6.8,3541,Chakravyuh
Abhay Deol,yes,2012,Shanghai,34.90,yes,Dibakar Banerjee,7.2,11299,Shanghai
Abhay Deol,yes,2013,Raanjhanaa,105.00,yes,Anand L. Rai,7.6,38148,Raanjhanaa
Abhay Deol,yes,2014,One by Two,3.77,yes,Devika Bhagat,3.9,793,One by Two
Abhay Deol,yes,2016,Happy Bhag Jayegi,46.50,yes,Mudassar Aziz,6.5,6053,Happy Bhaag Jayegi
Abhay Deol,yes,2018,Nanu Ki Jaanu,4.12,yes,Faraz Haider,5.3,1849,Nanu Ki Jaanu
Abhay Deol,yes,2018,Zero,191.43,yes,Aanand L. Rai,5.2,33278,Zero
Abhay Deol,yes,2019,Chopsticks,,yes,Sachin Yardi,6.5,5616,Chopsticks
Abhay Deol,yes,2019,Line of Descent,,yes,Rohit Karn Batra,4.6,662,Line of Descent
Abhay Deol,yes,2020,What Are the Odds,,yes,Megha Ramaswamy,5.3,915,What Are the Odds?
Abhay Deol,yes,2021,Velle,19.36,yes,Deven Munjal,5.7,4830,Velle
Abhay Joshi,no,2020,Omprakash Zindabad,,no,Ranjeet Gupta,5.9,35,Omprakash Zindabad
Abhay Verma,no,2023,Safed,,no,Sandeep Singh,4.1,185,Safed
Abhay Verma,no,2024,Ae Watan Mere Watan,,yes,Kannan Iyer,4.7,1443,Ae Watan Mere Watan
Abhay Verma,no,2024,Munjya,132.13,no,Aditya Sarpotdar,6.3,28745,Munjya
Abhijeet Sawant,no,2009,Lottery,,no,Hemant Prabhu,2.8,27,Lottery
Abhijeet Singh,no,2020,Bunker,,no,Jugal Raja,7.0,99,Bunker
Abhijit Acharjee,no,2024,Nasha Jurm Aur Gangsters,,no,Rajkumar Patra,6.2,2763,Nasha Jurm Aur Gangsters
Abhijit Bhunia,no,2024,Appu,,no,Prosenjit Ganguly,7.7,211,Appu
Abhilash Chaudhary,no,2021,D Company,,no,Ram Gopal Varma,4.3,591,D Company
Abhilash Chaudhary,no,2025,Akshardham: Operation Vajra Shakti,,yes,Ken Ghosh,,,
Abhilash Kumar,no,2016,Ghayal: Once Again,45.35,yes,Sunny Deol,6.2,5587,Ghayal Once Again
Abhilash Thapleyal,no,2018,Dil Juunglee,1.30,no,Aleya Sen,3.8,587,Dil Juunglee
Abhimanyu Arun,no,2017,Daddy,15.50,no,Ashim Ahluwalia,6.4,2266,Daddy
Abhimanyu Dassani,no,2019,Mard Ko Dard Nahi Hota,2.03,no,Vasan Bala,,,
Abhimanyu Dassani,no,2021,Meenakshi Sundareshwar,,no,Vivek Soni,6.6,19065,Meenakshi Sundareshwar
Abhimanyu Dassani,no,2022,Nikamma,1.77,no,Sabbir Khan,2.8,1804,Nikamma
