actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Gulshan Grover,no,2018,Hate Story IV,26.60,no,Vishal Pandya
Gulshan Grover,no,2021,Cash,,no,Rishab Seth
Gulshan Grover,no,2021,Mumbai Saga,22.29,yes,Sanjay Gupta
Gulshan Grover,no,2021,Sooryavanshi,302.52,no,Rohit Shetty
Gulshan Grover,no,2025,Heer Express,9.42,no,Umesh Shukla
Gulshan Pandey,no,2016,Dhara 302,,no,Jitender Singh Narukal
Gulshan Rana,no,2006,The Real Dream Girls,,no,Suresh Jain
Gulzar Inder Chahal,no,2004,I Proud to Be an Indian,,yes,Puneet Issar
Gulzar Inder Chahal,no,2011,I Am Singh,,no,Puneet Issar
Gunjan Malhotra,no,2015,Badmashiyaan,,no,Amit Khanna
Gunjan Malhotra,no,2016,Airlift,209.97,no,Raja Krishna Menon
Gunjan Vyas,no,2013,Amdavad Junction,,no,Apurv Bajpai
Gurdas Maan,no,2002,Zindagi Khoobsoorat Hai,,no,Manoj Punj
Gurdas Maan,no,2010,Sukhmani: Hope for Life,,no,Manjeet Mann
Gurdeep Singh Mehndi,no,2013,Meri Shadi Karao,,no,Syed Noor
Gurfateh Pirzada,no,2021,Hum Bhi Akele Tum Bhi Akele,,no,Harish Vyas
Gurfateh Singh Pirzada,no,2020,Guilty,,no,Ruchi Narain
Gurleen Chopra,no,2003,Indian Babu,,no,Lawrence D'Souza
Gurleen Chopra,no,2006,Bhagam Bhag,67.00,yes,Priyadarshan
Gurleen Chopra,no,2017,Game Over,,no,Paresh Vinodray Savani
Gurleen Chopra,no,2019,Jai Chhathi Maa,,no,Murari Sinha
Gurleen Choter,no,2015,International Hero,,no,Sanjay Niranjan
Gurmeet Choudhary,no,2015,Khamoshiyan,19.50,no,Karan Dara
Gurmeet Choudhary,no,2016,Wajah Tum Ho,24.40,no,Vishal Pandya
Gurmeet Choudhary,no,2017,Laali Ki Shaadi Mein Laaddoo Deewana,0.81,no,Manish Harishankar
Gurmeet Choudhary,no,2018,Paltan,10.22,yes,J. P. Dutta
Gurmeet Choudhary,no,2021,The Wife,,no,Sarmad Khan
Gurmeet Ram Rahim Singh,no,2015,MSG: The Messenger,17.70,no,"Gurmeet Ram Rahim Singh , Jeetu Arora"
Gurmeet Ram Rahim Singh,no,2016,MSG: The Warrior Lion Heart,,no,"Gurmeet Ram Rahim Singh , Honeypreet Insan"
Gurmeet Ram Rahim Singh,no,2017,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,,no,"Gurmeet Ram Rahim Singh , Honeypreet Insan"
Gurmeet Ram Rahim Singh,no,2017,Jattu Engineer,7.20,no,"Gurmeet Ram Rahim Singh , Honeypreet Insan"
Gurpreet Ghuggi,no,2011,Na Jaane Kabse Hum Hi,,no,Pammi Somal
Gurpreet Saini,no,2023,Tumse Na Ho Payega,,no,Abhishek Sinha
Guru Randhawa,no,2024,Kuch Khattaa Ho Jaay,1.50,no,G. Ashok
Gyan Prakash,no,2023,InCar,,no,Harsh Warrdhan
Haider Khan,no,2016,Dil Toh Deewana Hai,,no,Raja Bundela
Hansika Motwani,no,2004,Aabra Ka Daabra,1.06,no,Dheeraj Kumar
Hansika Motwani,no,2004,Jaago,1.33,yes,Mrhul Kumar
Hansika Motwani,no,2007,Aap Kaa Surroor,19.50,no,Prashant Chadha
Hansika Motwani,no,2008,Money Hai Toh Honey Hai,,no,Ganesh Acharya
Hardik Sanghani,no,2020,Dheet Patangey,,no,Ravi Adhikari
Hardika Sharma,no,2025,Chhorii 2,,yes,Vishal Furia
Hardil Kanaba,no,2016,Shortcut Safari,,no,Amitabha Singh
Harish Bhimani,no,2017,ISIS: Enemies of Humanity,,no,Yuvraj Kumar
Harish Dudhade,no,2025,Inspector Zende,,no,Chinmay Mandlekar
Harish Hariaudh,no,2017,Saankal,,no,Dedipya Joshii
Harish Khanna,no,2018,Tumbbad,15.46,no,Rahi Anil Barve
Harish Khanna,no,2023,12th Fail,69.64,no,Vidhu Vinod Chopra
Harish Khanna,no,2025,Stolen,,no,Karan Tejpal
Harish Patel,no,2013,Paapi - Ek Satya Katha,,yes,Aziz Sejawal
Harleen Sethi,no,2025,Be Happy,,yes,Remo D'Souza
Harman Baweja,no,2008,Love Story 2050,18.47,no,Harry Baweja
Harman Baweja,no,2009,Victory,1.92,no,Ajit Pal Mangat
Harman Baweja,no,2009,What's Your Raashee?,17.00,no,Ashutosh Gowarikar
Harman Baweja,no,2014,Dishkiyaoon,6.88,yes,Sanamjit Talwar
Harman Baweja,no,2016,Chaar Sahibzaade: Rise of Banda Singh Bahadur,,no,Harry Baweja
Harman Baweja,no,2020,It's My Life,,no,Anees Bazmee
Harnaaz Sandhu,no,2025,Baaghi 4,66.39,yes,A. Harsha
Harrdy Sandhu,no,2021,83,193.73,no,Kabir Khan
Harrdy Sandhu,no,2022,Code Name: Tiranga,1.41,no,Ribhu Dasgupta
Harry Mearing,no,2010,Badmaash Company,53.00,yes,Parmeet Sethi
Harsh Chhaya,no,2004,Stop!,,no,Ajai Sinha
Harsh Chhaya,no,2008,Fashion,39.29,yes,Madhur Bhandarkar
Harsh Chhaya,no,2008,"Oh, My God",,no,Saurabh Shrivastava
Harsh Chhaya,no,2009,Blue Oranges,,no,Rajesh Ganguly
Harsh Chhaya,no,2009,Coffee House,,no,Gurbir Grewal
Harsh Chhaya,no,2013,Ankur Arora Murder Case,10.00,no,Suhail Tatari
Harsh Chhaya,no,2013,Calapor,,no,Dinesh P. Bhonsle
Harsh Khurana,no,2003,88 Antop Hill,,no,Kushan Nandy
Harsh Kumar,no,2020,Khawab Sare Jhoothey,,no,Deepak Baldev Thakur
Harsh Mayar,no,2011,I Am Kalam,6.00,no,Nila Madhab Panda
Harsh Mayar,no,2012,Jalpari: The Desert Mermaid,,no,Nila Madhab Panda
Harsh Mayar,no,2019,Kanpuriye,,no,Ashish Aryan
Harsh Nagar,no,2011,Mujhse Fraaandship Karoge,,no,Nupur Asthana
Harsh Nagar,no,2016,Love Day - Pyaar Ka Din,,no,"Sandeep Choudhary, Harish Kotian"
Harsh Vashisht,no,2002,Sur: The Melody of Life,,no,Tanuja Chandra
Harshaali Malhotra,no,2015,Bajrangi Bhaijaan,920.90,yes,Kabir Khan
Harshh Vardhan Singh Deo,no,2025,Jassi Weds Jassi,,yes,Paran Bawa
Harshita Gaur,no,2019,Kanpuriye,,no,Ashish Aryan
Harshita Panwar,no,2022,Dedh Lakh Ka Dulha,,no,Abhay Pratap Singh
Harshvardhan Deo,no,2014,Jigariyaa,,no,Raj Purohit
Harshvardhan Kapoor,yes,2016,Mirzya,13.50,yes,Rakeysh Omprakash Mehra
Harshvardhan Kapoor,yes,2018,Bhavesh Joshi Superhero,4.75,yes,Vikramaditya Motwane
Harshvardhan Kapoor,yes,2022,Thar,,yes,Raj Singh Chaudhary
Harshvardhan Rane,no,2016,Sanam Teri Kasam,16.03,no,"Radhika Rao , Vinay Sapru"
Harshvardhan Rane,no,2018,Paltan,10.22,yes,J. P. Dutta
Harshvardhan Rane,no,2020,Taish,,no,Bejoy Nambiar
Harshvardhan Rane,no,2021,Haseen Dillruba,,no,Vinil Mathew
Harshvardhan Rane,no,2022,Tara Vs Bilal,,no,Samar Iqbal
Harshvardhan Rane,no,2024,Dange,,no,Bejoy Nambiar
Harshvardhan Rane,no,2024,Savi,17.81,no,Abhinay Deo
Harshvardhan Rane,no,2024,The Miranda Brothers,,yes,Sanjay Gupta
Harshvardhan Rane,no,2025,Ek Deewane Ki Deewaniyat,112.03,no,Milap Zaveri
Hasan Zaidi,no,2013,Horror Story,7.00,no,Ayush Raina
Haseena Sofi,no,2020,Half Widow,,no,Danish Renzu
Hasleen Kaur,no,2014,Karle Pyaar Karle,,no,Rajesh Pandey
Hazel Crowney,no,2007,MP3: Mera Pehla Pehla Pyaar,,no,Robbie Grewal
Hazel Crowney,no,2008,U Me Aur Hum,40.02,yes,Ajay Devgn
Hazel Crowney,no,2012,Jeena Hai Toh Thok Daal,,no,Manish Vatsalya
Hazel Keech,no,2011,Bodyguard,252.99,yes,Siddique
Heena Panchal,no,2014,Hum Hai Teen Khurafaati (हम हैं तीन खुराफाती),,no,Rajeshwar Chauhan
Heena Panchal,no,2018,When Obama Loved Osama,,no,Sudhish Kumar Sharma
Heena Panchal,no,2021,Raag,,no,Arvind Tripathi
Heenee Kaushik,no,2003,Love at Times Square,0.30,no,
Heerok Das,no,2015,Yahaan Sabki Lagi Hai,,no,"Satavisha Bose, Cyrus R. khambhata"
Heet Sharma,no,2023,Guthlee Ladoo,,no,Ishrat R. Khan
Helen,no,2010,Dunno Y... Na Jaane Kyon,,no,Sanjay Sharma
Helena Prinzen Klague,no,2023,Rabia & Olivia,,no,Shadab Khan
Hema Malini,no,2000,Hey Ram,11.30,yes,Kamal Haasan
Hema Malini,no,2003,Baghban,43.11,yes,Ravi Chopra
Hema Malini,no,2004,Veer-Zaara,97.64,yes,Yash Chopra
Hema Malini,no,2006,Baabul,39.00,yes,Ravi Chopra
Hema Malini,no,2010,Sadiyaan,,yes,Raj Kanwar
Hema Malini,no,2011,Bbuddah... Hoga Terra Baap,,no,Puri Jagannadh
Hema Malini,no,2014,Sholay 3D,58.00,no,Ramesh Sippy
Hema Malini,no,2017,Ek Thi Rani Aisi Bhi,,no,Gulbahar Singh
Hema Malini,no,2020,Shimla Mirchi,,no,Ramesh Sippy
Hemant Birje,no,2002,Reshma Aur Sultan,,no,S. Kumar
Hemant Deolekar,no,2023,Sir Madam Sarpanch,,no,Praveen Morchhale
Hemant Pandey,no,2011,Chala Mussaddi... Office Office,1.40,no,Rajiv Mehra
Hemant Pandey,no,2014,Hum Hai Teen Khurafaati (हम हैं तीन खुराफाती),,no,Rajeshwar Chauhan
Hemant Pandey,no,2015,Chal Guru Ho Ja Shuru,,no,Manoj Sharma
Hemant Pandey,no,2016,Dil Toh Deewana Hai,,no,Raja Bundela
Hemant Pandey,no,2016,Wah Taj,,no,Ajit Sinha
Hemant Pandey,no,2017,Prakash Electronic,,no,Manoj Sharma
Hemant Pandey,no,2018,When Obama Loved Osama,,no,Sudhish Kumar Sharma
Hemant Pandey,no,2024,Luv You Shankar,,yes,Rajiv S. Ruia
Hemant Pandey,no,2024,Pushtaini,,no,Vinod Rawat
Henna,no,2004,Insaaf: The Justice,,no,Shrey Srivastava
Herry Tangri,no,2016,M.S. Dhoni: The Untold Story,215.48,no,Neeraj Pandey
Hetal Gadda,no,2016,Dhanak,,no,Nagesh Kukunoor
Highphill Mathew,no,2013,Sixteen,,no,Raj Purohit
Himani Shivpuri,no,2008,Kismat Konnection,,yes,Aziz Mirza
Himani Shivpuri,no,2014,Munna Mange Memsaab,,no,Shareeph Mansuri Saranawala
Himani Shivpuri,no,2018,When Obama Loved Osama,,no,Sudhish Kumar Sharma
Himani Shivpuri,no,2024,Binny And Family,,no,Ssanjay Tripaathy
Himansh Kohli,no,2014,Yaariyan,55.00,no,Divya Khosla Kumar
Himansh Kohli,no,2017,Dil Jo Na Keh Saka,,no,Naresh Lalwani
Himansh Kohli,no,2017,Jeena Isi Ka Naam Hai,,yes,Keshhav Panneriy
Himansh Kohli,no,2017,Ranchi Diaries,,no,Sattwik Mohanty
Himansh Kohli,no,2017,Sweetiee Weds NRI,,no,Hasnain Hyderabadwala
Himansh Kohli,no,2024,Kahan Shuru Kahan Khatam,,no,Saurabh Dasgupta
Himanshu Malik,no,2000,Jungle,14.34,yes,Ram Gopal Verma
Himanshu Malik,no,2001,Tum Bin,,no,Anubhav Sinha
Himanshu Malik,no,2003,Khwahish,,no,Govind Menon
Himanshu Malik,no,2004,Rakht,8.44,yes,Mahesh Manjrekar
Himanshu Malik,no,2005,Jackpot,,no,Samit Baadkar
Himanshu Malik,no,2005,Koi Aap Sa,,no,Partho Mitra
Himanshu Malik,no,2005,Rog,,no,Himanshu Brahmbhatt
Himanshu Malik,no,2010,Mallika,,no,Wilson Louis
Himanshu Malik,no,2011,Yamla Pagla Deewana,88.00,yes,Samir Karnik
Himanshu Sharma,no,2016,Dear Dad,,no,Tanuj Bhramar
Himanshu Thakkar,no,2014,Paranthe Wali Gali,,no,Sachin Gupta
Himanshu Tiwari,no,2015,MSG: The Messenger,17.70,no,"Gurmeet Ram Rahim Singh , Jeetu Arora"
Himansu Bhatt,no,2012,Login,,no,Sanjeev Reddy
Himarsha Venkatsamy,no,2014,Roar: Tigers of the Sundarbans,,no,Kamal Sadanah
Himesh Reshammiya,no,2007,Aap Kaa Surroor,19.50,no,Prashant Chadha
Himesh Reshammiya,no,2008,Karzzzz,,no,Satish Kaushik
Himesh Reshammiya,no,2009,Radio,,no,Ishaan Trivedi
Himesh Reshammiya,no,2010,Kajraare,,no,Pooja Bhatt
Himesh Reshammiya,no,2011,Damadamm!,,no,Swapna Waghmare
Himesh Reshammiya,no,2012,Khiladi 786,107.00,no,Ashish R Mohan
Himesh Reshammiya,no,2014,The Xposé,20.00,no,Ananth Narayan Mahadevan
Himesh Reshammiya,no,2016,Teraa Surroor,20.21,no,Shawn Arranha
Himesh Reshammiya,no,2020,Happy Hardy and Heer,,no,Raka
Himesh Reshammiya,no,2025,Badass Ravi Kumar,9.66,no,Keith Gomes
Himir Gandhi,no,2014,Room – The Mystery,,no,Faizal Khan
Himmanshoo A. Malhotra,no,2021,Shershaah,,no,Vishnuvardhan
Hina Khan,no,2020,Hacked,1.82,no,Vikram Bhatt
Hina Khan,no,2020,Unlock,,no,Debatma Mandal
Hina Rehman,no,2005,Fun – Can Be Dangerous Sometimes,,no,Sunjay Zaveri
Hina Tasleem,no,2009,Meri Padosan,,no,Prakash Saini
Hira Warina,no,2025,Kis Kisko Pyaar Karoon 2,14.87,no,Anukalp Goswami
Hiral Sidhu,no,2025,Jugnuma: The Fable,0.40,no,Raam Reddy
Hirranya Ojha,no,2025,Tu Meri Poori Kahani,,no,Suhrita Das
Hiten Kumar,no,2017,Simran,27.25,no,Hansal Mehta
Hiten Paintal,no,2001,Tere Liye,,no,Sanjay Gadhvi
Hiten Paintal,no,2010,Benny and Babloo,,no,Yunus Sajawal
Hiten Paintal,no,2010,Muskurake Dekh Zara,,no,Som Shekar
Hiten Paintal,no,2024,House of Lies,,yes,Saumitra Singh
Hiten Tejwani,no,2003,Joggers Park,2.10,no,Anant Balani
Hiten Tejwani,no,2007,Anwar,0.12,no,Manish Jha
Hiten Tejwani,no,2015,Thoda Lutf Thoda Ishq,,no,Sachin Gupta
Hiten Tejwani,no,2016,Saansein,,no,Rajiv S. Ruia
Hiten Tejwani,no,2022,Jogi,,no,Ali Abbas Zafar
Hitesh Agrawal,no,2009,Shaabash! You Can Do It,,no,Shankar Mondal
Hitesh Bhojraj,no,2020,Class of '83,,yes,Atul Sabharwal
Hitesh Malhan,no,2017,Ribbon,0.53,no,Rakhee Sandilya
Hitesh Patel,no,2013,Amdavad Junction,,no,Apurv Bajpai
Homi Wadia,no,2015,Lion of Gujarat,,no,Dinesh Lamba
Honeypreet Insan,no,2016,MSG: The Warrior Lion Heart,,no,"Gurmeet Ram Rahim Singh , Honeypreet Insan"
Honeypreet Insan,no,2017,Hind Ka Napak Ko Jawab: MSG Lion Heart 2,,no,"Gurmeet Ram Rahim Singh , Honeypreet Insan"
Hrishita Bhatt,no,2001,Aśoka,28.00,yes,Santosh Sivan
Hrishita Bhatt,no,2002,Dil Vil Pyar Vyar,4.65,no,Anant Mahadevan
Hrishita Bhatt,no,2002,Shararat,,yes,Gurudev Bhalla
Hrishita Bhatt,no,2003,Haasil,,no,Tigmanshu Dhulia
Hrishita Bhatt,no,2003,Out of Control,,no,"Apurva Asrani , Ramanjit Juneja"
Hrishita Bhatt,no,2004,Charas,0.51,yes,Tigmanshu Dhulia
Hrishita Bhatt,no,2006,Ankahee,,yes,Vikram Bhatt
Hrishita Bhatt,no,2006,Jawani Diwani: A Youthful Joyride,,yes,Manish Sharma
Hrishita Bhatt,no,2006,Jigyaasa,,no,Faisal Saif
Hrishita Bhatt,no,2008,Don Muthu Swami,,no,Ashim Samanta
Hrishita Bhatt,no,2009,Dhoondte Reh Jaaoge,,yes,Umesh Shukla
Hrishita Bhatt,no,2009,Marega Salaa,,no,Devang Dholkia
Hrishita Bhatt,no,2010,Idiot Box,,no,Sunanda Mitra
Hrishita Bhatt,no,2016,Junooniyat,4.10,no,Vivek Agnihotri
Hrishitaa Bhatt,no,2004,Ab Tak Chappan,,no,Shimit Amin
Hrishitaa Bhatt,no,2007,Dharm,,no,Bhavna Talwar
Hrishitaa Bhatt,no,2008,Deshdrohi,0.89,no,Jagdish A. Sharma
Hrishitaa Bhatt,no,2009,Aasma: The Sky Is the Limit,,no,Rohit Nayyar
Hrishitaa Bhatt,no,2014,Anuradha,,no,Raju Mavani
Hrishitaa Bhatt,no,2015,Miss Tanakpur Haazir Ho,,no,Vinod Kapri
Hrishitaa Bhatt,no,2017,Prakash Electronic,,no,Manoj Sharma
Hrishitaa Bhatt,no,2019,Happi,,no,Bhavna Talwar
Hrithik Roshan,yes,2000,Fiza,32.20,yes,Khalid Mohammed
Hrithik Roshan,yes,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Hrithik Roshan,yes,2000,Mission Kashmir,43.30,yes,Vidhu Vinod Chopra
Hrithik Roshan,yes,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Hrithik Roshan,yes,2001,Yaadein,34.59,yes,Subhash Ghai
Hrithik Roshan,yes,2002,Aap Mujhe Achche Lagne Lage,20.20,yes,Vikram Bhatt
Hrithik Roshan,yes,2002,Mujhse Dosti Karoge!,33.61,yes,Kunal Kohli
Hrithik Roshan,yes,2002,Na Tum Jaano Na Hum,19.29,yes,Arjun Sablok
Hrithik Roshan,yes,2003,Koi... Mil Gaya,82.32,yes,Rakesh Roshan
Hrithik Roshan,yes,2003,Main Prem Ki Diwani Hoon,39.31,yes,Sooraj R. Barjatya
Hrithik Roshan,yes,2004,Lakshya,41.68,yes,Farhan Akhtar
Hrithik Roshan,yes,2006,Dhoom 2,151.00,yes,Sanjay Gadhvi
Hrithik Roshan,yes,2006,I See You,1.92,yes,Vivek Agrawal
Hrithik Roshan,yes,2006,Krrish,126.50,yes,Rakesh Roshan
Hrithik Roshan,yes,2008,Jodhaa Akbar,120.00,yes,Ashutosh Gowariker
Hrithik Roshan,yes,2009,Luck by Chance,29.00,yes,Zoya Akhtar
Hrithik Roshan,yes,2010,Guzaarish,61.30,yes,Sanjay Leela Bhansali
Hrithik Roshan,yes,2010,Kites,65.00,yes,Anurag Basu
Hrithik Roshan,yes,2011,Don 2,202.81,yes,Farhan Akhtar
Hrithik Roshan,yes,2011,Zindagi Na Milegi Dobara,163.00,yes,Zoya Akhtar
Hrithik Roshan,yes,2012,Agneepath,193.00,yes,Karan Malhotra
Hrithik Roshan,yes,2013,Krrish 3,393.37,yes,Rakesh Roshan
Hrithik Roshan,yes,2013,Main Krishna Hoon,,yes,Rajiv S. Ruia
Hrithik Roshan,yes,2014,Bang Bang!,333.00,yes,Siddharth Anand
Hrithik Roshan,yes,2016,Mohenjo Daro,107.80,yes,Ashutosh Gowariker
Hrithik Roshan,yes,2017,Kaabil,208.14,yes,Sanjay Gupta
Hrithik Roshan,yes,2019,Super 30,208.93,yes,Vikas Bahl
Hrithik Roshan,yes,2019,War,475.62,yes,Siddharth Anand
Hrithik Roshan,yes,2022,Vikram Vedha,135.03,yes,Pushkar–Gayathri
Hrithik Roshan,yes,2024,Fighter,344.46,yes,Siddharth Anand
Hrithik Roshan,yes,2025,War 2,,yes,Ayan Mukerji
Hritiqa Chheber,no,2023,Operation Mayfair,,no,Sudipto Sarkar
Hritu Dudani,no,2014,Neighbours,,no,Shyam Ramsay
Hugh Bonneville,no,2017,Partition: 1947,,no,Gurinder Chadha
Huma Qureshi,no,2012,Gangs of Wasseypur – Part 1,35.13,no,Anurag Kashyap
Huma Qureshi,no,2012,Gangs of Wasseypur – Part 2,22.04,no,Anurag Kashyap
Huma Qureshi,no,2012,Luv Shuv Tey Chicken Khurana,10.50,no,Sameer Sharma
Huma Qureshi,no,2013,D Day,24.00,yes,Nikhil Advani
Huma Qureshi,no,2013,Ek Thi Daayan,40.25,yes,Kannan Iyer
Huma Qureshi,no,2013,Shorts,,no,"Shlok Sharma, Siddharth Gupt, Anirban Roy, Rohit Pandey, Neeraj Ghaywan"
Huma Qureshi,no,2014,Dedh Ishqiya,40.80,no,Abhishek Chaubey
Huma Qureshi,no,2015,Badlapur,103.00,yes,Sriram Raghavan
Huma Qureshi,no,2015,X: Past Is Present,,no,Various Directors
Huma Qureshi,no,2017,Dobaara: See Your Evil,,no,Prawaal Raman
Huma Qureshi,no,2017,Jolly LLB 2,197.33,no,Subhash Kapoor
Huma Qureshi,no,2017,Partition: 1947,,no,Gurinder Chadha
Huma Qureshi,no,2021,Bell Bottom,50.58,no,Ranjit M Tewari
Huma Qureshi,no,2022,Double XL,1.12,yes,Satramm Ramani
Huma Qureshi,no,2022,"Monica, O My Darling",,yes,Vasan Bala
Huma Qureshi,no,2023,Tarla,,no,Piyush Gupta
Huma Qureshi,no,2025,Jolly LLB 3,166.06,no,Subhash Kapoor
Huma Qureshi,no,2025,Single Salma,,no,Nachiket Samant
Humaima Malick,no,2014,Raja Natwarlal,26.80,yes,Kunal Deshmukh
Humayun Saeed,no,2008,Fashion,39.29,yes,Madhur Bhandarkar
Humayun Saeed,no,2009,Jashnn,,no,Raksha Mistry & Hasnain S Hyderabadwala
Hussain Dalal,no,2015,Margarita with a Straw,7.40,no,Shonali Bose
Hussain Khan,no,2025,Shaila,,no,Saki Shah
Hussain Kuwajerwala,no,2013,Shree,,no,Rajesh Bachchani
Hyder Ali,no,2008,Kismat Konnection,,yes,Aziz Mirza
Hyder Kazmi,no,2003,Patth,,no,
Iain Glen,no,2025,Tanvi the Great,,no,Anupam Kher
Ibra Khan,no,2014,Room – The Mystery,,no,Faizal Khan
Ibraheem Choudhry,no,2021,Tuesdays and Fridays,,no,Taranveer Singh
Ibrahim Ali Khan,yes,2025,Nadaaniyan,,yes,Shauna Gautam
Ibrahim Ali Khan,yes,2025,Sarzameen,,yes,Kayoze Irani
Ihana Dhillon,no,2018,Hate Story IV,26.60,no,Vishal Pandya
Ihana Dhillon,no,2021,Bhuj: The Pride of India,,yes,Abhishek Dudhaiya
Ila Arun,no,2008,Jodhaa Akbar,120.00,yes,Ashutosh Gowariker
Ila Arun,no,2010,Mirch,,no,Vinay Shukla
Ila Arun,no,2011,Aagaah: The Warning,,no,Karan Razdan
Ila Arun,no,2012,Arjun: The Warrior Prince,,no,Arnab Chaudhuri
Ila Arun,no,2017,Begum Jaan,30.60,no,Srijit Mukherji
Ila Arun,no,2020,Ghoomketu,,no,Pushpendra Nath Misra
Ila Arun,no,2020,Raat Akeli Hai,,no,Honey Trehan
Ila Arun,no,2021,Aafat-E-Ishq,,no,Indrajit Nattoji
Ila Arun,no,2021,Sherni,,no,Amit V. Masurkar
Ila Arun,no,2023,Haddi,,no,Akshat Ajay Sharma
Ila Arun,no,2024,Kuch Khattaa Ho Jaay,1.50,no,G. Ashok
Ileana D'Cruz,no,2012,Barfi!,175.00,yes,Anurag Basu
Ileana D'Cruz,no,2013,Phata Poster Nikhla Hero,72.00,yes,Rajkumar Santoshi
Ileana D'Cruz,no,2014,Happy Ending,38.00,yes,Raj Nidimoru and Krishna DK
Ileana D'Cruz,no,2014,Main Tera Hero,78.00,yes,David Dhawan
Ileana D'Cruz,no,2016,Rustom,216.35,no,Tinu Suresh Desai
Ileana D'Cruz,no,2017,Baadshaho,123.50,yes,Milan Luthria
Ileana D'Cruz,no,2017,Mubarakan,93.24,yes,Anees Bazmee
Ileana D'Cruz,no,2018,Raid,153.62,no,Raj Kumar Gupta
Ileana D'Cruz,no,2019,Pagalpanti,49.17,no,Anees Bazmee
Ileana D'Cruz,no,2021,The Big Bull,,yes,Kookie Gulati
Ileana D'Cruz,no,2024,Do Aur Do Pyaar,4.63,no,Shirsha Guha Thakurta
Ileana D'Cruz,no,2024,Tera Kya Hoga Lovely,,no,Balwinder Singh Janjua
Ilene Hamann,no,2005,Rog,,no,Himanshu Brahmbhatt
Imaad Shah,no,2007,Dil Dosti Etc,,no,Manish Tiwary
Imaad Shah,no,2011,404,,no,Prawaal Raman
Imaad Shah,no,2016,M Cream,,no,Agneya Singh
Imran Abbas,no,2014,Creature,20.60,no,Vikram Bhatt
Imran Ahmed Khan,no,2001,Tere Liye,,no,Sanjay Gadhvi
Imran Hasnee,no,2015,Welcome 2 Karachi,,yes,Ashish R Mohan
Imran Khan,yes,2008,Jaane Tu... Ya Jaane Na,84.00,yes,Abbas Tyrewala
Imran Khan,yes,2008,Kidnap,35.60,yes,Sanjay Gadhvi
Imran Khan,yes,2009,Luck,,yes,Soham Shah
Imran Khan,yes,2010,Break Ke Baad,,yes,Danish Aslam
Imran Khan,yes,2010,I Hate Luv Storys,72.52,yes,Punit Malhotra
Imran Khan,yes,2011,Delhi Belly,103.00,yes,Abhinay Deo
Imran Khan,yes,2011,Mere Brother Ki Dulhan,,yes,Ali Abbas Zafar
Imran Khan,yes,2012,Ek Main Aur Ekk Tu,72.10,yes,Shakun Batra
Imran Khan,yes,2013,Gori Tere Pyaar Mein,20.80,yes,Punit Malhotra
Imran Khan,yes,2013,Matru Ki Bijlee Ka Mandola,31.15,yes,Vishal Bhardwaj
Imran Khan,yes,2013,Once Upon ay Time in Mumbai Dobaara!,91.70,yes,Milan Luthria
Imran Khan,yes,2015,Katti Batti,,yes,Nikhil Advani
Imtiaz Ali,no,2007,Black Friday,8.00,no,Anurag Kashyap
Inaamulhaq,no,2014,Filmistaan,9.99,no,Nitin Kakkar
Inaamulhaq,no,2017,Lucknow Central,16.95,no,Ranjit Tiwari
Inaamulhaq,no,2022,Mere Desh Ki Dharti,,no,Faraz Haider
Inayat Sharma,no,2015,Chinar Daastaan-E-Ishq,,yes,Sharique Minhaj
Inayat Verma,no,2020,Ludo,,yes,Anurag Basu
Inayat Verma,no,2021,Ajeeb Daastaans,,no,Shashank Khaitan Raj Mehta Neeraj Ghaywan Kayoze Irani
Inayat Verma,no,2025,Be Happy,,yes,Remo D'Souza
Inder Kumar,no,2000,Baaghi,6.47,yes,Rajesh Kumar Singh
Inder Kumar,no,2002,Maa Tujhhe Salaam,22.84,yes,Tinu Verma
Inder Kumar,no,2002,Maseeha,,no,Partho Ghosh
Inder Kumar,no,2002,Tumko Na Bhool Paayenge,19.89,yes,Pankaj Parashar
Inder Kumar,no,2006,Aryan,,yes,Abhishek Kapoor
Inder Kumar,no,2009,Wanted,93.23,yes,Prabhu Deva
Indira Tiwari,no,2020,Serious Men,,no,Sudhir Mishra
Indraneil Sengupta,no,2008,1920,14.50,no,Vikram Bhatt
Indraneil Sengupta,no,2012,Kahaani,104.00,no,Sujoy Ghosh
Indraneil Sengupta,no,2014,Children of War,,no,Mrityunjay Devvrat
Indraneil Sengupta,no,2021,200 – Halla Ho,,no,Sarthak Dasgupta
Indraneil Sengupta,no,2023,Aazam,,no,Shravan Tiwari
Indraneil Sengupta,no,2025,Maa,51.64,yes,Vishal Furia
Indrani Haldar,no,2014,Strings of Passion,,no,Sanghamitra Chaudhari
Indrasish Roy,no,2023,Mrs. Undercover,,no,Anushree Mehta
Ipshita Chakraborty Singh,no,2020,Bhonsle,,no,Devashish Makhija
Ipshita Chakraborty Singh,no,2023,Dvand: The Internal Conflict,,no,Ishtiyak Khan
Iqbal Khan,no,2005,Bullet: Ek Dhamaka,,no,Irfan Khan
Ira Dubey,no,2010,Aisha,28.65,yes,Rajshree Ojha
Ira Dubey,no,2015,Aisa Yeh Jahaan,,no,Biswajeet Bora
