year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2000,Aaghaaz,Yogesh Ishwar,Sunil Shetty; Sushmita Sen; Namrata Shirodkar,,,no,
2000,Aaj Ka Ravan,Imran Khalid,Kasam Ali; Mithun Chakraborty,₹1.02 crore,1.02,no,
2000,Anjaane,Ravi Rai,Raveena Tandon; Vivek Mushran,,,no,
2000,Anokha Moti,Anshul Singla,Sanjay Sharma; Arjun Chakraborty; Nayab Aftab,,,no,
2000,Apradhi Kaun,Mohan Bhakri,Ishrat Ali; Shagufta Ali,,,no,
2000,Astitva,Mahesh Manjrekar,Tabu; Sachin Khedekar; Smita Jaykar; Mohnish Bahl,₹ 2.16 crores,2.16,yes,Mohnish Bahl
2000,Baaghi,Rajesh Kumar Singh,Sanjay Dutt; Manisha Koirala; Aditya Pancholi; Mahesh Anand; Inder Kumar,₹ 6.47 crore,6.47,yes,Sanjay Dutt
2000,Badal,Raj Kanwar,Bobby Deol; Rani Mukerji; Johnny Lever,₹26.91 crore,26.91,yes,Bobby Deol; Rani Mukerji
2000,Bas Yaari Rakho,Gopi Desai,Pooja Batra; Seema Biswas,,,no,
2000,Bawandar,Jag Mundhra,Nandita Das; Rahul Khanna,,,no,
2000,Beti No.1,T. Rama Rao,Govinda; Rambha,,,no,
2000,Bhai Thakur,"Willy , Raja",Dharmendra; Shakti Kapoor; Upasna Singh,,,no,
2000,Bichhoo,Guddu Dhanoa,Bobby Deol; Rani Mukerji; Malaika Arora,₹ 19.75 crore,19.75,yes,Bobby Deol; Rani Mukerji
2000,Billa No. 786,Imran Khalid,Mithun Chakraborty,,,no,
2000,Bulandi,T. Rama Rao,Rajinikanth; Rekha; Anil Kapoor; Raveena Tandon,,,yes,Rekha
2000,Chal Mere Bhai,David Dhawan,Sanjay Dutt; Salman Khan; Karisma Kapoor; Twinkle Khanna; Sonali Bendre; Shakti Kapoor; Dalip Tahil,₹ 22.28 crore,22.28,yes,Sanjay Dutt; Salman Khan; Karisma Kapoor; Twinkle Khanna
2000,Champion,Padam Kumar,Sunny Deol; Manisha Koirala,₹ 16 crore (India Net),16.00,yes,Sunny Deol
2000,Deewane,Harry Baweja,Ajay Devgn; Urmila Matondkar; Mahima Chaudhry,₹ 122.5 million,12.25,no,
2000,Dhai Akshar Prem Ke,Raj Kanwar,Abhishek Bachchan; Aishwarya Rai; Salman Khan; Amrish Puri; Sonali Bendre; Dalip Tahil,₹ 16.30 crore,16.30,yes,Abhishek Bachchan; Salman Khan
2000,Dhadkan,Dharmesh Darshan,Akshay Kumar; Sunil Shetty; Shilpa Shetty,₹26.47 crore,26.47,no,
2000,Dil Ki Dhadkan,,Rambha,,,no,
2000,Dil Pe Mat Le Yaar,Hansal Mehta,Manoj Bajpai; Tabu; Gajraj Rao; Vijay Raaz; Aditya Srivastava; Kashmera Shah,,,no,
2000,Dr. Babasaheb Ambedkar,Jabbar Patel,Mammootty; Sonali Kulkarni,,,no,
2000,Dr Mukta,,Amar Babaria; Jaya Bachchan; Abhay Chandarana,,,no,
2000,Dulhan Hum Le Jayenge,David Dhawan,Salman Khan; Karisma Kapoor; Johnny Lever; Deepak Tijori; Kader Khan,₹36.87 crore,36.87,yes,Salman Khan; Karisma Kapoor
2000,Fiza,Khalid Mohammed,Jaya Bachchan; Karisma Kapoor; Hrithik Roshan; Neha,₹32.20 crore,32.20,yes,Karisma Kapoor; Hrithik Roshan
2000,Gaja Gamini,M. F. Hussain,Madhuri Dixit; Shabana Azmi; Shilpa Shirodkar; Naseeruddin Shah; Shah Rukh Khan,,,no,
2000,Gang,Mazhar Khan,Juhi Chawla; Nana Patekar; Jackie Shroff,,,no,
2000,Ghaath,Akashdeep,Tabu; Manoj Bajpai; Arshad Warsi,,,no,
2000,Hadh Kar Di Aapne,Manoj Agrawal,Govinda; Rani Mukerji,₹ 20 crore,20.00,yes,Rani Mukerji
2000,Hamara Dil Aapke Paas Hai,Satish Kaushik,Anil Kapoor; Aishwarya Rai; Sonali Bendre,₹30.26 crore,30.26,no,
2000,Har Dil Jo Pyar Karega,Raj Kanwar,Salman Khan; Preity Zinta; Rani Mukerji; Shah Rukh Khan,₹32.45 crore,32.45,yes,Salman Khan; Rani Mukerji
2000,Hari-Bhari,Shyam Benegal,Shabana Azmi; Rajit Kapur; Rajeshwari Sachdev; Surekha Sikri; Nandita Das,,,no,
2000,Hera Pheri,Priyadarshan,Akshay Kumar; Suniel Shetty; Tabu; Paresh Rawal,₹ 21.4 crore,21.40,no,
2000,Hey Ram,Kamal Haasan,Kamal Haasan; Shah Rukh Khan; Rani Mukerji; Vasundhara Das; Hema Malini; Girish Karnad; Om Puri,₹11.3 crore,11.30,yes,Rani Mukerji
2000,Hum To Mohabbat Karega,Kundan Shah,Bobby Deol; Karisma Kapoor,₹ 9.92 crore,9.92,yes,Bobby Deol; Karisma Kapoor
2000,Jallad No. 1,Kanti Shah,Dharmendra,,,no,
2000,Jis Desh Mein Ganga Rehta Hain,Mahesh Manjrekar,Govinda; Sonali Bendre; Rinke Khanna; Shakti Kapoor,,,yes,Rinke Khanna
2000,Joru Ka Ghulam,Shakeel Noorani,Govinda; Twinkle Khanna; Kader Khan; Johnny Lever; Ali Asgar,est. ₹13.10 crore,13.10,yes,Twinkle Khanna
2000,Josh,Mansoor Khan,Shah Rukh Khan; Chandrachur Singh; Aishwarya Rai; Priya Gill; Sharad Kapoor,₹35.06 crore,35.06,no,
2000,Jung,Sanjay Gupta,Sanjay Dutt; Shilpa Shetty; Raveena Tandon; Jackie Shroff,₹ 114 million,11.40,yes,Sanjay Dutt
2000,Jungle,Ram Gopal Verma,Himanshu Malik; Urmila Matondkar; Fardeen Khan; Nawazuddin Siddiqui; Sunil Shetty,est. ₹14.34 crore,14.34,yes,Fardeen Khan
2000,Kabrastan,Ramesh U. Lakhiani,,,,no,
2000,Kahin Pyaar Na Ho Jaaye,K. Muralimohana Rao,Salman Khan; Rani Mukerji; Jackie Shroff; Raveena Tandon; Pooja Batra,₹ 13.40 crore,13.40,yes,Salman Khan; Rani Mukerji
2000,Kaho Naa... Pyaar Hai,Rakesh Roshan,Hrithik Roshan; Amisha Patel; Mohnish Bahl; Anupam Kher,₹80.01 crore,80.01,yes,Hrithik Roshan; Mohnish Bahl
2000,Kairee,Amol Palekar,Atul Kulkarni; Yogita Deshmukh; Shilpa Navalkar,,,no,
2000,Karobaar: The Business of Love,Rakesh Roshan,Rishi Kapoor; Anil Kapoor; Juhi Chawla,est. ₹2.84 crore,2.84,yes,Rishi Kapoor
2000,Kharidaar,Papu Bahruz,Kishore Anand Bhanushali; Mushtaq Khan; Anil Nagrath; Amit Pachori,,,no,
2000,Khauff,Sanjay Gupta,Sanjay Dutt; Manisha Koirala; Simran Bagga,₹ 10.58 crore,10.58,yes,Sanjay Dutt
2000,Khiladi 420,Neeraj Vora,Akshay Kumar; Mahima Chaudhry; Antara Mali,₹102 million,10.20,no,
2000,Krodh,Ashok Honda,Suniel Shetty; Rambha,,,no,
2000,Kunwara,David Dhawan,Govinda; Urmila Matondkar,₹ 19.34 crore (equivalent to ₹ 80 crore or US$8.3 million in 2023),19.34,no,
2000,Kurukshetra,Mahesh Manjrekar,Sanjay Dutt; Mahima Chaudhry,₹198.7 million,19.87,yes,Sanjay Dutt
2000,Kya Kehna,Kundan Shah,Saif Ali Khan; Preity Zinta; Puneet Vashisht; Chandrachur Singh; Farida Jalal; Anupam Kher,₹21.7 million,2.17,yes,Saif Ali Khan
2000,Le Chal Apne Sang,Vijay Kondke,Nishanth; Alok Nath; Beena Banerjee,,,no,
2000,Lekroo,Shrabani Deodhar,Sania Jhankar; Nimish Kathale; Sachin Khedekar; Mrinal Kulkarni,,,no,
2000,Mela,Dharmesh Darshan,Aamir Khan; Twinkle Khanna; Faisal Khan; Aishwarya Rai; Johny Lever,₹25 crore,25.00,yes,Aamir Khan; Twinkle Khanna; Faisal Khan
2000,Meri Jung Ka Elaan,Kanti Shah,Dharmendra,,,no,
2000,Mission Kashmir,Vidhu Vinod Chopra,Sanjay Dutt; Hrithik Roshan; Preity Zinta; Jackie Shroff; Puru Raaj Kumar; Sonali Kulkarni; Vineet Sharma; Ashok Banthia,₹43.30 crore,43.30,yes,Sanjay Dutt; Hrithik Roshan
2000,Mohabbatein,Aditya Chopra,Amitabh Bachchan; Shah Rukh Khan; Aishwarya Rai; Uday Chopra; Shamita Shetty; Jugal Hansraj; Kim Sharma; Jimmy Sheirgill; Preeti Jhangiani,₹76.91 crore,76.91,yes,Uday Chopra
2000,Nidaan,Mahesh Manjrekar,Shivaji Satam; Reema Lagoo; Nisha Bains; Sunil Barve,,,no,
2000,Pandavas: The Five Warriors,Usha Ganesh Raja,,,,no,
2000,Papa the Great,K. Bhagyaraj,Krishna Kumar; Nagma,,,no,
2000,Phir Bhi Dil Hai Hindustani,Aziz Mirza,Shah Rukh Khan; Juhi Chawla; Paresh Rawal; Johny Lever; Dalip Tahil; Satish Shah; Sharat Saxena,₹ 25.46 crores,25.46,no,
2000,Pukar,Rajkumar Santoshi,Anil Kapoor; Madhuri Dixit; Namrata Shirodkar; Danny Denzongpa,,,no,
2000,Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,Manisha Koirala; Arvind Swamy,"₹ 64,87 lakh",64.87,no,
2000,Raju Chacha,Anil Devgan,Ajay Devgn; Kajol; Johnny Lever; Rishi Kapoor; Sanjay Dutt; Tiku Talsania,₹ 20.92 crore,20.92,yes,Kajol; Rishi Kapoor; Sanjay Dutt
2000,Refugee,J. P. Dutta,Abhishek Bachchan; Kareena Kapoor; Sunil Shetty; Jackie Shroff; Anupam Kher,₹35.44 crore,35.44,yes,Abhishek Bachchan; Kareena Kapoor
2000,The Revenge: Geeta Mera Naam,Dilip Gulati,Birbal; Dharmendra; Jack Gaud,,,no,
2000,Saanjh,Sabrina Dhawan,Nandita Das; Sharda Desoares; Arjun Raina; Rahul Vohra,,,no,
2000,Second Generation,,,,,no,
2000,Shikaar,Bobby Raj,Abhishek Kapoor; Vikas Bhalla; Ayesha Jhulka; Anupam Kher,,,no,
2000,Shikari,N. Chandra,Govinda; Karisma Kapoor; Tabu,,,yes,Karisma Kapoor
2000,Snip!,Sunil Sippy,Sohrab Ardeshir; Nikhil Chinappa; Makrand Deshpande; Vekeana Dhillon,,,no,
2000,Sultaan,,Vikas Anand,,,no,
2000,Tapish,Jay Prakash,Tara Deshpande; Ellora Patnaik; Parvin Dabas; Gajendra Chouhan,,,no,
2000,Tarkieb,Esmayeel Shroff,Milind Soman; Nana Patekar; Tabu; Shilpa Shetty,₹ 9.24 crore,9.24,no,
2000,Tera Jadoo Chal Gayaa,A. Muthu,Abhishek Bachchan; Kirti Reddy; Sanjay Suri; Kader Khan,,,yes,Abhishek Bachchan
2000,Tune Mera Dil Le Liyaa,B.B. Bhalla,Raveena Tandon; Naseeruddin Shah; Rahul Roy; Shakti Kapoor,,,no,
2000,Zindagi Zindabad,Sumitra Bhave–Sunil Sukthankar,Mita Vasisht; Milind Gunaji; Uttara Baokar; Abhiram Bhadkamkar,,,no,
2001,Abhay,Suresh Krissna,Kamal Haasan; Manisha Koirala; Raveena Tandon,,,no,
2001,Aamdani Atthanni Kharcha Rupaiya,K. Raghavendra Rao,Govinda; Juhi Chawla; Chandrachur Singh; Tabu; Isha Koppikar; Vinay Anand; Johnny Lever,,,no,
2001,Aashiq,Indra Kumar,Bobby Deol; Karisma Kapoor; Anupam Kher; Johnny Lever; Rahul Dev,₹ 18.75 crore,18.75,yes,Bobby Deol; Karisma Kapoor
2001,Ajnabee,Abbas Mustan,Bobby Deol; Akshay Kumar; Kareena Kapoor; Bipasha Basu; Johnny Lever,₹ 31.83 crore,31.83,yes,Bobby Deol; Kareena Kapoor
2001,Aks,Rakeysh Omprakash Mehra,Amitabh Bachchan; Raveena Tandon; Manoj Bajpai; Nandita Das,₹ 143 million,14.30,no,
2001,Albela,Deepak Sareen,Govinda; Aishwarya Rai; Namrata Shirodkar; Jackie Shroff,,,no,
2001,Aśoka,Santosh Sivan,Shah Rukh Khan; Ajith Kumar; Kareena Kapoor; Hrishita Bhatt,est. ₹28 crore,28.00,yes,Kareena Kapoor
2001,Bas Itna Sa Khwaab Hai,Goldie Behl,Abhishek Bachchan; Rani Mukerji; Sushmita Sen; Jackie Shroff,,,yes,Abhishek Bachchan; Rani Mukerji
2001,Be-Lagaam,Ram Lakhan,Aryan Vaid; Pramod Moutho; Tanveer Zaidi,,,no,
2001,Bengal Tiger,Adarsh Jain,Mithun Chakraborty; Shakti Kapoor,,,no,
2001,Bhairav,T. L. V. Prasad,Mithun Chakraborty,,,no,
2001,Censor,Dev Anand,,,,no,
2001,Chandni Bar,Madhur Bhandarkar,Suhas Palshikar; Tabu; Atul Kulkarni; Rajpal Yadav,₹ 66 million,6.60,no,
2001,Chhupa Rustam: A Musical Thriller,Aziz Sejawal,Sanjay Kapoor; Mamta Kulkarni; Manisha Koirala,₹ 9.46 crore,9.46,yes,Sanjay Kapoor
2001,Chori Chori Chupke Chupke,Abbas Mustan,Salman Khan; Rani Mukerji; Preity Zinta,₹ 37.51 crore (US$7.95 million),37.51,yes,Salman Khan; Rani Mukerji
2001,Daman,Kalpana Lajmi,Raveena Tandon; Raima Sen; Sanjay Suri; Sayaji Shinde,,,no,
2001,Dattak,Gul Bahar Singh,Rajit Kapoor; Anjan Srivastav; A. K. Hangal; Kruttika Desai,,,no,
2001,Deewaanapan,Ashu Trikha,Arjun Rampal; Diya Mirza; Vikas Sethi; Om Puri; Kabir Sadanand,₹ 10 crore (India Nett),10.00,no,
2001,Dil Chahta Hai,Farhan Akhtar,Aamir Khan; Saif Ali Khan; Akshaye Khanna; Preity Zinta; Sonali Kulkarni; Dimple Kapadia,₹ 39.72 crore (US$8.42 million),39.72,yes,Aamir Khan; Saif Ali Khan; Akshaye Khanna
2001,Dil Ne Phir Yaad Kiya,C. L. Rawal,Govinda; Tabu; Pooja Batra,,,no,
2001,Ehsaas: The Feeling,Mahesh Manjrekar,Sunil Shetty; Neha,,,no,
2001,Ek Rishtaa: The Bond of Love,Suneel Darshan,Sharat Saxena; Mohnish Bahl; Simone Singh; Amitabh Bachchan; Raakhee Gulzar; Akshay Kumar; Karisma Kapoor; Juhi Chawla; Shakti Kapoor; Ashish Vidyarthi,₹ 36.50 crore (US$7.74 million),36.50,yes,Mohnish Bahl; Karisma Kapoor
2001,Farz,Raj Kanwar,Sunny Deol; Preity Zinta; Om Puri; Jackie Shroff; Dara Singh,₹ 19.92 crore (India Net Collection),19.92,yes,Sunny Deol
2001,Gadar: Ek Prem Katha,Anil Sharma,Sunny Deol; Amisha Patel; Amrish Puri; Lillete Dubey,₹ 133.13 crore (US$28.21 million),133.13,yes,Sunny Deol
2001,Grahan,Shashilal K. Nair,Jackie Shroff; Manisha Koirala; Anupama Verma,₹ 1.43 crore,1.43,no,
2001,Hadh: Life on the Edge of Death,Thampi Kannanthanam,Jackie Shroff; Sharad Kapoor; Ayesha Jhulka,,,no,
2001,Hum Ho Gaye Aapke,Agathiyan,Fardeen Khan; Reema Sen; Apoorva Agnihotri,,,yes,Fardeen Khan
2001,Indian,N. Maharajan,Sunny Deol; Shilpa Shetty; Danny Denzongpa,₹ 42.61 crore (US$9.03 million),42.61,yes,Sunny Deol
2001,Ittefaq,Sanjay Khanna,Sunil Shetty; Pooja Batra,,,no,
2001,Jodi No.1,David Dhawan,Sanjay Dutt; Govinda; Twinkle Khanna; Monica Bedi,₹ 34.13 crore (US$7.23 million),34.13,yes,Sanjay Dutt; Twinkle Khanna
2001,Kabhi Khushi Kabhie Gham,Karan Johar,Amitabh Bachchan; Jaya Bachchan; Shah Rukh Khan; Kajol; Hrithik Roshan; Kareena Kapoor,₹ 135.53 crore (US$28.72 million),135.53,yes,Kajol; Hrithik Roshan; Kareena Kapoor
2001,Kasam,Shibu Mitra,Sunny Deol; Chunky Pandey,₹23 million,2.30,yes,Sunny Deol
2001,Kasoor,Vikram Bhatt,Lisa Ray; Aftab Shivdasani; Divya Dutta,₹14.1 crore,14.10,no,
2001,Kuch Khatti Kuch Meethi,Rahul Rawail,Sunil Shetty; Kajol; Rishi Kapoor; Rati Agnihotri,₹ 10.55 crore,10.55,yes,Kajol; Rishi Kapoor
2001,Kyo Kii Main Jhuth Nahin Bolta,David Dhawan,Govinda; Sushmita Sen; Anupam Kher; Ajith Vachani; Shahbaz Khan; Mohnish Bahl,₹14.34 crore,14.34,yes,Mohnish Bahl
2001,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,Aamir Khan; Gracy Singh; Rachel Shelley; Toby Stephens; Amin Gazi; Pradeep Rawat,est. ₹ 659.7 million ( see below ),65.97,yes,Aamir Khan
2001,Lajja,Rajkumar Santoshi,Manisha Koirala; Rekha; Madhuri Dixit; Jackie Shroff; Anil Kapoor; Mahima Chaudhry; Ajay Devgn,₹ 34.29 crore (US$7.27 million),34.29,yes,Rekha
2001,Love Ke Liye Kuchh Bhi Karega,E. Niwas,Saif Ali Khan; Fardeen Khan; Aftab Shivdasani; Twinkle Khanna; Sonali Bendre,est. ₹103.3 million,10.33,yes,Saif Ali Khan; Fardeen Khan; Twinkle Khanna
2001,Love You Hamesha,Kailash Surendranath,Rishma Malik; Rohit Bal; Sonali Bendre,,,no,
2001,Maya,Digivijay Singh,Nitya Shetty; Mita Vasisht; Anant Nag,,,no,
2001,Mitti,,,,,no,
2001,Moksha,Ashok Mehta,Manisha Koirala; Arjun Rampal,₹82 lakh,0.82,no,
2001,Monsoon Wedding,Mira Nair,Naseeruddin Shah; Lillete Dubey; Shefali Shah; Vasundhara Das; Vijay Raaz; Tillotama Shome; Randeep Hooda; Rajat Kapoor; Jas Arora,US$30.8 million,,no,
2001,Mujhe Kucch Kehna Hai,Satish Kaushik,Tusshar Kapoor; Kareena Kapoor; Rinke Khanna,₹309.9 million,30.99,yes,Tusshar Kapoor; Kareena Kapoor; Rinke Khanna
2001,Mujhe Meri Biwi Se Bachaao,Harry Baweja,Naseeruddin Shah; Rekha; Arshad Warsi; Suman Ranganathan,,,yes,Rekha
2001,Nayak,S. Shankar,Anil Kapoor; Rani Mukerji; Pooja Batra; Paresh Rawal; Amrish Puri; Johnny Lever,₹ 20.56 crore,20.56,yes,Rani Mukerji
2001,Officer,Naeem Sha,Sunil Shetty; Raveena Tandon; Danny Denzongpa; Tej Sapru,,,no,
2001,One 2 Ka 4,Shashilal K. Nair,Shah Rukh Khan; Juhi Chawla; Madhur Mittal; Jackie Shroff; Nirmal Pandey; Dilip Joshi,₹13.82 crore,13.82,no,
2001,Paagalpan,Aruna Irani,Karan Nath; Aarti Agarwal; Farhan Khan,,,no,
2001,Pyaar Ishq Aur Mohabbat,Rajiv Rai,Suniel Shetty; Arjun Rampal; Aftab Shivdasani; Isha Koppikar; Kirti Reddy,₹ 7.15 crore,7.15,no,
2001,Pyaar Tune Kya Kiya,Rajat Mukherjee,Urmila Matondkar; Fardeen Khan; Sonali Kulkarni,₹11.79 crore,11.79,yes,Fardeen Khan
2001,Pyaar Zindagi Hai,Vijay Sadanah,Vikas Kalantri; Ashima Bhalla; Mohnish Bahl; Asawari Joshi; Upasna Singh; Rajesh Khanna,"₹11,00,000",0.11,yes,Mohnish Bahl
2001,Rahul,Prakash Jha,Neha; Jatin Grewal; Rajeshwari Sachdev,,,no,
2001,Rehnaa Hai Terre Dil Mein,Gautham Vasudev Menon,Saif Ali Khan; Dia Mirza; R. Madhavan; Navin Nischol; Anupam Kher,,,yes,Saif Ali Khan
2001,Shirdi Sai Baba,,,,,no,
2001,Style,N. Chandra,Sahil Khan; Sharman Joshi; Riya Sen; Tara Deshpande,₹ 8.84 crore,8.84,no,
2001,Tamboo Mein Bamoo,Dil Kumar,Raza Murad,,,no,
2001,Tera Mera Saath Rahen,Mahesh Manjrekar,Ajay Devgn; Sonali Bendre; Namrata Shirodkar,,,no,
2001,Tere Liye,Sanjay Gadhvi,Imran Ahmed Khan; Sonali Khare; Neelu Kohli; Hiten Paintal,,,no,
2001,Tum Bin,Anubhav Sinha,Priyanshu Chatterjee; Himanshu Malik; Sandali Sinha; Rakesh Bapat; Manoj Pahwa,,,no,
2001,Yaadein,Subhash Ghai,Hrithik Roshan; Kareena Kapoor; Jackie Shroff; Amrish Puri,₹ 34.59 crore (US$7.33 million),34.59,yes,Hrithik Roshan; Kareena Kapoor
2001,Yeh Raaste Hain Pyaar Ke,Deepak S. Shivdasani,Ajay Devgan; Madhuri Dixit; Preity Zinta; Sunny Deol; (special appearance),₹ 156.9 million (US$1.6 million),15.69,yes,Sunny Deol
2001,Yeh Teraa Ghar Yeh Meraa Ghar,Priyadarshan,Suniel Shetty; Mahima Chaudhry; Neeraj Vora; Paresh Rawal,,,no,
2001,Yeh Zindagi Ka Safar,Tanuja Chandra,Amisha Patel; Jimmy Shergill; Rajpal Yadav,,,no,
2001,Zubeidaa,Shyam Benegal,Karisma Kapoor; Rekha; Manoj Bajpai; Amrish Puri; Lilette Dubey,₹5.6 crore,5.60,yes,Karisma Kapoor; Rekha
2002,16 December,Mani Shankar,Milind Soman; Dipannita Sharma; Gulshan Grover; Aditi Govitrikar; Sushant Singh,,,no,
2002,23rd March 1931: Shaheed,Guddu Dhanoa,Sunny Deol; Bobby Deol; Divya Dutta; Amrita Singh; Aishwarya Rai; Rajesh Khera,₹ 14.25 crore,14.25,yes,Sunny Deol; Bobby Deol
2002,Aankhen,Vipul Shah,Amitabh Bachchan; Akshay Kumar; Paresh Rawal; Arjun Rampal; Sushmita Sen; Aditya Pancholi; Shreyas Talpade; Kashmera Shah,₹ 33.80 crore,33.80,no,
2002,Aap Mujhe Achche Lagne Lage,Vikram Bhatt,Hrithik Roshan; Amisha Patel; Ali Asgar; Mukesh Tiwari; Alok Nath,₹20.2 crore,20.20,yes,Hrithik Roshan
2002,Ab Ke Baras,Raj Kanwar,Amrita Rao; Arya Babbar; Ashish Vidyarthi,,,yes,Arya Babbar
2002,Agni Varsha,Arjun Sajnani,Amitabh Bachchan; Akkineni Nagarjuna; Jackie Shroff; Raveena Tandon; Milind Soman; Prabhu Deva; Sonali Kulkarni,,,no,
2002,Akhiyon Se Goli Maare,Harmesh Malhotra,Govinda; Raveena Tandon; Kader Khan; Johnny Lever; Asrani; Sharat Saxena,,,no,
2002,Annarth,Ravi Dewan,Sunil Shetty; Sanjay Dutt; Ashutosh Rana; Preeti Jhangiani; Johny Lever; Tinu Anand,,,yes,Sanjay Dutt
2002,Ansh: The Deadly Part,Rajan Johri,Om Puri; Ashutosh Rana; Abbas; Sharbani Mukherji,,,no,
2002,Awara Paagal Deewana,Vikram Bhatt,Akshay Kumar; Sunil Shetty; Paresh Rawal; Aftab Shivdasani; Amrita Arora; Rahul Dev; Preeti Jhangiani; Om Puri; Johnny Lever; Asrani,₹ 27.58 crore,27.58,no,
2002,Baaja,Apurba Kishore Bir,,,,no,
2002,Badhaai Ho Badhaai,Satish Kaushik,Anil Kapoor; Shilpa Shetty; Kirti Reddy,₹ 6.99 crore,6.99,no,
2002,Bollywood Queen,Jeremy Wooding,Preeya Kalidas; James McAvoy,,,no,
2002,Bomb the System,,,"$15,520",,no,
2002,Chalo Ishq Ladaaye,Aziz Sejawal,Govinda; Rani Mukerji; Sanjay Suri; Kader Khan; Zohra Sehgal; Johnny Lever; Suniel Shetty; Gulshan Grover,₹ 17 million,1.70,yes,Rani Mukerji
2002,Chor Machaaye Shor,Aziz Sejawal,Bobby Deol; Shilpa Shetty; Shekhar Suman; Bipasha Basu; Rajat Bedi; Rajpal Yadav,₹ 13.62 crore,13.62,yes,Bobby Deol
2002,Company,Ram Gopal Varma,Mohanlal; Ajay Devgn; Manisha Koirala; Vivek Oberoi; Antara Mali,₹ 25.02 crore,25.02,yes,Vivek Oberoi
2002,Deewangee,Anees Bazmee,Ajay Devgn; Akshaye Khanna; Urmila Matondkar; Tiku Talsania,₹ 220 million,22.00,yes,Akshaye Khanna
2002,Desh Devi,Milind Ukey,Shrivallabh Vyas; Jaya Seal,,,no,
2002,Devdas,Sanjay Leela Bhansali,Shah Rukh Khan; Aishwarya Rai; Madhuri Dixit; Jackie Shroff,₹ 90 crore,90.00,no,
2002,Dil Hai Tumhaara,Kundan Shah,Rekha; Preity Zinta; Mahima Chaudhry; Arjun Rampal; Jimmy Sheirgill; Alok Nath,₹ 18.03 crore,18.03,yes,Rekha
2002,Dil Vil Pyar Vyar,Anant Mahadevan,Jimmy Sheirgill; Sanjay Suri; Namrata Shirodkar; R. Madhavan; Sonali Kulkarni; Hrishita Bhatt; Rakesh Bapat; Bhavna Pani,₹ 4.65 crore,4.65,no,
2002,Durga,J.D. Chakravarthy,J.D Chakravarthy; Priyanka Upendra; Snehal Dabi; Sayaji Shinde,,,no,
2002,Ek Chhotisi Love Story,Shashilal K. Nair,Ranvir Shorey; Manisha Koirala; Aditya Seal; Vir Das; Anushka Sharma,₹ 8.1 crore,8.10,no,
2002,Encounter: The Killing,Ajay Phansekar,Naseeruddin Shah; Dilip Prabhavalkar; Tara Deshpande,,,no,
2002,Filhaal,Meghna Gulzar,Tabu; Sushmita Sen; Sanjay Suri; Palash Sen,,,no,
2002,Ghaav: The Wound,Kumar Jay,Pankaj Berry; Rahul Bhatt; Seema Biswas; Gayatri,,,yes,Rahul Bhatt
2002,Gunaah,Amol Shetge,Dino Morea; Bipasha Basu; Ashutosh Rana; Irrfan Khan,₹7.5 crore,7.50,no,
2002,Haan Maine Bhi Pyaar Kiya,Dharmesh Darshan,Akshay Kumar; Karisma Kapoor; Abhishek Bachchan; Mohnish Bahl; Upasana Singh,₹19.55 crore,19.55,yes,Karisma Kapoor; Abhishek Bachchan; Mohnish Bahl
2002,Hathyar,Mahesh Manjrekar,Sanjay Dutt; Shilpa Shetty; Namrata Shirodkar,₹ 9.63 crore,9.63,yes,Sanjay Dutt
2002,Hum Kisise Kum Nahin,David Dhawan,Amitabh Bachchan; Supriya Karnik; Ajay Devgn; Sanjay Dutt; Aishwarya Rai; Ashish Vidyarthi; Annu Kapoor; Rajpal Yadav; Paresh Rawal; Colin Farrell,₹291.5 million,29.15,yes,Sanjay Dutt
2002,Hum Pyar Tumhi Se Kar Baithe,Mohan Singh Rathod,Jugal Hansraj; Tina Rana,,,no,
2002,Hum Tumhare Hain Sanam,K. S. Adhiyaman,Salman Khan; Shah Rukh Khan; Madhuri Dixit; Atul Agnihotri; Aishwarya Rai,₹ 34.76 crore,34.76,yes,Salman Khan
2002,Humraaz,Abbas–Mustan,Bobby Deol; Akshaye Khanna; Amisha Patel; Firoz Irani; Johnny Lever; Suhasini Mulay,₹ 29.71 crore,29.71,yes,Bobby Deol; Akshaye Khanna
2002,Jaani Dushman: Ek Anokhi Kahani,Rajkumar Kohli,Sunny Deol; Akshay Kumar; Sunil Shetty; Atharvaa; Arshad Warsi; Aftab Shivdasani; Manisha Koirala,₹ 18.56 crore,18.56,yes,Sunny Deol
2002,Jang Aur Aman,Anand Patwardhan,,,,no,
2002,Jeena Sirf Merre Liye,Satish Kaushik,Tusshar Kapoor; Kareena Kapoor; Mallika Sherawat,,,yes,Tusshar Kapoor; Kareena Kapoor
2002,Kaante,Sanjay Gupta,Amitabh Bachchan; Sanjay Dutt; Suniel Shetty; Kumar Gaurav; Mahesh Manjrekar; Lucky Ali; Malaika Arora; Rati Agnihotri,₹ 36.37 crore,36.37,yes,Sanjay Dutt
2002,Kabhie Tum Kabhie Hum,,Mamta Kulkarni; Anjan Srivastav; Vijayendra Ghatge,,,no,
2002,Karz: The Burden of Truth,Harry Baweja,Sunny Deol; Sunil Shetty; Shilpa Shetty,₹ 15.57 crore,15.57,yes,Sunny Deol
