year,title,director,cast,gross_raw,gross_cr,nepo_kid,nepo_kids_in_cast
2022,Bhool Bhulaiyaa 2,Anees Bazmee,Kartik Aaryan; Tabu; Kiara Advani,₹ 266.88 crore (US$33.95 million),266.88,no,
2022,Dhaakad,Razy Ghai,Kangana Ranaut; Arjun Rampal; Divya Dutta,est. ₹3.77 crore,3.77,no,
2022,Anek,Anubhav Sinha,Ayushmann Khurrana,₹11.10 crore,11.10,no,
2022,Love In Ukraine,Nitin Kumar Gupta,Vipin Kaushik; Anastasia,,,no,
2022,Dehati Disco,Manoj Sharma,Ganesh Acharya; Ravi Kishan; Manoj Joshi; Rajesh Sharma; Remo D'Souza,₹ 0.10 cr.,,no,
2022,Haemolymph,Sudarshan Gamare,Riyaz Anwar; Ruchira Jadhav; Rohit Kokate; Neelam Kulkarni,,,no,
2022,Samrat Prithviraj,Chandraprakash Dwivedi,Akshay Kumar; Sanjay Dutt; Sonu Sood; Manushi Chhillar,est. ₹90.32 crore,90.32,yes,Sanjay Dutt
2022,Major,Sashi Kiran Tikka,Adivi Sesh; Sobhita Dhulipala; Saiee Manjrekar; Prakash Raj; Revathi,,,no,
2022,Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,est. ₹5.12 crore,5.12,no,
2022,Ardh,Palash Muchhal,Rajpal Yadav; Rubina Dilaik,,,no,
2022,Nikamma,Sabbir Khan,Abhimanyu Dassani; Shirley Setia; Shilpa Shetty,est. ₹1.77 crore,1.77,no,
2022,Sherdil,Srijit Mukherji,Pankaj Tripathi; Neeraj Kabi; Sayani Gupta,₹10 crore,10.00,no,
2022,Jugjugg Jeeyo,Raj Mehta,Anil Kapoor; Neetu Kapoor; Varun Dhawan; Kiara Advani; Prajakta Koli; Manish Paul,₹ 136.13 crore (US$17.32 million),136.13,yes,Varun Dhawan
2022,Forensic,Vishal Furia,Vikrant Massey; Radhika Apte; Prachi Desai; Rohit Roy,,,no,
2022,Rashtra Kavach Om,Kapil Verma,Aditya Roy Kapur; Sanjana Sanghi; Ashutosh Rana,est. ₹9.01 crore,9.01,yes,Aditya Roy Kapur
2022,Rocketry: The Nambi Effect,R. Madhavan,R. Madhavan; Simran,,,no,
2022,Khuda Haafiz: Chapter 2 – Agni Pariksha,Faruk Kabir,Vidyut Jammwal; Shivaleeka Oberoi,₹20.33 crore,20.33,no,
2022,HIT: The First Case,Shailesh Kolanu,Rajkummar Rao; Sanya Malhotra,est. ₹11.78 crores,11.78,no,
2022,Ladki: Dragon Girl,Ram Gopal Varma,Pooja Bhalekar; Abhimanyu Singh,,,no,
2022,Jaadugar,Sameer Saxena,Jitendra Kumar; Jaaved Jaaferi; Aarushi Sharma,,,no,
2022,Judaa Hoke Bhi,Vikram Bhatt,Akshay Oberoi; Aindrita Ray; Meherzan Mazda,est. ₹0.25 crore,0.25,no,
2022,Shabaash Mithu,Srijit Mukherji,Taapsee Pannu,est. ₹2.89 crore,2.89,no,
2022,RK/RKay,Rajat Kapoor,Rajat Kapoor; Mallika Sherawat; Kubbra Sait; Ranvir Shorey; Manu Rishi,,,no,
2022,Shamshera,Karan Malhotra,Ranbir Kapoor; Sanjay Dutt; Vaani Kapoor,₹63.58 crore,63.58,yes,Ranbir Kapoor; Sanjay Dutt
2022,Ek Villain Returns,Mohit Suri,John Abraham; Arjun Kapoor; Disha Patani; Tara Sutaria,est. ₹68.64 crore,68.64,yes,Arjun Kapoor
2022,Good Luck Jerry,Sidharth Sengupta,Janhvi Kapoor; Deepak Dobriyal; Mita Vashisht; Neeraj Sood; Saurabh Sachdeva; Sushant Singh,,,yes,Janhvi Kapoor
2022,Odd Couple,Prashant Johari,Divyenndu; Suchitra Krishnamoorthi; Vijay Raaz; Pranati Rai Prakash,,,no,
2022,Darlings,Jasmeet K Reen,Alia Bhatt; Shefali Shah; Vijay Varma,,,yes,Alia Bhatt
2022,Laal Singh Chaddha,Advait Chandan,Aamir Khan; Kareena Kapoor; Naga Chaitanya; Mona Singh,₹ 129.64 crore (US$16.49 million),129.64,yes,Aamir Khan; Kareena Kapoor
2022,Raksha Bandhan,Aanand L. Rai,Akshay Kumar; Bhumi Pednekar,est. ₹61.61 crore,61.61,no,
2022,Dobaaraa,Anurag Kashyap,Taapsee Pannu; Pavail Gulati,est. ₹6.77 crore,6.77,no,
2022,Liger,Puri Jagannadh,Vijay Deverakonda; Ananya Pandey; Ronit Roy; Ramya Krishna; Mike Tyson,,,no,
2022,Holy Cow,Sai Kabir,Sanjay Mishra; Tigmanshu Dhulia; Nawazuddin Siddiqui; Sadiya Siddiqui,,,no,
2022,Cuttputlli,Ranjit M Tewari,Akshay Kumar; Rakul Preet Singh; Chandrachur Singh; Sargun Mehta,,,no,
