year,movie,nepo,gross_cr,rating,votes,log10_votes,log10_gross
2007,Shootout at Lokhandwala,yes,46.04,7.1,11622,4.065,1.672
2007,Ta Ra Rum Pum,yes,70.0,5.9,9978,3.999,1.851
2008,Halla Bol,yes,19.39,6.0,2515,3.401,1.309
2003,Raja Bhaiya,no,2.58,3.8,280,2.449,0.554
2005,Shaadi No. 1,yes,20.49,3.6,1133,3.055,1.332
2016,Tum Bin II,no,6.45,4.8,1512,3.18,0.872
2003,Qayamat: City Under Threat,yes,28.52,4.8,2742,3.438,1.47
2006,Fight Club: Members Only,yes,8.88,3.6,1728,3.238,0.995
2007,Dhamaal,yes,50.73,7.5,22615,4.354,1.714
2011,Double Dhamaal,yes,70.54,4.1,5374,3.73,1.855
2019,Bharat,yes,325.58,4.7,33685,4.527,2.514
2018,Loveyatri,no,18.14,3.5,2733,3.437,1.282
2021,Antim: The Final Truth,yes,59.11,6.1,43393,4.637,1.779
2024,Ruslaan,no,2.7,3.3,1299,3.114,0.568
2007,Honeymoon Travels Pvt. Ltd.,yes,19.51,6.1,3180,3.503,1.312
2008,Oye Lucky! Lucky Oye!,yes,6.1,7.7,19411,4.288,0.851
2009,Dev.D,yes,20.82,7.9,34311,4.535,1.339
2010,Aisha,yes,28.65,5.1,4636,3.666,1.472
2011,Zindagi Na Milegi Dobara,yes,163.0,8.2,95962,4.982,2.215
2012,Chakravyuh,yes,25.7,6.8,3541,3.549,1.427
2012,Shanghai,yes,34.9,7.2,11299,4.053,1.555
2013,Raanjhanaa,yes,105.0,7.6,38148,4.581,2.025
2014,One by Two,yes,3.77,3.9,793,2.9,0.679
2016,Happy Bhag Jayegi,yes,46.5,6.5,6053,3.782,1.677
2018,Nanu Ki Jaanu,yes,4.12,5.3,1849,3.267,0.709
2018,Zero,yes,191.43,5.2,33278,4.522,2.284
2021,Velle,yes,19.36,5.7,4830,3.684,1.309
2024,Munjya,no,132.13,6.3,28745,4.459,2.124
2018,Dil Juunglee,no,1.3,3.8,587,2.769,0.362
2017,Daddy,no,15.5,6.4,2266,3.355,1.217
2022,Nikamma,no,1.77,2.8,1804,3.256,0.442
2023,Aankh Micholi,no,1.5,5.6,1366,3.136,0.398
2011,I Am,no,0.67,7.5,3978,3.6,0.223
2014,Main Tera Hero,yes,78.0,5.2,11252,4.051,1.898
2017,Aksar 2,no,7.18,3.6,517,2.714,0.913
2000,Refugee,yes,35.44,5.2,2240,3.35,1.562
2002,Haan Maine Bhi Pyaar Kiya,yes,19.55,3.7,1622,3.21,1.313
2002,Om Jai Jagadish,yes,14.0,5.5,2331,3.368,1.176
2003,Kuch Naa Kaho,yes,13.08,5.4,2538,3.405,1.149
2003,LOC: Kargil,yes,31.67,5.5,3721,3.571,1.514
2003,Main Prem Ki Diwani Hoon,yes,39.31,3.8,5603,3.748,1.605
2003,Zameen,yes,17.8,5.4,1828,3.262,1.274
2004,Dhoom,yes,72.47,6.7,24749,4.394,1.866
2004,Hum Tum,yes,43.22,7.0,16170,4.209,1.646
2004,Phir Milenge,yes,5.43,6.2,2563,3.409,0.808
2004,Rakht,yes,8.44,3.8,773,2.889,0.975
2004,Yuva,yes,24.48,7.3,9812,3.992,1.406
2005,Bluffmaster!,yes,32.7,6.6,7066,3.849,1.528
2005,Bunty Aur Babli,yes,90.4,6.3,9236,3.966,1.961
2005,Dus,yes,38.84,5.5,3783,3.578,1.6
2005,Neal 'n' Nikki,yes,10.43,3.2,1887,3.276,1.058
2005,Salaam Namaste,yes,75.23,6.2,8868,3.948,1.882
2005,Sarkar,yes,39.3,7.6,18801,4.274,1.605
2006,Dhoom 2,yes,151.0,6.6,32991,4.518,2.182
2006,Kabhi Alvida Naa Kehna,yes,113.0,6.1,24919,4.397,2.057
2006,Umrao Jaan,yes,19.52,5.4,2173,3.337,1.312
2007,Guru,yes,83.67,7.7,26291,4.42,1.928
2007,Jhoom Barabar Jhoom,yes,51.08,3.7,3671,3.565,1.717
2008,Dostana,yes,87.0,6.4,17315,4.238,1.944
2008,Drona,yes,15.0,2.1,2851,3.455,1.204
2008,Sarkar Raj,yes,63.0,6.7,8145,3.911,1.806
2009,Delhi-6,yes,52.17,6.2,8958,3.952,1.726
2010,Jhootha Hi Sahi,yes,15.6,6.2,2164,3.335,1.22
2010,Khelein Hum Jee Jaan Sey,yes,4.91,5.8,1470,3.168,0.772
2010,Raavan,yes,49.5,5.4,5062,3.704,1.703
2011,Dum Maaro Dum,yes,51.1,6.2,4296,3.633,1.717
2011,Game,yes,12.87,5.3,2665,3.426,1.142
2012,Bol Bachchan,yes,165.68,5.7,11018,4.042,2.222
2012,Players,yes,45.52,4.4,5519,3.742,1.668
2014,Happy New Year,yes,342.0,5.0,44548,4.649,2.535
2015,All Is Well,yes,18.02,3.6,1761,3.246,1.279
2016,Housefull 3,yes,194.94,5.0,12627,4.101,2.292
2018,Manmarziyaan,yes,40.39,6.8,9749,3.989,1.617
2023,Ghoomer,yes,7.0,7.5,12840,4.109,0.903
2024,I Want to Talk,yes,1.25,7.1,2610,3.417,0.352
2025,Housefull 5,yes,242.8,3.3,18694,4.272,2.387
2023,Dream Girl 2,yes,140.56,5.2,13319,4.125,2.151
2024,Stree 2,no,874.58,6.9,46796,4.67,2.942
2024,Vedaa,no,26.71,6.0,4970,3.696,1.443
2014,Ugly,no,6.24,7.9,25316,4.403,0.86
2008,1920,no,14.5,6.5,4765,3.678,1.19
2014,Hasee Toh Phasee,no,63.38,6.8,17702,4.248,1.809
2017,Commando 2,no,39.04,5.5,4187,3.622,1.602
2019,Bypass Road,no,1.16,5.4,1178,3.072,0.334
2019,Commando 3,no,40.15,5.9,4836,3.685,1.614
2023,The Kerala Story,no,303.97,6.7,80065,4.903,2.484
2019,Mere Pyare Prime Minister,no,0.39,6.8,728,2.863,0.143
2007,Bal Ganesh,no,0.69,7.7,4741,3.676,0.228
2025,Superboys of Malegaon,no,5.35,7.7,8721,3.941,0.803
2008,Haal-e-Dil,yes,0.72,3.5,300,2.479,0.236
2009,Raaz: The Mystery Continues,yes,38.09,5.7,4775,3.679,1.592
2014,Heartless,no,1.18,5.2,571,2.757,0.338
2012,Agent Vinod,yes,73.0,5.3,8471,3.928,1.869
2015,Main Aur Charles,no,8.0,6.2,1900,3.279,0.954
2019,Bombairiya,no,0.14,4.6,507,2.706,0.057
2009,De Dana Dan,no,81.85,6.1,12790,4.107,1.918
2013,Boss,no,102.82,5.1,13065,4.116,2.016
2013,Murder 3,no,27.75,5.1,5104,3.708,1.459
2016,Fitoor,yes,42.38,5.5,6998,3.845,1.637
2016,Wazir,no,78.69,7.1,20865,4.319,1.901
2017,Bhoomi,yes,14.76,5.4,2231,3.349,1.198
2018,Padmaavat,yes,571.98,7.1,41121,4.614,2.758
2011,Ladies vs Ricky Bahl,no,84.0,6.1,11642,4.066,1.929
2014,Ekkees Toppon Ki Salaami,no,1.58,6.1,598,2.777,0.412
2018,Paltan,yes,10.22,5.2,1319,3.121,1.05
