year,title,director,cast,gross_raw,gross_cr
2000,Kya Kehna,Kundan Shah,Saif Ali Khan; Preity Zinta; Puneet Vashisht; Chandrachur Singh; Farida Jalal; Anupam Kher,,
2000,Le Chal Apne Sang,Vijay Kondke,Nishanth; Alok Nath; Beena Banerjee,,
2000,Lekroo,Shrabani Deodhar,Sania Jhankar; Nimish Kathale; Sachin Khedekar; Mrinal Kulkarni,,
2000,Mela,Dharmesh Darshan,Aamir Khan; Twinkle Khanna; Faisal Khan; Aishwarya Rai; Johny Lever,₹25 crore,25.00
2000,Meri Jung Ka Elaan,Kanti Shah,Dharmendra,,
2000,Mission Kashmir,Vidhu Vinod Chopra,Sanjay Dutt; Hrithik Roshan; Preity Zinta; Jackie Shroff; Puru Raaj Kumar; Sonali Kulkarni; Vineet Sharma; Ashok Banthia,₹43.30 crore,43.30
2000,Mohabbatein,Aditya Chopra,Amitabh Bachchan; Shah Rukh Khan; Aishwarya Rai; Uday Chopra; Shamita Shetty; Jugal Hansraj; Kim Sharma; Jimmy Sheirgill; Preeti Jhangiani,₹76.91 crore,76.91
2000,Nidaan,Mahesh Manjrekar,Shivaji Satam; Reema Lagoo; Nisha Bains; Sunil Barve,,
2000,Pandavas: The Five Warriors,Usha Ganesh Raja,,,
2000,Papa the Great,K. Bhagyaraj,Krishna Kumar; Nagma,,
2000,Phir Bhi Dil Hai Hindustani,Aziz Mirza,Shah Rukh Khan; Juhi Chawla; Paresh Rawal; Johny Lever; Dalip Tahil; Satish Shah; Sharat Saxena,,
2000,Pukar,Rajkumar Santoshi,Anil Kapoor; Madhuri Dixit; Namrata Shirodkar; Danny Denzongpa,,
2000,Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,Manisha Koirala; Arvind Swamy,,
2000,Raju Chacha,Anil Devgan,Ajay Devgn; Kajol; Johnny Lever; Rishi Kapoor; Sanjay Dutt; Tiku Talsania,,
2000,Refugee,J. P. Dutta,Abhishek Bachchan; Kareena Kapoor; Sunil Shetty; Jackie Shroff; Anupam Kher,₹35.44 crore,35.44
2000,The Revenge: Geeta Mera Naam,Dilip Gulati,Birbal; Dharmendra; Jack Gaud,,
2000,Saanjh,Sabrina Dhawan,Nandita Das; Sharda Desoares; Arjun Raina; Rahul Vohra,,
2000,Second Generation,,,,
2000,Shikaar,Bobby Raj,Abhishek Kapoor; Vikas Bhalla; Ayesha Jhulka; Anupam Kher,,
2000,Shikari,N. Chandra,Govinda; Karisma Kapoor; Tabu,,
2000,Snip!,Sunil Sippy,Sohrab Ardeshir; Nikhil Chinappa; Makrand Deshpande; Vekeana Dhillon,,
2000,Sultaan,,Vikas Anand,,
2000,Tapish,Jay Prakash,Tara Deshpande; Ellora Patnaik; Parvin Dabas; Gajendra Chouhan,,
2000,Tarkieb,Esmayeel Shroff,Milind Soman; Nana Patekar; Tabu; Shilpa Shetty,,
2000,Tera Jadoo Chal Gayaa,A. Muthu,Abhishek Bachchan; Kirti Reddy; Sanjay Suri; Kader Khan,,
2000,Tune Mera Dil Le Liyaa,B.B. Bhalla,Raveena Tandon; Naseeruddin Shah; Rahul Roy; Shakti Kapoor,,
2000,Zindagi Zindabad,Sumitra Bhave–Sunil Sukthankar,Mita Vasisht; Milind Gunaji; Uttara Baokar; Abhiram Bhadkamkar,,
2001,Abhay,Suresh Krissna,Kamal Haasan; Manisha Koirala; Raveena Tandon,,
2001,Aamdani Atthanni Kharcha Rupaiya,K. Raghavendra Rao,Govinda; Juhi Chawla; Chandrachur Singh; Tabu; Isha Koppikar; Vinay Anand; Johnny Lever,,
2001,Aashiq,Indra Kumar,Bobby Deol; Karisma Kapoor; Anupam Kher; Johnny Lever; Rahul Dev,,
2001,Ajnabee,Abbas Mustan,Bobby Deol; Akshay Kumar; Kareena Kapoor; Bipasha Basu; Johnny Lever,,
2001,Aks,Rakeysh Omprakash Mehra,Amitabh Bachchan; Raveena Tandon; Manoj Bajpai; Nandita Das,,
2001,Albela,Deepak Sareen,Govinda; Aishwarya Rai; Namrata Shirodkar; Jackie Shroff,,
2001,Aśoka,Santosh Sivan,Shah Rukh Khan; Ajith Kumar; Kareena Kapoor; Hrishita Bhatt,,
2001,Bas Itna Sa Khwaab Hai,Goldie Behl,Abhishek Bachchan; Rani Mukerji; Sushmita Sen; Jackie Shroff,,
2001,Be-Lagaam,Ram Lakhan,Aryan Vaid; Pramod Moutho; Tanveer Zaidi,,
2001,Bengal Tiger,Adarsh Jain,Mithun Chakraborty; Shakti Kapoor,,
2001,Bhairav,T. L. V. Prasad,Mithun Chakraborty,,
2001,Censor,Dev Anand,,,
2001,Chandni Bar,Madhur Bhandarkar,Suhas Palshikar; Tabu; Atul Kulkarni; Rajpal Yadav,,
2001,Chhupa Rustam: A Musical Thriller,Aziz Sejawal,Sanjay Kapoor; Mamta Kulkarni; Manisha Koirala,,
2001,Chori Chori Chupke Chupke,Abbas Mustan,Salman Khan; Rani Mukerji; Preity Zinta,₹ 37.51 crore (US$7.95 million),37.51
2001,Daman,Kalpana Lajmi,Raveena Tandon; Raima Sen; Sanjay Suri; Sayaji Shinde,,
2001,Dattak,Gul Bahar Singh,Rajit Kapoor; Anjan Srivastav; A. K. Hangal; Kruttika Desai,,
2001,Deewaanapan,Ashu Trikha,Arjun Rampal; Diya Mirza; Vikas Sethi; Om Puri; Kabir Sadanand,,
2001,Dil Chahta Hai,Farhan Akhtar,Aamir Khan; Saif Ali Khan; Akshaye Khanna; Preity Zinta; Sonali Kulkarni; Dimple Kapadia,₹ 39.72 crore (US$8.42 million),39.72
2001,Dil Ne Phir Yaad Kiya,C. L. Rawal,Govinda; Tabu; Pooja Batra,,
2001,Ehsaas: The Feeling,Mahesh Manjrekar,Sunil Shetty; Neha,,
2001,Ek Rishtaa: The Bond of Love,Suneel Darshan,Sharat Saxena; Mohnish Bahl; Simone Singh; Amitabh Bachchan; Raakhee Gulzar; Akshay Kumar; Karisma Kapoor; Juhi Chawla; Shakti Kapoor; Ashish Vidyarthi,₹ 36.50 crore (US$7.74 million),36.50
2001,Farz,Raj Kanwar,Sunny Deol; Preity Zinta; Om Puri; Jackie Shroff; Dara Singh,,
2001,Gadar: Ek Prem Katha,Anil Sharma,Sunny Deol; Amisha Patel; Amrish Puri; Lillete Dubey,₹ 133.13 crore (US$28.21 million),133.13
2001,Grahan,Shashilal K. Nair,Jackie Shroff; Manisha Koirala; Anupama Verma,,
2001,Hadh: Life on the Edge of Death,Thampi Kannanthanam,Jackie Shroff; Sharad Kapoor; Ayesha Jhulka,,
2001,Hum Ho Gaye Aapke,Agathiyan,Fardeen Khan; Reema Sen; Apoorva Agnihotri,,
2001,Indian,N. Maharajan,Sunny Deol; Shilpa Shetty; Danny Denzongpa,₹ 42.61 crore (US$9.03 million),42.61
2001,Ittefaq,Sanjay Khanna,Sunil Shetty; Pooja Batra,,
2001,Jodi No.1,David Dhawan,Sanjay Dutt; Govinda; Twinkle Khanna; Monica Bedi,₹ 34.13 crore (US$7.23 million),34.13
2001,Kabhi Khushi Kabhie Gham,Karan Johar,Amitabh Bachchan; Jaya Bachchan; Shah Rukh Khan; Kajol; Hrithik Roshan; Kareena Kapoor,₹ 135.53 crore (US$28.72 million),135.53
2001,Kasam,Shibu Mitra,Sunny Deol; Chunky Pandey,,
2001,Kasoor,Vikram Bhatt,Lisa Ray; Aftab Shivdasani; Divya Dutta,,
2001,Kuch Khatti Kuch Meethi,Rahul Rawail,Sunil Shetty; Kajol; Rishi Kapoor; Rati Agnihotri,,
2001,Kyo Kii Main Jhuth Nahin Bolta,David Dhawan,Govinda; Sushmita Sen; Anupam Kher; Ajith Vachani; Shahbaz Khan; Mohnish Bahl,,
2001,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,Aamir Khan; Gracy Singh; Rachel Shelley; Toby Stephens; Amin Gazi; Pradeep Rawat,,
2001,Lajja,Rajkumar Santoshi,Manisha Koirala; Rekha; Madhuri Dixit; Jackie Shroff; Anil Kapoor; Mahima Chaudhry; Ajay Devgn,₹ 34.29 crore (US$7.27 million),34.29
2001,Love Ke Liye Kuchh Bhi Karega,E. Niwas,Saif Ali Khan; Fardeen Khan; Aftab Shivdasani; Twinkle Khanna; Sonali Bendre,,
2001,Love You Hamesha,Kailash Surendranath,Rishma Malik; Rohit Bal; Sonali Bendre,,
2001,Maya,Digivijay Singh,Nitya Shetty; Mita Vasisht; Anant Nag,,
2001,Mitti,,,,
2001,Moksha,Ashok Mehta,Manisha Koirala; Arjun Rampal,,
2001,Monsoon Wedding,Mira Nair,Naseeruddin Shah; Lillete Dubey; Shefali Shah; Vasundhara Das; Vijay Raaz; Tillotama Shome; Randeep Hooda; Rajat Kapoor; Jas Arora,,
2001,Mujhe Kucch Kehna Hai,Satish Kaushik,Tusshar Kapoor; Kareena Kapoor; Rinke Khanna,,
2001,Mujhe Meri Biwi Se Bachaao,Harry Baweja,Naseeruddin Shah; Rekha; Arshad Warsi; Suman Ranganathan,,
2001,Nayak,S. Shankar,Anil Kapoor; Rani Mukerji; Pooja Batra; Paresh Rawal; Amrish Puri; Johnny Lever,,
2001,Officer,Naeem Sha,Sunil Shetty; Raveena Tandon; Danny Denzongpa; Tej Sapru,,
2001,One 2 Ka 4,Shashilal K. Nair,Shah Rukh Khan; Juhi Chawla; Madhur Mittal; Jackie Shroff; Nirmal Pandey; Dilip Joshi,,
2001,Paagalpan,Aruna Irani,Karan Nath; Aarti Agarwal; Farhan Khan,,
2001,Pyaar Ishq Aur Mohabbat,Rajiv Rai,Suniel Shetty; Arjun Rampal; Aftab Shivdasani; Isha Koppikar; Kirti Reddy,,
2001,Pyaar Tune Kya Kiya,Rajat Mukherjee,Urmila Matondkar; Fardeen Khan; Sonali Kulkarni,,
2001,Pyaar Zindagi Hai,Vijay Sadanah,Vikas Kalantri; Ashima Bhalla; Mohnish Bahl; Asawari Joshi; Upasna Singh; Rajesh Khanna,,
2001,Rahul,Prakash Jha,Neha; Jatin Grewal; Rajeshwari Sachdev,,
2001,Rehnaa Hai Terre Dil Mein,Gautham Vasudev Menon,Saif Ali Khan; Dia Mirza; R. Madhavan; Navin Nischol; Anupam Kher,,
2001,Shirdi Sai Baba,,,,
2001,Style,N. Chandra,Sahil Khan; Sharman Joshi; Riya Sen; Tara Deshpande,,
2001,Tamboo Mein Bamoo,Dil Kumar,Raza Murad,,
2001,Tera Mera Saath Rahen,Mahesh Manjrekar,Ajay Devgn; Sonali Bendre; Namrata Shirodkar,,
2001,Tere Liye,Sanjay Gadhvi,Imran Ahmed Khan; Sonali Khare; Neelu Kohli; Hiten Paintal,,
2001,Tum Bin,Anubhav Sinha,Priyanshu Chatterjee; Himanshu Malik; Sandali Sinha; Rakesh Bapat; Manoj Pahwa,,
2001,Yaadein,Subhash Ghai,Hrithik Roshan; Kareena Kapoor; Jackie Shroff; Amrish Puri,₹ 34.59 crore (US$7.33 million),34.59
2001,Yeh Raaste Hain Pyaar Ke,Deepak S. Shivdasani,Ajay Devgan; Madhuri Dixit; Preity Zinta; Sunny Deol; (special appearance),,
2001,Yeh Teraa Ghar Yeh Meraa Ghar,Priyadarshan,Suniel Shetty; Mahima Chaudhry; Neeraj Vora; Paresh Rawal,,
2001,Yeh Zindagi Ka Safar,Tanuja Chandra,Amisha Patel; Jimmy Shergill; Rajpal Yadav,,
2001,Zubeidaa,Shyam Benegal,Karisma Kapoor; Rekha; Manoj Bajpai; Amrish Puri; Lilette Dubey,,
2002,16 December,Mani Shankar,Milind Soman; Dipannita Sharma; Gulshan Grover; Aditi Govitrikar; Sushant Singh,,
2002,23rd March 1931: Shaheed,Guddu Dhanoa,Sunny Deol; Bobby Deol; Divya Dutta; Amrita Singh; Aishwarya Rai; Rajesh Khera,,
2002,Aankhen,Vipul Shah,Amitabh Bachchan; Akshay Kumar; Paresh Rawal; Arjun Rampal; Sushmita Sen; Aditya Pancholi; Shreyas Talpade; Kashmera Shah,₹ 33.80 crore,33.80
2002,Aap Mujhe Achche Lagne Lage,Vikram Bhatt,Hrithik Roshan; Amisha Patel; Ali Asgar; Mukesh Tiwari; Alok Nath,,
2002,Ab Ke Baras,Raj Kanwar,Amrita Rao; Arya Babbar; Ashish Vidyarthi,,
2002,Agni Varsha,Arjun Sajnani,Amitabh Bachchan; Akkineni Nagarjuna; Jackie Shroff; Raveena Tandon; Milind Soman; Prabhu Deva; Sonali Kulkarni,,
2002,Akhiyon Se Goli Maare,Harmesh Malhotra,Govinda; Raveena Tandon; Kader Khan; Johnny Lever; Asrani; Sharat Saxena,,
2002,Annarth,Ravi Dewan,Sunil Shetty; Sanjay Dutt; Ashutosh Rana; Preeti Jhangiani; Johny Lever; Tinu Anand,,
2002,Ansh: The Deadly Part,Rajan Johri,Om Puri; Ashutosh Rana; Abbas; Sharbani Mukherji,,
2002,Awara Paagal Deewana,Vikram Bhatt,Akshay Kumar; Sunil Shetty; Paresh Rawal; Aftab Shivdasani; Amrita Arora; Rahul Dev; Preeti Jhangiani; Om Puri; Johnny Lever; Asrani,₹ 27.58 crore,27.58
2002,Baaja,Apurba Kishore Bir,,,
2002,Badhaai Ho Badhaai,Satish Kaushik,Anil Kapoor; Shilpa Shetty; Kirti Reddy,,
2002,Bollywood Queen,Jeremy Wooding,Preeya Kalidas; James McAvoy,,
2002,Bomb the System,,,,
2002,Chalo Ishq Ladaaye,Aziz Sejawal,Govinda; Rani Mukerji; Sanjay Suri; Kader Khan; Zohra Sehgal; Johnny Lever; Suniel Shetty; Gulshan Grover,,
2002,Chor Machaaye Shor,Aziz Sejawal,Bobby Deol; Shilpa Shetty; Shekhar Suman; Bipasha Basu; Rajat Bedi; Rajpal Yadav,,
2002,Company,Ram Gopal Varma,Mohanlal; Ajay Devgn; Manisha Koirala; Vivek Oberoi; Antara Mali,₹ 25.02 crore,25.02
2002,Deewangee,Anees Bazmee,Ajay Devgn; Akshaye Khanna; Urmila Matondkar; Tiku Talsania,,
2002,Desh Devi,Milind Ukey,Shrivallabh Vyas; Jaya Seal,,
2002,Devdas,Sanjay Leela Bhansali,Shah Rukh Khan; Aishwarya Rai; Madhuri Dixit; Jackie Shroff,₹ 90 crore,90.00
2002,Dil Hai Tumhaara,Kundan Shah,Rekha; Preity Zinta; Mahima Chaudhry; Arjun Rampal; Jimmy Sheirgill; Alok Nath,,
2002,Dil Vil Pyar Vyar,Anant Mahadevan,Jimmy Sheirgill; Sanjay Suri; Namrata Shirodkar; R. Madhavan; Sonali Kulkarni; Hrishita Bhatt; Rakesh Bapat; Bhavna Pani,,
2002,Durga,J.D. Chakravarthy,J.D Chakravarthy; Priyanka Upendra; Snehal Dabi; Sayaji Shinde,,
2002,Ek Chhotisi Love Story,Shashilal K. Nair,Ranvir Shorey; Manisha Koirala; Aditya Seal; Vir Das; Anushka Sharma,,
2002,Encounter: The Killing,Ajay Phansekar,Naseeruddin Shah; Dilip Prabhavalkar; Tara Deshpande,,
2002,Filhaal,Meghna Gulzar,Tabu; Sushmita Sen; Sanjay Suri; Palash Sen,,
2002,Ghaav: The Wound,Kumar Jay,Pankaj Berry; Rahul Bhatt; Seema Biswas; Gayatri,,
2002,Gunaah,Amol Shetge,Dino Morea; Bipasha Basu; Ashutosh Rana; Irrfan Khan,,
2002,Haan Maine Bhi Pyaar Kiya,Dharmesh Darshan,Akshay Kumar; Karisma Kapoor; Abhishek Bachchan; Mohnish Bahl; Upasana Singh,,
2002,Hathyar,Mahesh Manjrekar,Sanjay Dutt; Shilpa Shetty; Namrata Shirodkar,,
2002,Hum Kisise Kum Nahin,David Dhawan,Amitabh Bachchan; Supriya Karnik; Ajay Devgn; Sanjay Dutt; Aishwarya Rai; Ashish Vidyarthi; Annu Kapoor; Rajpal Yadav; Paresh Rawal; Colin Farrell,,
2002,Hum Pyar Tumhi Se Kar Baithe,Mohan Singh Rathod,Jugal Hansraj; Tina Rana,,
2002,Hum Tumhare Hain Sanam,K. S. Adhiyaman,Salman Khan; Shah Rukh Khan; Madhuri Dixit; Atul Agnihotri; Aishwarya Rai,₹ 34.76 crore,34.76
2002,Humraaz,Abbas–Mustan,Bobby Deol; Akshaye Khanna; Amisha Patel; Firoz Irani; Johnny Lever; Suhasini Mulay,₹ 29.71 crore,29.71
2002,Jaani Dushman: Ek Anokhi Kahani,Rajkumar Kohli,Sunny Deol; Akshay Kumar; Sunil Shetty; Atharvaa; Arshad Warsi; Aftab Shivdasani; Manisha Koirala,,
2002,Jang Aur Aman,Anand Patwardhan,,,
2002,Jeena Sirf Merre Liye,Satish Kaushik,Tusshar Kapoor; Kareena Kapoor; Mallika Sherawat,,
2002,Kaante,Sanjay Gupta,Amitabh Bachchan; Sanjay Dutt; Suniel Shetty; Kumar Gaurav; Mahesh Manjrekar; Lucky Ali; Malaika Arora; Rati Agnihotri,₹ 36.37 crore,36.37
2002,Kabhie Tum Kabhie Hum,,Mamta Kulkarni; Anjan Srivastav; Vijayendra Ghatge,,
2002,Karz: The Burden of Truth,Harry Baweja,Sunny Deol; Sunil Shetty; Shilpa Shetty,,
2002,Kehtaa Hai Dil Baar Baar,Rahul Dholakia,Jimmy Shergill; Kim Sharma; Paresh Rawal,,
2002,Kitne Door Kitne Paas,Mehul Kumar,Fardeen Khan; Ayub Khan; Amrita Arora; Sonali Kulkarni,,
2002,Koi Mere Dil Se Poochhe,Boney Kapoor,Jaya Bachchan; Esha Deol; Aftab Shivdasani; Sanjay Kapoor; Anupam Kher,,
2002,Kranti,Naresh Malhotra,Bobby Deol; Amisha Patel; Om Puri; Vinod Khanna; Pallavi Kulkarni,,
2002,Kuch Tum Kaho Kuch Hum Kahein,K. Ravi Shankar,Fardeen Khan; Richa Pallod; Sharad Kapoor; Sanjai Mishra; Farida Jalal,,
2002,Kya Yehi Pyaar Hai,K. Murali Mohan Rao,Amisha Patel; Aftab Shivdasani; Sarfaraz Khan; Ashish Vidyarthi; Jackie Shroff,,
2002,Kyaa Dil Ne Kahaa,Sanjay Chhel,Tusshar Kapoor; Esha Deol; Raj Babbar; Atul Parchure,,
2002,Lal Salaam,Gaganvihari Borate,Nandita Das; Sharad Kapoor; Makrand Deshpande; Vijay Raaz,,
2002,Maa Tujhhe Salaam,Tinu Verma,Sunny Deol; Tabu; Rajat Bedi; Arbaaz Khan; Inder Kumar,,
2002,Maine Dil Tujhko Diya,Sohail Khan,Sohail Khan; Sameera Reddy; Eijaz Khan; Sanjay Dutt; Kabir Bedi; Dalip Tahil,,
2002,Makdee,Vishal Bhardwaj,Shabana Azmi; Makarand Deshpande,,
2002,Maseeha,Partho Ghosh,Sunil Shetty; Namrata Shirodkar; Inder Kumar; Manek Bedi; Rajpal Yadav; Mukesh Rishi,,
2002,Mere Yaar Ki Shaadi Hai,Sanjay Gadhvi,Uday Chopra; Bipasha Basu; Tulip Joshi; Jimmy Shergill; Nitesh Pandey; Tannaz Irani,,
2002,"Mitr, My Friend",Revathi,Shobhana; Matt Phillips,,
2002,Mohabbat Ho Gayi Hai Tumse,Rishi Talwar,Sanjay Dutt; Shamita Shetty; Chandrachur Singh,,
2002,Mujhse Dosti Karoge!,Kunal Kohli,Hrithik Roshan; Rani Mukerji; Kareena Kapoor; Uday Chopra; Kiran Kumar,₹ 33.61 crore,33.61
2002,Mulaqaat,K. Ravi Shankar,Vinay Anand; Arun Bakshi; Rita Bhaduri; Milind Gunaji,,
2002,Na Tum Jaano Na Hum,Arjun Sablok,Saif Ali Khan; Hrithik Roshan; Esha Deol; Ashima Bhalla; Shilpa Saklani; Alok Nath,,
2002,Nishad,Shaji N. Karun,,,
2002,Om Jai Jagadish,Anupam Kher,Waheeda Rehman; Parmeet Sethi; Anil Kapoor; Fardeen Khan; Abhishek Bachchan; Mahima Chaudhry; Urmila Matondkar; Lillete Dubey; Tara Sharma,,
2002,Pitaah,Mahesh Manjrekar,Sanjay Dutt; Nandita Das; Salil Ankola; Jackie Shroff; Om Puri; Shivaji Satam,,
2002,Pyaar Diwana Hota Hai,Kirti Kumar,Govinda; Rani Mukerji; Deepak Tijori; Apurva Agnihotri,,
2002,Pyar Ki Dhun,Samarjit Dasgupta,,,
2002,Pyaasa,A. Muthu,Yukta Mookhey; Aftab Shivdasani,,
2002,Raaz,Vikram Bhatt,Bipasha Basu; Dino Morea,₹ 37.2 crore,37.20
2002,Reshma Aur Sultan,S. Kumar,Dharmendra; Ankush Mohit; Sapna; Hemant Birje; Satnam Kaur,,
2002,Rishtey,Indra Kumar,Anil Kapoor; Karisma Kapoor; Shilpa Shetty,,
2002,Road,Rajat Mukherjee,Vivek Oberoi; Antara Mali; Manoj Bajpai; Vijay Raaz; Rajpal Yadav,,
2002,Saathiya,Shaad Ali,Vivek Oberoi; Rani Mukerji; Shah Rukh Khan; Tabu; Kunal Kumar; Sharat Saxena; Satish Shah; Sandhya Mridul; Tinnu Anand; Tanuja,₹ 29.15 crore,29.15
2002,Shaheed-E-Azam,Sukumar Nair,Sonu Sood; Raj Zutshi; Dev Gill,,
2002,Shakti - The Power,Boney Kapoor,Karisma Kapoor; Nana Patekar; Sanjay Kapoor; Shahrukh Khan,,
2002,Shararat,Gurudev Bhalla,Abhishek Bachchan; Hrishita Bhatt; Mohnish Bahl; Amrish Puri,,
2002,Soch,Sushen Bhatnagar,Sanjay Kapoor; Arbaaz Khan; Raveena Tandon; Danny Denzongpa; Aditi Govitrikar,,
2002,Sur: The Melody of Life,Tanuja Chandra,Lucky Ali; Gauri Karnik; Harsh Vashisht; Simone Singh; Nitin,,
2002,The Legend of Bhagat Singh,Rajkumar Santoshi,Ajay Devgn; Amrita Rao; Raj Babbar; Sushant Singh,,
2002,Tumko Na Bhool Paayenge,Pankaj Parashar,Salman Khan; Dia Mirza; Sushmita Sen; Inder Kumar; Arbaaz Khan,,
2002,Tum Se Achcha Kaun Hai,Deepak Anand,Nakul Kapoor; Rati Agnihotri; Kim Sharma; Aarti Chabria; Ali Asgar,,
2002,Waah! Tera Kya Kehna,Manoj Agrawal,Govinda; Raveena Tandon; Preeti Jhangiani,,
