actor,actor_nepo,year,movie,gross_cr,film_has_nepo_cast,director
Akshaye Khanna,yes,2001,Dil Chahta Hai,39.72,yes,Farhan Akhtar
Akshaye Khanna,yes,2002,Humraaz,29.71,yes,Abbas–Mustan
Akshaye Khanna,yes,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Akshaye Khanna,yes,2004,Hulchul,33.09,yes,Priyadarshan
Akshaye Khanna,yes,2008,Race,106.00,yes,Abbas–Mustan
Akshaye Khanna,yes,2010,Tees Maar Khan,101.89,yes,Farah Khan
Akshaye Khanna Kareena Kapoor Suniel Shetty Jackie Shroff Arbaaz Khan Arshad Warsi Paresh Rawal Amrish Puri Asrani Manoj Joshi Shakti Kapoor,no,2004,Hulchul,33.09,yes,Priyadarshan
Ali Haji,no,2006,Fanaa,103.00,yes,Kunal Kohli
Ali Haji,no,2007,Ta Ra Rum Pum,70.00,yes,Siddharth Anand
Alice Patten,no,2006,Rang De Basanti,97.00,yes,Rakeysh Omprakash Mehra
Alok Nath,no,2006,Vivah,49.00,yes,Sooraj R. Barjatya
Aman Siddiqui,no,2008,Bhoothnath,70.00,no,Vivek Sharma
Amar Upadhyay,no,2003,LOC: Kargil,31.67,yes,J. P. Dutta
Ameesha Patel,no,2000,Kaho Naa... Pyaar Hai,80.01,yes,Rakesh Roshan
Ameesha Patel,no,2001,Gadar: Ek Prem Katha,133.13,yes,Anil Sharma
Ameesha Patel,no,2002,Humraaz,29.71,yes,Abbas–Mustan
Ameesha Patel,no,2005,Mangal Pandey: The Rising,52.58,yes,Ketan Mehta
Ameesha Patel,no,2007,Bhool Bhulaiyaa,83.00,no,Priyadarshan
Amitabh Bachchan,no,2000,Mohabbatein,76.91,no,Aditya Chopra
Amitabh Bachchan,no,2001,Ek Rishtaa: The Bond of Love,36.50,yes,Suneel Darshan
Amitabh Bachchan,no,2001,Kabhi Khushi Kabhie Gham,135.53,yes,Karan Johar
Amitabh Bachchan,no,2002,Aankhen,33.80,no,Vipul Amrutlal Shah
Amitabh Bachchan,no,2002,Kaante,36.37,yes,Sanjay Gupta
Amitabh Bachchan,no,2003,Baghban,43.11,yes,Ravi Chopra
Amitabh Bachchan,no,2004,Khakee,49.89,yes,Rajkumar Santoshi
Amitabh Bachchan,no,2005,Black,40.94,yes,Sanjay Leela Bhansali
Amitabh Bachchan,no,2005,Bunty Aur Babli,90.40,yes,Shaad Ali
Amitabh Bachchan,no,2005,Sarkar,39.30,yes,Ram Gopal Varma
Amitabh Bachchan,no,2005,Waqt: The Race Against Time,42.49,no,Vipul Amrutlal Shah
Amitabh Bachchan,no,2006,Kabhi Alvida Naa Kehna,113.00,yes,Karan Johar
Amitabh Bachchan,no,2008,Bhoothnath,70.00,no,Vivek Sharma
Amitabh Bachchan,no,2008,Sarkar Raj,63.00,yes,Ram Gopal Varma
Amole Gupte,no,2009,Kaminey,71.57,yes,Vishal Bhardwaj
Amrish Puri,no,2001,Gadar: Ek Prem Katha,133.13,yes,Anil Sharma
Amrish Puri,no,2001,Yaadein,34.59,yes,Subhash Ghai
Amrish Puri,no,2003,The Hero: Love Story of a Spy,45.13,yes,Anil Sharma
Amrish Puri,no,2004,Aitraaz,29.00,yes,Abbas–Mustan
Amrish Puri,no,2004,Hulchul,33.09,yes,Priyadarshan
Amrita Arora,no,2002,Awara Paagal Deewana,27.58,no,Vikram Bhatt
Amrita Arora,no,2008,Golmaal Returns,95.00,yes,Rohit Shetty
