name,national,filmfare
Kajol,False,True
Kalki Koechlin,False,True
Kalpana,True,False
Kamal Haasan,True,True
Kamini Kaushal,False,True
Kangana Ranaut,False,True
Kareena Kapoor,False,True
Kareena Kapoor Khan,False,True
Karisma Kapoor,False,True
Kartik Aaryan,False,True
Kati Patang,False,True
Katrina Kaif,False,True
Keerthi Reddy,False,True
Khamoshi,False,True
Khushalii Kumar,False,True
Kiara Advani,False,True
Kirron Kher,False,True
Kirti Kulhari,False,True
Koi... Mil Gaya,False,True
Konkona Sen Sharma,False,True
Koshish,False,True
Kriti Sanon,True,True
Krrish,False,True
Kulbhushan Kharbanda,False,True
Kumar Gaurav,False,True
Kumkum,False,True
Kumud Mishra,False,True
Kunal Kapoor,False,True
Kurbaan,False,True
Laaga Chunari Mein Daag,False,True
Lakshya Lalwani,False,True
Lalita Pawar,False,True
Leela Chitnis,False,True
Lisa Haydon,False,True
Love Story,False,True
M. S. Bhaskar,True,False
Maanvi Gagroo,False,True
Madhavi,False,True
Madhoo,False,True
Madhubala,False,True
Madhumati,False,True
Madhur Jaffrey,False,True
Madhuri Dixit,False,True
Mahi Gill,False,True
Mahima Chaudhry,False,True
Main Chup Rahungi,False,True
Majboor,False,True
Major,False,True
Mala Sinha,False,True
Mammootty,True,False
Manasi Parekh,True,False
Manav Kaul,False,True
Mandakini,False,True
Mandi,False,True
Manish Paul,False,True
Manisha Koirala,False,True
Manoj Bajpai,False,True
Manoj Bajpayee,False,True
Manoj Kumar,False,True
Manoj Pahwa,False,True
Manushi Chhillar,False,True
Masoom,False,True
Meena Kumari,False,True
Meenakshi Seshadri,False,True
Meghna Malik,False,True
Mehbooba,False,True
Mehmood,False,True
Mithun Chakraborty,False,True
Mohanlal,False,True
Mohnish Bahl,False,True
Mohnish Behl,False,True
Mohsin Khan,False,True
Mouni Roy,False,True
Moushumi Chatterjee,False,True
Mr. Natwarlal,False,True
Mugdha Godse,False,True
Mujhse Shaadi Karogi,False,True
Mukesh Rishi,False,True
Mumtaz,False,True
Muqaddar Ka Sikandar,False,True
Nagesh,True,False
Namak Halaal,False,True
Namkeen,False,True
Nana Patekar,False,True
Nanda,False,True
Nargis,False,True
Nargis Fakhri,False,True
Naseeruddin Shah,False,True
Nawazuddin Siddiqui,False,True
Nazima,False,True
Nazneen,False,True
Neena Gupta,False,True
Neetu Kapoor,False,True
Neetu Singh,False,True
Neha Dhupia,False,True
Neil Nitin Mukesh,False,True
Nimmi,False,True
Nirupa Roy,False,True
Nitanshi Goel,False,True
No One Killed Jessica,False,True
Nutan,False,True
Om Prakash,False,True
Om Puri,True,True
Om Shanti Om,False,True
Padmini,False,True
Padmini Kolhapure,False,True
Pallavi Joshi,False,True
Pankaj Kapur,False,True
Pankaj Tripathi,False,True
Paran Bandopadhyay,False,True
Paresh Rawal,False,True
Parineeti Chopra,False,True
Pati Patni Aur Woh,False,True
Phool Aur Patthar,False,True
Pitobash Tripathy,False,True
Pooja Batra,False,True
Pooja Bedi,False,True
Poonam Dhillon,False,True
Prachi Desai,False,True
Prajakta Koli,False,True
Pran,False,True
Pranutan Bahl,False,True
Prateik Babbar,False,True
Pratibha Ranta,False,True
Pratik Gandhi,False,True
Preeti Jhangiani,False,True
Preity Zinta,False,True
Prem Chopra,False,True
Prem Nagar,False,True
Prem Nath,False,True
Prema Narayan,False,True
Prince Salim,False,True
Prithviraj Kapoor,False,True
Priya Gill,False,True
Priyamani,False,True
Priyanka Chopra,False,True
Pyaar To Hona Hi Tha,False,True
R. Madhavan,False,True
Raaj Kumar,False,True
Raakhee,False,True
Raakhee Gulzar,False,True
Radhika,False,True
Radhika Madan,False,True
Raghav Juyal,False,True
Rahul Khanna,False,True
Raj Arjun,False,True
Raj Babbar,False,True
Raj Kapoor,False,True
Rajat Kapoor,False,True
Rajendra Kumar,False,True
Rajesh Khanna,False,True
Rajkumar Rao,False,True
Rajkummar Rao,False,True
Rakesh Roshan,False,True
Rakhee Gulzar,False,True
Rama Vij,False,True
Rami Reddy,False,True
Ranbir Kapoor,False,True
Randeep Hooda,False,True
Randhir Kapoor,False,True
Rani Mukerji,False,True
Ranjeeta,False,True
Ranjeeta Kaur,False,True
Ranveer Singh,False,True
Ranvir Shorey,False,True
Rati Agnihotri,False,True
Ratna Pathak Shah,False,True
Raveena Tandon,False,True
Reema Lagoo,False,True
Reena Roy,False,True
Rehana Sultan,False,True
Rehman,False,True
Rekha,False,True
Renuka Shahane,False,True
Richa Chaddha,False,True
Richa Chadha,False,True
Rimi Sen,False,True
Rishi Kapoor,False,True
