actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Prakash Raj,no,13,0.01813186813186816,-0.01739368408458201,6.6,6.0,29570,718
Prashant Narayanan,no,9,-0.09499999999999997,-0.07426201801243439,4.2,4.4,39,25
Prateik Babbar,yes,18,-0.06429308565531477,-0.010844543745511524,7.4,3.6,29506,53754
Pratik Gandhi,no,9,0.12999999999999998,0.07549207269583726,6.9,8.1,2837,3187
Preeti Jhangiani,no,13,0.1807692307692308,-0.16669520021087542,7.1,8.4,37377,145
Preity Zinta,no,24,-0.04908695652173913,-0.012925576270174198,5.2,3.9,5326,713
Prem Chopra,no,15,-0.20464285714285713,-0.02952212263977045,5.2,1.9,18,310
Prithviraj Sukumaran,no,5,-0.3900000000000001,0.07028968039737973,4.4,3.8,2226,1682
Priya Anand,no,5,-0.24000000000000005,-0.2027869489122939,7.8,6.8,45059,6281
Priyamani,no,5,0.8399999999999999,0.3356889748826032,5.4,7.9,5062,23502
Priyanka Bose,no,5,-0.16000000000000014,0.015770477295092622,7.4,6.3,20871,20897
Priyanka Chopra,no,41,0.021829268292682925,0.02586353130270685,5.3,7.6,2994,10760
Priyanshu Chatterjee,no,16,0.03852941176470587,0.025133767611367208,4.7,4.7,356,2154
Priyanshu Painyuli,no,6,-0.11142857142857134,0.03958545741636675,7.6,6.2,11485,3628
Puja Gupta,no,5,-0.22999999999999998,-0.1658054688901854,4.8,3.0,3414,336
Pulkit Samrat,no,15,0.07142857142857142,0.008455429360583506,4.1,5.5,409,25950
Purab Kohli,no,17,-0.07573529411764705,0.03928039528126187,5.6,7.4,64,1078
R. Madhavan,no,16,-0.020294117647058834,0.03885791553169387,7.5,5.8,10130,2171
Radhika Apte,no,20,-0.014887218045112791,0.008837021578226995,4.9,7.0,6697,4305
Radhika Madan,no,7,-0.1821428571428571,0.0007082848703316832,7.2,6.9,4906,14100
Raghav Juyal,no,5,0.24000000000000013,0.37475666578819344,5.3,4.9,1162,13932
Raghubir Yadav,no,19,0.06561403508771929,0.002656335320671771,4.4,6.2,961,24
Raghuvir Yadav,no,5,-0.08999999999999994,0.4186470216990674,3.6,4.5,23,6300
Rahul Bose,no,18,0.07688338493292053,0.07596073799136573,3.9,6.8,90,4407
Rahul Dev,no,23,0.00227272727272728,0.025890022503037388,4.1,2.7,591,4381
Rahul Khanna,no,8,0.17023809523809516,-0.01645603206297512,7.0,7.1,349,56
Rahul Singh,no,6,0.022857142857142878,-0.00935429845598174,6.3,6.4,1467,561
Raima Sen,no,20,-0.014360902255639097,0.004754899338445856,5.1,6.4,50,3446
Raj Babbar,no,13,0.029120879120879174,-0.021546234201630533,2.9,5.9,341,43
Raj Zutshi,no,8,-0.03333333333333326,-0.0784997569051195,7.6,5.3,50,979
Rajat Bedi,no,6,0.24285714285714285,0.07941667237964622,4.4,5.9,1448,15038
Rajat Kapoor,no,25,0.023307692307692317,0.01567511143530524,7.3,6.6,27377,4861
Rajeev Khandelwal,no,12,-0.03146853146853145,-0.0456000476661026,7.6,6.5,11934,23542
Rajeev Verma,no,5,-0.3799999999999999,-0.5297814898503794,6.5,5.4,17754,169
Rajesh Khanna,no,5,-0.14000000000000004,-0.008856240047357744,6.5,6.1,68,62
Rajesh Sharma,no,26,-0.003931623931623925,0.004920810997858679,7.3,4.4,11437,1302
Rajesh Tailang,no,5,-0.41000000000000003,0.1409321870963131,7.4,5.9,792,25615
Rajit Kapur,no,8,-0.20476190476190476,0.05378275928751882,6.9,7.0,131,398
Rajkummar Rao,no,35,-0.021736694677871135,0.011033946690396828,5.1,5.7,3029,10843
Rajneesh Duggal,no,9,-0.016666666666666646,0.0057826945758277185,6.5,4.5,4765,1501
Rajpal Yadav,no,68,0.0021261976562201783,-0.00576084265246464,7.6,7.0,2943,3655
Rajshri Deshpande,no,5,-0.4600000000000001,-0.15923762888994544,7.3,5.1,5023,1888
Rakhi Sawant,no,8,0.07023809523809518,-0.18746076960837643,6.2,7.1,7713,3929
Rakul Preet Singh,no,14,0.11296703296703298,0.03383680934437005,2.8,4.2,4062,9627
Ram Kapoor,no,16,-0.17191176470588238,0.002851907323324401,7.9,4.9,5598,13932
Rana Daggubati,no,6,0.04571428571428565,-0.04133860504410445,6.2,6.3,4296,603
Ranbir Kapoor,yes,22,-0.035008469791078474,0.02462939174866438,5.2,6.0,8870,30576
Randeep Hooda,no,30,-0.03001112347052279,0.011718332568157215,7.3,6.0,27377,13345
Randhir Kapoor,no,5,-0.009999999999999964,-0.03368117340360257,5.3,4.7,1277,577
Rani Mukerji,yes,32,0.04138563049853373,0.030618948301718112,5.1,7.3,1715,11233
Rani Mukherji,no,5,-0.3999999999999999,-0.11902408591142613,7.0,5.4,16170,3864
Rannvijay Singh,no,5,0.039999999999999945,-0.1237382780990928,5.4,5.0,5216,329
Ranveer Singh,no,19,0.0061403508771929885,0.04029282910620774,7.2,8.3,19698,140800
Ranvir Shorey,no,40,0.02405253283302064,-0.007140511423286947,3.1,7.1,654,1066
Rashmika Mandanna,no,6,-0.35428571428571437,0.05551913852350166,6.8,5.8,12627,49285
Rasika Dugal,no,7,0.02857142857142863,0.09056970132388495,6.5,6.9,1283,8130
Rati Agnihotri,no,21,0.009090909090909094,-0.04156568787818118,4.7,5.4,776,36
Ratna Pathak Shah,no,9,-0.01166666666666673,-0.012881669320325055,6.4,5.1,15207,5577
Raveena Tandon,no,27,0.009584859584859579,0.013992988451405649,4.8,4.1,12,604
Ravi Kishan,no,23,-0.03725296442687746,-0.008016603353341816,8.2,4.0,3060,38527
Reema Sen,no,5,0.7799999999999999,0.29937225847541804,4.4,7.0,509,4518
Rekha,yes,11,-0.012727272727272683,0.002223547159661847,5.3,4.7,919,577
Revathi,no,8,0.14285714285714282,0.03926634169217862,7.6,7.3,289,71
Rhea Chakraborty,no,5,0.039999999999999945,0.198893774684814,6.4,6.2,5063,28970
Richa Chadda,no,9,-0.3383333333333333,-0.08628730191535124,6.9,4.9,1799,1989
Richa Chadha,no,11,-0.18272727272727274,0.03681775976455461,6.2,5.5,530,25950
Rimi Sen,no,15,-0.13499999999999998,-0.10809854219444678,7.4,4.9,18905,6885
Rinke Khanna,yes,5,0.6199999999999999,0.06828037332269185,4.9,6.8,1531,2676
Rishi Kapoor,yes,39,0.011781376518218627,0.01460225597256796,3.7,7.4,330,13799
Riteish Deshmukh,no,45,-0.04281949934123847,0.010138881347902896,6.2,6.6,615,36242
Ritesh Deshmukh,no,8,0.13452380952380955,0.17996153857568103,3.3,3.7,306,16315
Rituparna Sengupta,no,10,0.020606060606060673,0.01093699838508903,3.8,5.9,137,4737
Riya Sen,no,14,-0.14043956043956043,-0.07112726251280387,6.7,2.8,2401,261
Rohit Roy,no,12,0.23356643356643356,0.1322787710443393,3.2,6.8,103,6281
Ronit Roy,no,17,-0.018627450980392136,0.03374400959908128,4.6,4.9,1536,18982
Ruslaan Mumtaz,no,6,0.41428571428571426,-0.3475441235813094,7.0,8.5,2476,51
Sachin Khedekar,no,17,-0.0943627450980392,0.0683408334082819,7.3,5.8,876,3216
Sahil Khan,no,5,-0.73,-0.1601264450563578,6.7,3.6,2401,201
Sahil Vaid,no,6,-0.4028571428571429,-0.2969501175084556,6.1,6.2,14867,2025
Sai Tamhankar,no,8,-0.032142857142857216,0.21958292538284852,6.9,6.6,27,7101
Saif Ali Khan,yes,44,-0.028731501057082456,0.0033285496326618262,5.8,5.1,2457,1033
Saiyami Kher,no,8,0.1297619047619048,0.10068881357235855,4.6,6.0,1969,13345
Salman Khan,yes,54,-0.02593481989708405,0.019985324473972117,4.8,3.6,3925,53754
Sameer Dattani,no,6,0.07142857142857155,0.12633003713680735,5.6,7.2,216,2094
Sameera Reddy,no,11,0.05818181818181817,0.012813230474462763,4.0,4.1,1374,2786
Samir Soni,no,7,0.00714285714285715,0.24034204539632498,7.4,7.5,18905,10474
Sandhya Mridul,no,10,-0.07030303030303028,-0.03154554250576712,6.8,5.8,9581,297
Sanjana Sanghi,no,6,-0.1685714285714286,-0.39210361541144867,7.8,7.2,55214,635
Sanjay Dutt,yes,79,-0.010608568646543328,0.0120539425191029,4.8,3.7,3925,11992
Sanjay Kapoor,yes,17,0.07941176470588235,0.0797975823515202,4.5,6.6,149,4861
Sanjay Mishra,no,36,0.009819819819819824,0.009385202370456243,6.6,7.6,7066,182
Sanjay Suri,no,27,0.03742368742368742,0.009912846518236873,3.2,8.0,672,4920
Sanya Malhotra,no,16,-0.11044117647058826,-0.044612187653720166,8.3,5.1,243597,25428
Saqib Saleem,no,11,-0.13090909090909092,0.050064438495827375,6.9,5.3,4265,6510
Sara Ali Khan,yes,11,0.07818181818181816,-0.02639878903432168,6.8,6.8,16267,13944
Sara Loren,no,6,0.24285714285714285,0.0011629720138292474,3.5,4.3,231,958
Sarika,no,7,0.13928571428571437,0.07167920929539237,7.6,7.0,12723,7835
Satish Kaushik,no,18,0.011558307533539732,0.06113108572092668,3.2,5.2,129,11996
Satish Shah,no,14,-0.09934065934065936,-0.0787254679742724,6.2,4.3,9461,1476
Saurabh Shukla,no,23,-0.018379446640316204,0.06164398242263917,5.1,6.4,310,40907
Sayaji Shinde,no,5,0.9,0.48792365291225953,5.3,8.0,24,1409
Sayali Bhagat,no,5,-0.51,0.07765786383578421,3.0,2.5,27,271
Sayani Gupta,no,9,-0.05666666666666664,-0.19425101287692983,5.4,5.4,8189,126
Seema Biswas,no,14,-0.05714285714285716,0.015775164869755505,6.4,5.3,34,144
Seema Pahwa,no,6,-0.13428571428571429,-0.12406268033971735,5.9,6.2,350,24
Shabana Azmi,no,15,0.02285714285714285,0.11205961698098481,4.5,6.5,844,50970
Shah Rukh Khan,no,43,-0.009981878586529751,0.020504491061590503,4.5,5.8,844,166289
Shahana Goswami,no,9,-0.20500000000000002,0.024906473020031277,7.7,4.4,23517,5155
Shahbaz Khan,no,6,0.7142857142857145,-0.2600638441123185,5.5,8.3,2971,43
Shahid Kapoor,yes,34,0.03365928189457601,0.0264587037145959,6.1,6.6,4967,29995
Shahrukh Khan,no,5,-0.8799999999999997,-0.43041580759968456,7.1,4.4,44907,1271
Shakti Kapoor,no,22,-0.031677018633540374,-0.004471745248512947,4.4,7.0,13,8246
Shamita Shetty,no,9,-0.20499999999999996,-0.07410732311125671,7.1,6.2,37377,295
Sharad Kapoor,no,8,0.14404761904761906,0.028052776618986763,6.1,5.7,11815,710
Sharad Kelkar,no,12,0.09475524475524479,-0.0250047247023059,7.1,5.8,10936,275
Sharat Saxena,no,24,-0.030608695652173928,-0.02321894640489191,6.2,6.8,9461,12324
Sharib Hashmi,no,15,-0.002857142857142834,-0.009684001107375708,7.3,4.4,3804,326
Sharman Joshi,no,28,-0.027777777777777787,-0.024196099266608886,6.7,5.8,2401,187
Sharmila Tagore,no,5,0.14000000000000004,-0.27721487882216833,7.0,6.9,2307,73
Shashank Arora,no,8,0.08928571428571429,0.021711750189728214,7.5,7.7,5827,8721
Sheeba Chaddha,no,7,0.18928571428571433,0.07903853297777931,6.6,7.4,18,1078
Shefali Shah,no,14,-0.0037362637362637406,0.023572148734431225,7.3,7.5,27377,5530
Sherlyn Chopra,no,5,-0.24999999999999992,0.11537396797171953,5.3,4.7,2900,5038
Shilpa Shetty,no,19,-0.02456140350877194,0.034064681600204046,6.5,6.0,8960,9392
Shilpa Shukla,no,7,-0.25,0.2254039413204458,7.2,6.4,34,3446
Shiney Ahuja,no,10,-0.35454545454545455,-0.1041464372294387,7.9,2.5,5598,271
Shiv Panditt,no,10,0.15030303030303038,0.15581171324183637,6.6,6.9,127,2432
Shraddha Das,no,7,0.1321428571428571,0.17557994711875327,6.3,6.8,589,2730
Shraddha Kapoor,no,18,-0.006501547987616104,0.04760362294851392,4.2,6.9,1687,46796
Shreyas Talpade,no,36,-0.043217503217503214,-0.007273468012695214,7.4,4.7,14805,3092
Shriya Pilgaonkar,no,6,-0.05142857142857137,-0.3075016502762865,6.8,6.5,53709,402
Shriya Saran,no,10,0.14545454545454542,0.13778429262425917,5.0,6.0,205,718
Shruti Haasan,no,9,0.0016666666666666162,0.011710489421972177,4.9,5.5,3387,6523
Shweta Basu Prasad,no,6,-0.14000000000000004,-0.17543904767473464,8.0,7.1,39087,10380
Shweta Tripathi,no,8,-0.03095238095238097,0.011826828311127639,8.1,6.6,35567,9173
Siddhant Chaturvedi,no,6,0.38571428571428584,0.060490641095204266,4.1,6.8,4673,20428
Siddhanth Kapoor,no,5,0.16000000000000006,0.27131890415400445,5.2,5.2,1319,3972
Sidharth Malhotra,no,16,-0.04455882352941175,0.00890016576157205,5.3,5.0,22272,53663
Sikandar Kher,yes,6,0.4971428571428571,0.19008799878130322,6.4,7.1,271,1066
Simone Singh,no,6,0.26571428571428574,0.09736517461290571,5.2,7.2,1978,5766
Sobhita Dhulipala,no,7,-0.1964285714285714,-0.09884213288795606,7.3,5.2,17437,334
Soha Ali Khan,yes,18,-0.05830753353973167,-0.02100704769359936,5.2,4.6,2260,1625
Sohail Khan,yes,17,-0.059558823529411754,0.017468773333908876,4.0,4.0,1374,23986
Sonakshi Sinha,yes,26,-0.046666666666666676,-0.014295877072925197,6.3,5.5,37410,32962
Sonal Sehgal,no,6,-0.35428571428571437,0.009434515390446993,7.4,5.5,20,119
Sonali Bendre,no,5,-0.019999999999999928,-0.19237963719660453,4.8,4.9,3925,1016
Sonali Kulkarni,no,20,-0.055112781954887204,-0.06370874825309018,8.8,6.9,3021,73
Sonam Kapoor,yes,19,-0.03017543859649124,0.0012521954364807031,5.2,4.1,8870,6237
Sonnalli Seygall,no,8,-0.31071428571428567,-0.17416650343807843,7.6,5.2,23629,282
Sonu Sood,no,17,-0.0063725490196078404,0.12712905724531579,7.6,6.1,50,20474
Sudesh Berry,no,5,0.38,0.09918979328408936,4.5,4.5,44,35
Sudhir Pandey,no,5,-0.43,-0.0866660509483613,7.6,5.3,3337,979
Sugandha Garg,no,6,-0.20857142857142863,-0.29423525109429327,7.4,6.2,29506,160
Suhasini Mulay,no,6,-0.051428571428571476,-0.24429480096809045,6.5,6.0,4240,718
Sumeet Vyas,no,12,0.12797202797202795,0.12334162763015459,4.6,5.1,874,5577
Suniel Shetty,no,23,-0.04318181818181816,0.01769858965240845,8.2,3.0,80796,16066
Sunil Grover,no,6,-0.16571428571428584,-0.06690814880037305,7.4,6.1,72226,11551
Sunil Shetty,no,44,0.022818886539816775,0.012539278422772098,4.7,4.9,384,288
Sunny Deol,yes,37,0.021194879089615933,0.01385676064119463,4.6,6.0,754,13345
Sunny Kaushal,yes,5,-0.18999999999999995,0.2080372779651886,6.3,5.8,448,7464
Sunny Leone,no,10,0.0036363636363636585,-0.027860866112104032,3.1,1.7,3830,375
Sunny Singh,no,10,0.016363636363636407,0.17248617160923815,3.5,3.7,67,11992
Supriya Pathak,no,16,-0.05779411764705883,0.0012832108370837091,8.0,4.4,1244,5873
Suresh Menon,no,5,4.4408920985006264e-17,-0.5411254931719215,5.7,6.9,6718,23
Sushant Singh,no,11,-0.19727272727272724,-0.009877301497242157,7.0,5.5,1481,6097
Sushant Singh Rajput,no,11,-0.03272727272727265,-0.008243579099105053,7.8,8.3,40039,137771
Sushmita Sen,no,19,-0.07017543859649124,-0.0014428800798589776,4.7,4.6,384,3496
Swanand Kirkire,no,5,0.6599999999999999,0.37945695201497964,5.0,7.5,66,5530
Swara Bhaskar,no,10,-0.29212121212121217,-0.036447700553139874,7.4,3.4,20871,13773
Taaha Shah,no,5,0.5599999999999999,-0.1475479199352053,4.9,7.8,1843,114
Taapsee Pannu,no,24,-0.027869565217391316,-0.003845242918166229,5.4,5.8,5517,7464
Tabu,no,43,0.019616430081546357,0.04689839738764365,7.3,5.8,876,39571
Tahir Raj Bhasin,no,6,-0.15999999999999995,0.03784660312170763,7.3,5.2,15598,5379
Tamannaah,no,5,0.6900000000000001,0.013492164232699323,1.8,4.7,9719,3615
Tanishaa Mukerji,yes,6,0.08571428571428569,-0.26313572785792533,4.4,5.7,465,49
Tannishtha Chatterjee,no,12,0.0486013986013986,-0.02814909454996645,6.2,7.3,139,71
Tanushree Dutta,no,11,-0.13272727272727272,-0.08709169083372227,3.6,4.4,11,173
Tanvi Azmi,no,7,-0.12857142857142864,0.25794039282610376,7.4,6.3,502,70611
Tara Sharma,no,12,-0.05489510489510488,-0.059528345683779176,5.5,6.9,2331,2127
Tara Sutaria,no,6,0.3142857142857144,-0.01716527279243669,3.8,6.2,5090,2726
Tiger Shroff,yes,13,-0.13846153846153847,0.04569591300374079,5.2,2.5,11605,9419
Tigmanshu Dhulia,no,5,-0.23999999999999982,-0.3219660220786061,8.2,5.2,21565,194
Tiku Talsania,no,5,-0.61,0.001238405457737457,5.1,3.3,2415,6890
Tillotama Shome,no,9,-0.15833333333333333,0.04902259923486016,7.3,6.3,27377,20897
Tinnu Anand,no,8,-0.22142857142857136,-0.11988522478096655,6.8,5.9,9581,4867
Tisca Chopra,no,7,-0.04285714285714296,0.0838560988854964,6.2,5.8,263,51498
Tom Alter,no,5,0.27,-0.36047928118503697,4.7,4.2,1269,15
Tulip Joshi,no,7,-0.05357142857142864,-0.1959557426687711,5.4,5.2,2719,80
Tusshar Kapoor,yes,31,0.021088709677419354,0.022258972193691332,4.7,2.3,1434,9300
Uday Chopra,yes,10,-0.13939393939393935,0.01715203335097859,7.1,5.4,37377,53514
Udita Goswami,no,8,-0.17619047619047615,-0.16291138991930923,5.3,4.4,995,173
Upasana Singh,no,5,0.29000000000000004,0.2971046781530995,3.7,5.9,1622,1915
Upen Patel,no,7,-0.29999999999999993,-0.14272174032722124,5.8,2.4,5889,194
Urmila Matondkar,no,17,-0.08553921568627453,-0.011722773219604172,4.7,5.6,714,2244
Urvashi Rautela,no,8,0.026190476190476198,-0.03880308861032943,5.6,4.3,2642,1187
Vaani Kapoor,no,9,0.04666666666666665,-0.04078822704119759,5.8,6.6,10721,36242
Vardhan Puri,no,5,-0.66,-0.49282867197446106,7.8,3.8,5102,80
Varun Dhawan,yes,17,-0.02009803921568629,0.009872926125475644,5.3,5.1,22272,25428
Varun Sharma,no,12,0.01748251748251751,0.11883589694056822,4.7,6.2,332,17711
Vatsal Sheth,no,6,0.09142857142857139,0.011140232403909626,5.7,5.9,2483,315
Vicky Kaushal,yes,17,-0.07426470588235291,0.031103348620411662,8.1,7.3,35567,44329
Victor Banerjee,no,5,-0.25,0.006599391864891846,6.2,4.7,422,783
Vidya Balan,no,29,-0.03847290640394089,-0.004042780434064035,7.2,6.4,10100,12391
Vidya Malvade,no,7,-0.14285714285714285,0.15367054160175103,5.3,7.5,217,1960
Vidyut Jammwal,no,11,0.1336363636363636,0.036892017179101906,6.5,7.1,9292,11967
Vijay Raaz,no,37,0.016026552868658128,0.0030122315283575936,5.2,6.5,262,702
Vijay Varma,no,9,0.14999999999999997,0.0879044113724672,5.8,7.1,2273,3822
Vikram Gokhale,no,6,-0.33142857142857146,-0.11324180804770519,7.4,4.3,89,598
Vikram Kochhar,no,5,0.49000000000000005,-0.6947401309689646,6.5,7.9,85862,16
Vikrant Massey,no,20,0.01706766917293232,0.0020647691600950836,7.4,5.7,6858,29154
Vinay Pathak,no,39,-0.008623481781376516,-0.0047021149954910284,8.2,9.0,27210,3132
Vineet Kumar Singh,no,9,0.12333333333333331,0.1378838165250676,6.4,7.7,496,8721
Vinod Khanna,no,11,-0.12818181818181817,0.0648349501462149,4.0,5.4,492,308
Vipin Sharma,no,9,-0.3433333333333334,-0.20462880493450722,8.3,4.7,232627,7486
Vir Das,no,16,-0.1038235294117647,-0.024174981899651064,3.1,4.0,654,427
Virendra Saxena,no,5,0.04999999999999991,-0.05933322165385615,5.9,5.5,854,401
Vishal Malhotra,no,11,-0.017272727272727235,-0.07316881854473885,6.1,7.7,4967,2096
Vivan Bhatena,no,6,-0.6057142857142856,-0.24361968309646684,8.1,6.5,91958,23542
Vivek Oberoi,yes,27,-0.09853479853479853,0.0023695319922133243,7.9,2.3,17241,9300
Waheeda Rehman,no,6,0.008571428571428643,0.09235790408589872,5.5,6.7,2331,8304
Wamiqa Gabbi,no,5,0.07999999999999999,0.23152064755464935,4.8,5.8,5832,25969
Yami Gautam,no,21,0.1248051948051948,0.012918305114647704,7.7,7.8,48006,16211
Yash Tonk,no,8,-0.22619047619047614,-0.10852041622407797,6.1,4.4,4967,107
Yashpal Sharma,no,20,0.05330827067669172,0.03025540533155003,6.9,6.4,3460,3446
Yuvika Chaudhary,no,7,-0.13214285714285715,-0.016623749367119585,6.8,5.5,56456,6523
Zakir Hussain,no,21,-0.06753246753246751,-0.006063115698882173,3.8,5.2,392,9033
Zareen Khan,no,5,-0.17,-0.3587683536374039,5.0,4.8,22246,1176
Zarina Wahab,no,8,0.25595238095238093,-0.346808166072817,6.9,8.5,28822,31
Zayed Khan,yes,16,-0.02470588235294117,-0.014938412432700724,3.8,5.0,533,329
Zeenat Aman,no,5,-0.11999999999999984,-0.12957954303922448,6.1,3.7,45,55
Zoya Hussain,no,5,-0.53,-0.014325063000571615,8.0,6.6,9542,7101
