actor,nepo,n_films,rating_slope,log_votes_slope,rating_first,rating_last,votes_first,votes_last
Arjun Rampal,no,39,0.021194331983805673,0.018796771024690146,4.7,5.5,538,32962
Arshad Warsi,no,47,-0.021993524514338576,0.011905604451063378,4.9,2.3,178,9300
Arun Govil,no,5,0.06999999999999984,0.12126259629872652,7.4,7.6,34,182
Arunoday Singh,no,8,-0.08214285714285711,-0.01601995662062916,5.1,3.0,4636,761
Arya Babbar,yes,7,0.17857142857142855,0.11199034451816914,3.5,6.5,269,895
Aryan Vaid,no,8,0.3357142857142857,0.09403998201403849,3.4,6.1,26,62
Asawari Joshi,no,6,-0.15142857142857144,0.05656526528943406,6.5,6.1,68,394
Ashish Vidyarthi,no,12,0.21783216783216783,0.06876502991065708,5.2,6.0,1978,4970
Ashmit Patel,no,10,-0.19818181818181815,-0.07244095917719419,5.3,4.4,217,712
Ashutosh Rana,no,30,0.025161290322580646,0.03850131988376024,3.1,6.1,179,10919
Ashwin Mushran,no,8,0.0666666666666667,-0.023724613960784395,3.5,6.7,335,367
Asif Basra,no,5,-0.21999999999999997,0.4773785875076454,5.6,5.0,6,3211
Asin,no,5,-0.53,-0.1916375511670121,7.4,4.5,72226,8853
Asrani,no,15,-0.09749999999999999,-0.07358700859333173,5.2,4.7,1361,2154
Atul Kulkarni,no,22,-0.07634105025409373,0.014480187421940903,7.6,7.6,2943,27249
Avinash Tiwary,no,8,0.07142857142857142,0.24464591616433226,5.2,7.1,13,3501
Ayesha Jhulka,no,7,0.1964285714285714,0.25638760299939733,3.8,5.1,45,3849
Ayesha Takia,no,16,0.029999999999999978,-0.0018824591523365411,5.2,6.4,2260,462
Ayub Khan,no,5,-0.11999999999999993,-0.2558468358797367,4.5,5.2,392,425
Ayushmann Khurrana,no,19,-0.03456140350877194,0.02360168933349714,7.7,5.8,48006,49285
Barun Sobti,no,5,0.45000000000000007,0.13604835896863626,4.8,7.4,413,1984
Bhumi Pednekar,no,19,-0.15508771929824564,-0.022751464113641953,7.4,4.2,22529,9627
Bhumika Chawla,no,6,0.1942857142857143,0.09984685851412729,4.7,6.4,404,1545
Bipasha Basu,no,41,-0.012874564459930314,0.011543193675240173,6.4,3.8,9766,1977
Bobby Deol,yes,36,-0.006563706563706562,0.02746746151881742,5.1,6.2,1715,115949
Boman Irani,no,54,-0.011206403659233843,0.0037284087887605732,8.2,7.1,98233,3501
Brijendra Kala,no,21,0.06025974025974024,-0.02872484702602641,6.9,7.9,1799,16
Bruna Abdullah,no,5,-0.62,-0.4538936463029998,5.7,3.6,16367,131
Celina Jaitley,no,5,0.09999999999999991,0.12959680910204793,3.2,4.8,465,3976
Celina Jaitly,no,11,-0.06545454545454545,-0.08239002740407493,6.6,4.6,14075,139
Chandan Roy Sanyal,no,9,-0.02333333333333337,0.02597799779687986,7.4,6.6,19022,11322
Chandrachur Singh,no,5,0.12000000000000002,-0.11345856745220328,6.1,5.6,11815,23142
Chitrangada Singh,no,10,-0.0848484848484849,-0.005036102663869858,7.9,6.6,5598,4861
Chunky Pandey,no,19,-0.024035087719298246,0.0429363145972981,2.9,3.3,159,18694
Dalip Tahil,no,16,0.06676470588235295,-0.0753349822624581,4.8,5.4,3925,4983
Danny Denzongpa,no,15,0.15,0.10751878343770366,6.7,7.0,2818,7835
Darshan Jariwala,no,13,-0.020879120879120885,0.04099002011897388,4.5,7.0,571,3655
Darshan Kumar,no,6,0.03999999999999996,0.10671443262719876,7.2,5.8,14954,2750
Deepak Dobriyal,no,16,-0.00838235294117646,0.06229515765873376,8.2,6.3,3060,20897
Deepak Tijori,no,6,0.56,-0.18817945191416438,5.2,7.9,4228,38
Deepika Padukone,no,31,0.027137096774193542,0.03880525076382954,6.8,4.3,56456,76235
Deepti Naval,no,11,-0.09,0.0050537655156640895,6.2,6.6,151,4861
Dharmendra,no,15,0.04035714285714285,0.20375651783024756,4.4,6.2,13,55736
Dia Mirza,no,19,-0.04017543859649124,0.03904725870592108,7.5,3.0,10130,16066
Diana Penty,no,11,-0.12999999999999998,-0.022326128949770242,6.3,5.1,16296,5577
Diljit Dosanjh,no,10,-0.09515151515151518,0.018366885195145205,7.7,5.1,34153,5577
Dimple Kapadia,no,17,-0.09754901960784312,0.06611285937539353,8.0,6.2,79941,55736
Dino Morea,no,24,0.019304347826086955,0.037828036627358445,3.5,3.3,484,18694
Dipannita Sharma,no,9,-0.03666666666666667,-0.07080029863095488,7.0,5.8,1481,295
Disha Patani,no,6,-0.43714285714285717,-0.09878623714413808,8.0,5.7,76110,9340
Divya Dutta,no,45,-3.952569169960554e-05,0.013484749563463247,6.1,5.9,1374,5207
Divya Khosla Kumar,no,6,0.08857142857142856,-0.03279947488954972,4.5,3.3,1991,1523
Divyendu Sharma,no,6,-0.025714285714285596,-0.11532995065507397,7.6,6.9,23629,1562
